,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,github_release_downloads,monthly_downloads,trending,new_addition
0,search,mkdocs/mkdocs,['plugin'],search--tables-of-content,https://github.com/mkdocs/mkdocs,https://github.com/mkdocs/mkdocs,BSD-2-Clause,2014-01-11 21:05:21,2022-03-31 19:11:35,2022-03-31 19:11:35,1645,22.0,1906.0,229.0,1010.0,113.0,1546.0,13999.0,2022-03-26 19:55:09,1.3.0,4.0,Project documentation with Markdown.,20325.0,20325.0,215.0,35,True,1.0,,,,
1,Material for MkDocs,squidfunk/mkdocs-material,['theme'],theming,https://github.com/squidfunk/mkdocs-material,https://github.com/squidfunk/mkdocs-material,MIT,2016-01-28 22:09:23,2022-04-13 07:45:07,2022-04-13 07:43:57,4199,224.0,2071.0,92.0,1837.0,6.0,1341.0,9306.0,2022-04-08 20:28:58,8.2.9,100.0,Technical documentation that just works.,12741.0,12741.0,152.0,35,True,1.0,,,,
2,git-revision-date-localized,timvink/mkdocs-git-revision-date-localized-plugin,['plugin'],git-repos--info,https://github.com/timvink/mkdocs-git-revision-date-localized-plugin,https://github.com/timvink/mkdocs-git-revision-date-localized-plugin,MIT,2019-11-26 12:11:05,2022-03-30 09:57:09,2022-03-30 09:54:10,244,36.0,19.0,4.0,34.0,1.0,53.0,63.0,2022-03-30 09:56:18,1.0.1,35.0,MkDocs plugin to add a last updated date to your site pages.,1289.0,1289.0,19.0,20,False,1.0,,,,
3,mkdocstrings,mkdocstrings/mkdocstrings,['plugin'],api-documentation-building,https://github.com/mkdocstrings/mkdocstrings,https://github.com/mkdocstrings/mkdocstrings,ISC,2019-12-09 18:09:09,2022-04-10 12:33:10,2022-04-10 12:33:03,513,36.0,71.0,6.0,136.0,39.0,210.0,667.0,2022-02-06 19:21:38,0.18.0,3.0,"Automatic documentation from sources, for MkDocs.",,,29.0,19,True,1.0,,,,
4,mknotebooks,greenape/mknotebooks,['plugin'],code-execution-variables--templating,https://github.com/greenape/mknotebooks,https://github.com/greenape/mknotebooks,MIT,2018-09-18 08:13:25,2022-04-13 12:35:51,2022-04-13 12:35:50,1432,224.0,17.0,1.0,830.0,10.0,25.0,100.0,2021-09-07 13:41:02,0.7.0,14.0,A plugin for mkdocs to help you include Jupyter notebooks in your projects.,172.0,172.0,13.0,19,True,1.0,,,,
5,pdf-export,zhaoterryy/mkdocs-pdf-export-plugin,['plugin'],pdf--site-conversion,https://github.com/zhaoterryy/mkdocs-pdf-export-plugin,https://github.com/zhaoterryy/mkdocs-pdf-export-plugin,MIT,2018-02-20 15:06:51,2022-03-11 23:29:09,2021-10-05 01:31:10,72,,35.0,17.0,30.0,36.0,45.0,233.0,2020-07-23 01:35:39,0.5.8,5.0,An MkDocs plugin to export content pages as PDF files.,222.0,222.0,11.0,18,True,1.0,,,,
6,macros,fralau/mkdocs_macros_plugin,['plugin'],code-execution-variables--templating,https://github.com/fralau/mkdocs_macros_plugin,https://github.com/fralau/mkdocs_macros_plugin,,2018-06-27 15:24:40,2022-04-09 07:15:49,2022-03-30 17:38:14,179,10.0,32.0,5.0,39.0,3.0,73.0,140.0,2020-11-23 19:17:08,0.5.0,3.0,"Create richer and more beautiful pages in MkDocs, by using variables and calls to macros in the markdown code.",827.0,827.0,23.0,18,False,1.0,,,,
7,datarobot,mkdocs/mkdocs-redirects,['plugin'],links--references,https://github.com/mkdocs/mkdocs-redirects,https://github.com/mkdocs/mkdocs-redirects,MIT,2019-04-03 10:38:39,2022-03-30 19:23:26,2022-03-30 19:21:46,63,7.0,8.0,151.0,18.0,10.0,8.0,63.0,2022-03-30 19:23:49,1.0.4,5.0,Open source plugin for Mkdocs page redirects.,703.0,703.0,9.0,18,False,1.0,,,,
8,mike,jimporter/mike,['plugin'],site-management,https://github.com/jimporter/mike,https://github.com/jimporter/mike,BSD-3-Clause,2017-09-24 08:52:01,2022-03-29 19:34:46,2022-03-29 19:34:03,251,9.0,18.0,4.0,12.0,7.0,77.0,189.0,2021-10-04 05:26:35,1.1.2,21.0,Manage multiple versions of your MkDocs-powered documentation via Git.,391.0,391.0,7.0,17,True,1.0,117.0,2.0,,
9,mkdocs-with-pdf,orzih/mkdocs-with-pdf,['plugin'],pdf--site-conversion,https://github.com/orzih/mkdocs-with-pdf,https://github.com/orzih/mkdocs-with-pdf,MIT,2020-02-23 16:34:46,2022-03-26 17:44:18,2021-10-14 20:29:54,188,,32.0,7.0,35.0,34.0,39.0,138.0,2021-07-03 02:09:02,0.9.3,27.0,Generate a single PDF file from MkDocs repository.,123.0,123.0,6.0,17,True,2.0,,,,
