,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,new_addition,github_release_downloads,gitlab_id,gitlab_url
0,Material for MkDocs,squidfunk/mkdocs-material,mkdocs-material,"['theme', 'markdown']",theming,https://github.com/squidfunk/mkdocs-material,https://github.com/squidfunk/mkdocs-material,MIT,2016-01-28 22:09:23,2022-04-18 04:02:20,2022-04-17 20:12:15,4200.0,225.0,2073.0,93.0,1838.0,7.0,1342.0,9317.0,2022-04-08 20:28:58,8.2.9,100.0,Technical documentation that just works.,12769.0,12769.0,152.0,https://pypi.org/project/mkdocs-material,979770.0,979770.0,41,True,1.0,,,,
1,PyMdown Extensions,facelessuser/pymdown-extensions,pymdown-extensions,['markdown'],markdown,https://github.com/facelessuser/pymdown-extensions,https://github.com/facelessuser/pymdown-extensions,,2014-11-21 06:08:04,2022-04-18 10:00:32,2022-04-14 03:29:41,1572.0,46.0,201.0,7.0,1349.0,13.0,272.0,589.0,2022-03-19 16:52:59,9.3,57.0,Extensions for Python Markdown.,,,30.0,https://pypi.org/project/pymdown-extensions,788697.0,788697.0,25,True,1.0,True,,,
2,macros,fralau/mkdocs_macros_plugin,mkdocs-macros-plugin,['plugin'],code-exec-templating,https://github.com/fralau/mkdocs_macros_plugin,https://github.com/fralau/mkdocs_macros_plugin,MIT,2018-06-27 15:24:40,2022-04-09 07:15:49,2022-03-30 17:38:14,179.0,10.0,32.0,5.0,39.0,3.0,73.0,141.0,2020-11-23 19:17:08,0.5.0,3.0,"Create richer and more beautiful pages in MkDocs, by using variables and calls to macros in the markdown code.",829.0,829.0,23.0,https://pypi.org/project/mkdocs-macros-plugin,85547.0,85547.0,25,True,1.0,,,,
3,git-revision-date-localized,timvink/mkdocs-git-revision-date-localized-plugin,mkdocs-git-revision-date-localized-plugin,['plugin'],git-info,https://github.com/timvink/mkdocs-git-revision-date-localized-plugin,https://github.com/timvink/mkdocs-git-revision-date-localized-plugin,MIT,2019-11-26 12:11:05,2022-03-30 09:57:09,2022-03-30 09:54:10,244.0,34.0,19.0,4.0,34.0,1.0,53.0,63.0,2022-03-30 09:56:18,1.0.1,35.0,MkDocs plugin to add a last updated date to your site pages.,1289.0,1289.0,19.0,https://pypi.org/project/mkdocs-git-revision-date-localized-plugin,136391.0,136391.0,25,True,1.0,,,,
4,mkdocstrings,mkdocstrings/mkdocstrings,mkdocstrings,"['plugin', 'markdown']",api-docs,https://github.com/mkdocstrings/mkdocstrings,https://github.com/mkdocstrings/mkdocstrings,ISC,2019-12-09 18:09:09,2022-04-10 12:33:10,2022-04-10 12:33:03,513.0,36.0,71.0,6.0,136.0,39.0,211.0,669.0,2022-02-06 19:21:38,0.18.0,3.0,"Automatic documentation from sources, for MkDocs.",,,29.0,https://pypi.org/project/mkdocstrings,153175.0,153175.0,24,True,1.0,,,,
5,mknotebooks,greenape/mknotebooks,mknotebooks,['plugin'],code-exec-templating,https://github.com/greenape/mknotebooks,https://github.com/greenape/mknotebooks,MIT,2018-09-18 08:13:25,2022-04-13 12:35:51,2022-04-13 12:35:50,1432.0,224.0,17.0,1.0,830.0,10.0,25.0,100.0,2021-09-07 13:41:02,0.7.0,14.0,A plugin for mkdocs to help you include Jupyter notebooks in your projects.,173.0,173.0,13.0,https://pypi.org/project/mknotebooks,24053.0,24053.0,23,True,1.0,,,,
6,mkdocs-redirects,mkdocs/mkdocs-redirects,mkdocs-redirects,['plugin'],links-refs,https://github.com/mkdocs/mkdocs-redirects,https://github.com/mkdocs/mkdocs-redirects,MIT,2019-04-03 10:38:39,2022-03-30 19:23:26,2022-03-30 19:21:46,63.0,7.0,8.0,151.0,18.0,10.0,8.0,64.0,2022-03-30 19:23:49,1.0.4,5.0,Open source plugin for Mkdocs page redirects.,703.0,703.0,9.0,https://pypi.org/project/mkdocs-redirects,75525.0,75525.0,23,True,1.0,,,,
7,pdf-export,zhaoterryy/mkdocs-pdf-export-plugin,mkdocs-pdf-export-plugin,['plugin'],site-conversion,https://github.com/zhaoterryy/mkdocs-pdf-export-plugin,https://github.com/zhaoterryy/mkdocs-pdf-export-plugin,MIT,2018-02-20 15:06:51,2022-03-11 23:29:09,2021-10-05 01:31:10,72.0,,35.0,17.0,30.0,36.0,45.0,233.0,2020-07-23 01:35:39,0.5.8,5.0,An MkDocs plugin to export content pages as PDF files.,223.0,223.0,11.0,https://pypi.org/project/mkdocs-pdf-export-plugin,18542.0,18542.0,22,True,1.0,,,,
8,mike,jimporter/mike,mike,['plugin'],site-management,https://github.com/jimporter/mike,https://github.com/jimporter/mike,BSD-3-Clause,2017-09-24 08:52:01,2022-03-29 19:34:46,2022-03-29 19:34:03,251.0,9.0,18.0,5.0,12.0,7.0,77.0,189.0,2021-10-04 05:26:35,1.1.2,21.0,Manage multiple versions of your MkDocs-powered documentation via Git.,391.0,391.0,7.0,https://pypi.org/project/mike,41456.0,41458.0,22,True,1.0,,117.0,,
9,mkdocs-with-pdf,orzih/mkdocs-with-pdf,mkdocs-with-pdf,['plugin'],site-conversion,https://github.com/orzih/mkdocs-with-pdf,https://github.com/orzih/mkdocs-with-pdf,MIT,2020-02-23 16:34:46,2022-03-26 17:44:18,2021-10-14 20:29:54,188.0,,32.0,7.0,35.0,34.0,39.0,139.0,2021-07-03 02:09:02,0.9.3,27.0,Generate a single PDF file from MkDocs repository.,123.0,123.0,6.0,https://pypi.org/project/mkdocs-with-pdf,12458.0,12458.0,21,True,2.0,,,,
10,awesome-pages,lukasgeiter/mkdocs-awesome-pages-plugin,mkdocs-awesome-pages-plugin,['plugin'],nav-pages,https://github.com/lukasgeiter/mkdocs-awesome-pages-plugin,https://github.com/lukasgeiter/mkdocs-awesome-pages-plugin,MIT,2018-02-06 21:09:24,2022-02-12 20:33:57,2022-02-12 20:26:26,69.0,3.0,23.0,6.0,11.0,8.0,41.0,231.0,2022-02-12 20:35:47,2.7.0,20.0,An MkDocs plugin that simplifies configuring page titles and their order.,,,4.0,https://pypi.org/project/mkdocs-awesome-pages-plugin,71009.0,71009.0,20,True,1.0,,,,
11,monorepo,backstage/mkdocs-monorepo-plugin,mkdocs-monorepo-plugin,['plugin'],site-management,https://github.com/backstage/mkdocs-monorepo-plugin,https://github.com/backstage/mkdocs-monorepo-plugin,Apache-2.0,2019-09-19 18:18:32,2022-03-22 08:53:01,2022-03-22 08:52:59,114.0,18.0,41.0,16.0,40.0,15.0,20.0,177.0,,,,Build multiple documentation folders in a single Mkdocs. Designed for large codebases.,72.0,72.0,24.0,https://pypi.org/project/mkdocs-monorepo-plugin,53422.0,53422.0,20,True,1.0,,,,
12,minify,byrnereese/mkdocs-minify-plugin,mkdocs-minify-plugin,['plugin'],html-css,https://github.com/byrnereese/mkdocs-minify-plugin,https://github.com/byrnereese/mkdocs-minify-plugin,MIT,2018-12-19 16:35:00,2021-10-18 06:40:36,2021-10-18 06:35:38,25.0,,6.0,8.0,10.0,1.0,6.0,52.0,2021-10-18 06:40:36,0.5.0,2.0,A mkdocs plugin to minify the HTML of a page before it is written to disk.,2306.0,2306.0,6.0,https://pypi.org/project/mkdocs-minify-plugin,121495.0,121495.0,20,True,1.0,,,,
13,markdownextradata,rosscdh/mkdocs-markdownextradata-plugin,mkdocs-markdownextradata-plugin,['plugin'],code-exec-templating,https://github.com/rosscdh/mkdocs-markdownextradata-plugin,https://github.com/rosscdh/mkdocs-markdownextradata-plugin,MIT,2018-05-01 17:18:40,2021-12-16 09:48:55,2021-12-15 20:25:46,73.0,,14.0,3.0,13.0,2.0,24.0,49.0,2021-12-16 09:49:55,0.2.5,8.0,A MkDocs plugin that injects the mkdocs.yml extra variables into the markdown template.,397.0,397.0,10.0,https://pypi.org/project/mkdocs-markdownextradata-plugin,15991.0,15991.0,20,True,2.0,,,,
14,git-authors,timvink/mkdocs-git-authors-plugin,mkdocs-git-authors-plugin,['plugin'],git-info,https://github.com/timvink/mkdocs-git-authors-plugin,https://github.com/timvink/mkdocs-git-authors-plugin,MIT,2019-12-23 10:24:38,2022-04-07 01:11:11,2022-02-02 11:19:26,162.0,5.0,10.0,3.0,22.0,8.0,33.0,20.0,2022-02-02 11:21:52,0.6.4,16.0,MkDocs plugin to display git authors of a page.,106.0,106.0,4.0,https://pypi.org/project/mkdocs-git-authors-plugin,8399.0,8399.0,20,True,2.0,,,,
15,git-revision-date,zhaoterryy/mkdocs-git-revision-date-plugin,mkdocs-git-revision-date-plugin,['plugin'],git-info,https://github.com/zhaoterryy/mkdocs-git-revision-date-plugin,https://github.com/zhaoterryy/mkdocs-git-revision-date-plugin,MIT,2018-12-03 04:29:33,2022-03-08 14:43:42,2022-03-08 14:42:57,26.0,2.0,6.0,4.0,8.0,2.0,9.0,42.0,2022-03-08 14:43:59,0.3.2,2.0,MkDocs plugin for setting revision date from git per markdown file.,516.0,516.0,7.0,https://pypi.org/project/mkdocs-git-revision-date-plugin,25647.0,25647.0,19,True,2.0,,,,
