,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,github_release_downloads,trending,gitlab_id,gitlab_url,updated_github_id
0,Material for MkDocs,squidfunk/mkdocs-material,mkdocs-material,"['theme', 'markdown']",theming,https://github.com/squidfunk/mkdocs-material,https://github.com/squidfunk/mkdocs-material,MIT,2016-01-28 22:09:23,2022-08-11 13:06:30,2022-08-04 10:15:19,4419.0,153.0,2312.0,104.0,1973.0,17.0,1472.0,10662.0,2022-07-20 15:39:25,8.4.0rc1,100.0,Documentation that simply works.,15674.0,15674.0,160.0,https://pypi.org/project/mkdocs-material,1086791.0,1086791.0,39,True,1.0,,,,,
1,macros,fralau/mkdocs_macros_plugin,mkdocs-macros-plugin,['plugin'],code-exec-templating,https://github.com/fralau/mkdocs_macros_plugin,https://github.com/fralau/mkdocs_macros_plugin,MIT,2018-06-27 15:24:40,2022-07-22 15:25:30,2022-07-22 15:25:29,188.0,6.0,34.0,5.0,40.0,5.0,76.0,155.0,2020-11-23 19:17:08,0.5.0,3.0,"Create richer and more beautiful pages in MkDocs, by using variables and calls to macros in the markdown code.",1030.0,1030.0,25.0,https://pypi.org/project/mkdocs-macros-plugin,85511.0,85511.0,26,True,1.0,,,,,
2,git-revision-date-localized,timvink/mkdocs-git-revision-date-localized-plugin,mkdocs-git-revision-date-localized-plugin,['plugin'],git-info,https://github.com/timvink/mkdocs-git-revision-date-localized-plugin,https://github.com/timvink/mkdocs-git-revision-date-localized-plugin,MIT,2019-11-26 12:11:05,2022-07-14 11:58:59,2022-07-14 11:58:43,254.0,10.0,21.0,4.0,37.0,2.0,57.0,73.0,2022-07-02 11:14:07,1.1.0,36.0,MkDocs plugin to add a last updated date to your site pages.,1664.0,1664.0,20.0,https://pypi.org/project/mkdocs-git-revision-date-localized-plugin,96071.0,96071.0,26,True,1.0,,,,,
3,PyMdown Extensions,facelessuser/pymdown-extensions,pymdown-extensions,['markdown'],markdown,https://github.com/facelessuser/pymdown-extensions,https://github.com/facelessuser/pymdown-extensions,,2014-11-21 06:08:04,2022-08-11 10:01:26,2022-07-26 18:38:55,1612.0,26.0,215.0,7.0,1448.0,14.0,283.0,618.0,2022-06-06 14:22:01,9.5,59.0,Extensions for Python Markdown.,,,32.0,https://pypi.org/project/pymdown-extensions,831184.0,831184.0,24,True,1.0,,,,,
4,mkdocstrings,mkdocstrings/mkdocstrings,mkdocstrings,"['plugin', 'markdown']",api-docs,https://github.com/mkdocstrings/mkdocstrings,https://github.com/mkdocstrings/mkdocstrings,ISC,2019-12-09 18:09:09,2022-06-26 13:17:35,2022-06-26 13:17:34,524.0,4.0,74.0,9.0,140.0,45.0,235.0,815.0,2022-05-28 15:57:31,0.19.0,4.0,"Automatic documentation from sources, for MkDocs.",,,30.0,https://pypi.org/project/mkdocstrings,193406.0,193406.0,23,True,1.0,,,,,
5,mike,jimporter/mike,mike,['plugin'],site-management,https://github.com/jimporter/mike,https://github.com/jimporter/mike,BSD-3-Clause,2017-09-24 08:52:01,2022-08-05 19:05:22,2022-08-05 18:25:58,268.0,13.0,20.0,5.0,14.0,5.0,92.0,222.0,2021-10-04 05:26:35,1.1.2,21.0,Manage multiple versions of your MkDocs-powered documentation via Git.,575.0,575.0,8.0,https://pypi.org/project/mike,58981.0,58983.0,23,True,1.0,117.0,,,,
6,mknotebooks,greenape/mknotebooks,mknotebooks,['plugin'],code-exec-templating,https://github.com/greenape/mknotebooks,https://github.com/greenape/mknotebooks,MIT,2018-09-18 08:13:25,2022-08-11 12:28:03,2022-08-11 12:28:02,1599.0,139.0,19.0,2.0,927.0,11.0,25.0,104.0,2021-09-07 13:41:02,0.7.0,14.0,A plugin for mkdocs to help you include Jupyter notebooks in your projects.,212.0,212.0,13.0,https://pypi.org/project/mknotebooks,21094.0,21094.0,23,True,1.0,,,,,
7,mkdocs-redirects,mkdocs/mkdocs-redirects,mkdocs-redirects,['plugin'],links-refs,https://github.com/mkdocs/mkdocs-redirects,https://github.com/mkdocs/mkdocs-redirects,MIT,2019-04-03 10:38:39,2022-08-11 16:40:29,2022-08-11 16:40:29,68.0,5.0,12.0,147.0,21.0,7.0,13.0,73.0,2022-08-03 15:55:43,1.0.5,6.0,Open source plugin for Mkdocs page redirects.,908.0,908.0,11.0,https://pypi.org/project/mkdocs-redirects,61876.0,61876.0,23,True,1.0,,1.0,,,
8,mkdocs-with-pdf,orzih/mkdocs-with-pdf,mkdocs-with-pdf,['plugin'],site-conversion,https://github.com/orzih/mkdocs-with-pdf,https://github.com/orzih/mkdocs-with-pdf,MIT,2020-02-23 16:34:46,2022-08-05 12:17:23,2021-10-14 20:29:54,188.0,,43.0,7.0,41.0,40.0,40.0,168.0,2021-07-03 02:09:02,0.9.3,27.0,Generate a single PDF file from MkDocs repository.,161.0,161.0,6.0,https://pypi.org/project/mkdocs-with-pdf,15656.0,15656.0,22,True,1.0,,,,,
9,pdf-export,zhaoterryy/mkdocs-pdf-export-plugin,mkdocs-pdf-export-plugin,['plugin'],site-conversion,https://github.com/zhaoterryy/mkdocs-pdf-export-plugin,https://github.com/zhaoterryy/mkdocs-pdf-export-plugin,MIT,2018-02-20 15:06:51,2022-03-11 23:29:09,2021-10-05 01:31:10,72.0,,37.0,17.0,30.0,38.0,45.0,247.0,2020-07-23 01:35:39,0.5.8,5.0,An MkDocs plugin to export content pages as PDF files.,256.0,256.0,11.0,https://pypi.org/project/mkdocs-pdf-export-plugin,16542.0,16542.0,21,True,2.0,,,,,
