,name,mkdocs_theme,mkdocs_plugin,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,markdown_extension,trending,github_release_downloads,updated_github_id,gitlab_id,gitlab_url
0,Material for MkDocs,material,tags,squidfunk/mkdocs-material,mkdocs-material,"['theme', 'plugin']",theming,https://github.com/squidfunk/mkdocs-material,https://github.com/squidfunk/mkdocs-material,MIT,2016-01-28 22:09:23,2023-03-07 18:53:37,2023-03-07 18:51:56,5098.0,369.0,2728.0,112.0,2232.0,18.0,1771.0,13028.0,2023-03-05 16:44:46,9.1.1,100.0,Documentation that simply works.,29491.0,29491.0,199.0,https://pypi.org/project/mkdocs-material,2384051.0,2384051.0,42,True,1.0,,,,,,
1,mkdocstrings,,mkdocstrings,mkdocstrings/mkdocstrings,mkdocstrings,['plugin'],api-docs,https://github.com/mkdocstrings/mkdocstrings,https://github.com/mkdocstrings/mkdocstrings,ISC,2019-12-09 18:09:09,2023-03-07 19:17:43,2023-03-07 19:17:43,550.0,16.0,91.0,11.0,155.0,51.0,270.0,1154.0,2023-01-19 23:00:14,0.20.0,5.0,"Automatic documentation from sources, for MkDocs.",6844.0,6844.0,36.0,https://pypi.org/project/mkdocstrings,360158.0,360158.0,31,True,1.0,,,,,,
2,PyMdown Extensions,,,facelessuser/pymdown-extensions,pymdown-extensions,['markdown'],markdown,https://github.com/facelessuser/pymdown-extensions,https://github.com/facelessuser/pymdown-extensions,,2014-11-21 06:08:04,2023-03-08 10:56:54,2023-03-05 15:52:13,1681.0,42.0,232.0,7.0,1597.0,9.0,313.0,723.0,2023-03-05 15:58:53,9.10,74.0,Extensions for Python Markdown.,18419.0,18419.0,41.0,https://pypi.org/project/pymdown-extensions,1359911.0,1359911.0,31,True,1.0,pymdownx.superfences,-1.0,,,,
3,mike,,mike,jimporter/mike,mike,['plugin'],site-management,https://github.com/jimporter/mike,https://github.com/jimporter/mike,BSD-3-Clause,2017-09-24 08:52:01,2023-03-03 06:16:59,2023-03-03 05:01:46,292.0,17.0,25.0,7.0,16.0,7.0,115.0,296.0,2021-10-04 05:26:35,1.1.2,21.0,Manage multiple versions of your MkDocs-powered documentation via Git.,1746.0,1746.0,8.0,https://pypi.org/project/mike,77484.0,77486.0,26,True,1.0,,,126.0,,,
4,git-revision-date-localized,,git-revision-date-localized,timvink/mkdocs-git-revision-date-localized-plugin,mkdocs-git-revision-date-localized-plugin,['plugin'],git-info,https://github.com/timvink/mkdocs-git-revision-date-localized-plugin,https://github.com/timvink/mkdocs-git-revision-date-localized-plugin,MIT,2019-11-26 12:11:05,2023-03-02 20:16:19,2023-03-02 20:10:10,265.0,5.0,27.0,4.0,40.0,6.0,64.0,104.0,2023-03-02 20:15:25,1.2.0,37.0,MkDocs plugin to add a last updated date to your site pages.,3040.0,3040.0,21.0,https://pypi.org/project/mkdocs-git-revision-date-localized-plugin,166391.0,166391.0,26,True,1.0,,2.0,,,,
5,macros,,macros,fralau/mkdocs_macros_plugin,mkdocs-macros-plugin,['plugin'],code-exec-templating,https://github.com/fralau/mkdocs_macros_plugin,https://github.com/fralau/mkdocs_macros_plugin,MIT,2018-06-27 15:24:40,2022-07-22 15:25:30,2022-07-22 15:25:29,188.0,,35.0,6.0,40.0,8.0,78.0,182.0,2020-11-23 19:17:08,0.5.0,3.0,"Create richer and more beautiful pages in MkDocs, by using variables and calls to macros in the markdown code.",1763.0,1763.0,25.0,https://pypi.org/project/mkdocs-macros-plugin,99596.0,99596.0,25,True,1.0,,,,,,
6,awesome-pages,,awesome-pages,lukasgeiter/mkdocs-awesome-pages-plugin,mkdocs-awesome-pages-plugin,['plugin'],nav-pages,https://github.com/lukasgeiter/mkdocs-awesome-pages-plugin,https://github.com/lukasgeiter/mkdocs-awesome-pages-plugin,MIT,2018-02-06 21:09:24,2023-02-23 03:31:58,2022-07-24 17:34:17,72.0,,26.0,7.0,13.0,10.0,45.0,295.0,2022-07-24 17:44:45,2.8.0,21.0,An MkDocs plugin that simplifies configuring page titles and their order.,2243.0,2243.0,5.0,https://pypi.org/project/mkdocs-awesome-pages-plugin,93807.0,93807.0,24,True,1.0,,,,,,
7,include-markdown,,include-markdown,mondeja/mkdocs-include-markdown-plugin,mkdocs-include-markdown-plugin,['plugin'],snippets-include,https://github.com/mondeja/mkdocs-include-markdown-plugin,https://github.com/mondeja/mkdocs-include-markdown-plugin,Apache-2.0,2020-12-04 08:09:34,2023-01-04 18:43:39,2023-01-04 18:43:38,150.0,8.0,10.0,3.0,95.0,4.0,48.0,55.0,2022-12-18 01:08:16,4.0.3,43.0,Mkdocs Markdown includer plugin.,1264.0,1264.0,11.0,https://pypi.org/project/mkdocs-include-markdown-plugin,83233.0,83236.0,24,True,1.0,,,81.0,,,
8,mkdocs-with-pdf,,with-pdf,orzih/mkdocs-with-pdf,mkdocs-with-pdf,['plugin'],site-conversion,https://github.com/orzih/mkdocs-with-pdf,https://github.com/orzih/mkdocs-with-pdf,MIT,2020-02-23 16:34:46,2023-01-07 04:42:28,2021-10-14 20:29:54,188.0,,57.0,10.0,49.0,51.0,43.0,211.0,2021-07-03 02:09:02,0.9.3,27.0,Generate a single PDF file from MkDocs repository.,289.0,289.0,6.0,https://pypi.org/project/mkdocs-with-pdf,28158.0,28158.0,23,True,1.0,,,,,,
9,monorepo,,monorepo,backstage/mkdocs-monorepo-plugin,mkdocs-monorepo-plugin,['plugin'],site-management,https://github.com/backstage/mkdocs-monorepo-plugin,https://github.com/backstage/mkdocs-monorepo-plugin,Apache-2.0,2019-09-19 18:18:32,2023-02-24 22:12:41,2022-09-29 12:08:21,128.0,,55.0,20.0,46.0,24.0,24.0,238.0,,,,Build multiple documentation folders in a single Mkdocs. Designed for large codebases.,283.0,283.0,26.0,https://pypi.org/project/mkdocs-monorepo-plugin,99121.0,99121.0,22,True,1.0,,,,,,
