,name,mkdocs_theme,mkdocs_plugin,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,markdown_extension,github_release_downloads,trending,updated_github_id,gitlab_id,gitlab_url
0,Material for MkDocs,material,tags,squidfunk/mkdocs-material,mkdocs-material,"['theme', 'plugin']",theming,https://github.com/squidfunk/mkdocs-material,https://github.com/squidfunk/mkdocs-material,MIT,2016-01-28 22:09:23,2023-03-30 13:17:57,2023-03-29 17:03:09,5141.0,350.0,2791.0,112.0,2273.0,16.0,1802.0,13257.0,2023-03-24 12:52:26,9.1.4,100.0,Documentation that simply works.,30284.0,30284.0,202.0,https://pypi.org/project/mkdocs-material,2384373.0,2384373.0,42,True,1.0,,,,,,
1,mkdocstrings,,mkdocstrings,mkdocstrings/mkdocstrings,mkdocstrings,['plugin'],api-docs,https://github.com/mkdocstrings/mkdocstrings,https://github.com/mkdocstrings/mkdocstrings,ISC,2019-12-09 18:09:09,2023-03-07 19:17:43,2023-03-07 19:17:43,550.0,13.0,91.0,11.0,155.0,54.0,271.0,1173.0,2023-01-19 23:00:14,0.20.0,5.0,"Automatic documentation from sources, for MkDocs.",7103.0,7103.0,36.0,https://pypi.org/project/mkdocstrings,351128.0,351128.0,31,True,1.0,,,,,,
2,PyMdown Extensions,,,facelessuser/pymdown-extensions,pymdown-extensions,['markdown'],markdown,https://github.com/facelessuser/pymdown-extensions,https://github.com/facelessuser/pymdown-extensions,,2014-11-21 06:08:04,2023-03-19 13:27:53,2023-03-19 13:27:52,1682.0,41.0,233.0,7.0,1609.0,12.0,313.0,731.0,2023-03-05 15:58:53,9.10,74.0,Extensions for Python Markdown.,18928.0,18928.0,42.0,https://pypi.org/project/pymdown-extensions,1339185.0,1339185.0,31,True,1.0,pymdownx.superfences,,,,,
3,mike,,mike,jimporter/mike,mike,['plugin'],site-management,https://github.com/jimporter/mike,https://github.com/jimporter/mike,BSD-3-Clause,2017-09-24 08:52:01,2023-03-29 20:19:42,2023-03-29 20:19:24,295.0,16.0,27.0,7.0,17.0,8.0,121.0,308.0,2021-10-04 05:26:35,1.1.2,21.0,Manage multiple versions of your MkDocs-powered documentation via Git.,1790.0,1790.0,8.0,https://pypi.org/project/mike,80989.0,80991.0,26,True,1.0,,129.0,,,,
4,git-revision-date-localized,,git-revision-date-localized,timvink/mkdocs-git-revision-date-localized-plugin,mkdocs-git-revision-date-localized-plugin,['plugin'],git-info,https://github.com/timvink/mkdocs-git-revision-date-localized-plugin,https://github.com/timvink/mkdocs-git-revision-date-localized-plugin,MIT,2019-11-26 12:11:05,2023-03-02 20:16:19,2023-03-02 20:10:10,265.0,3.0,28.0,4.0,40.0,7.0,64.0,108.0,2023-03-02 20:15:25,1.2.0,37.0,MkDocs plugin to add a last updated date to your site pages.,3226.0,3226.0,21.0,https://pypi.org/project/mkdocs-git-revision-date-localized-plugin,159836.0,159836.0,26,True,1.0,,,,,,
5,macros,,macros,fralau/mkdocs_macros_plugin,mkdocs-macros-plugin,['plugin'],code-exec-templating,https://github.com/fralau/mkdocs_macros_plugin,https://github.com/fralau/mkdocs_macros_plugin,MIT,2018-06-27 15:24:40,2023-03-20 12:16:54,2023-03-20 12:16:54,190.0,2.0,35.0,6.0,41.0,10.0,79.0,184.0,2020-11-23 19:17:08,0.5.0,3.0,"Create richer and more beautiful pages in MkDocs, by using variables and calls to macros in the markdown code.",1817.0,1817.0,26.0,https://pypi.org/project/mkdocs-macros-plugin,107247.0,107247.0,25,True,1.0,,,,,,
6,awesome-pages,,awesome-pages,lukasgeiter/mkdocs-awesome-pages-plugin,mkdocs-awesome-pages-plugin,['plugin'],nav-pages,https://github.com/lukasgeiter/mkdocs-awesome-pages-plugin,https://github.com/lukasgeiter/mkdocs-awesome-pages-plugin,MIT,2018-02-06 21:09:24,2023-03-27 06:52:01,2023-03-15 22:24:03,81.0,9.0,26.0,7.0,14.0,10.0,45.0,302.0,2022-07-24 17:44:45,2.8.0,21.0,An MkDocs plugin that simplifies configuring page titles and their order.,2358.0,2358.0,5.0,https://pypi.org/project/mkdocs-awesome-pages-plugin,93334.0,93334.0,24,True,1.0,,,,,,
7,include-markdown,,include-markdown,mondeja/mkdocs-include-markdown-plugin,mkdocs-include-markdown-plugin,['plugin'],snippets-include,https://github.com/mondeja/mkdocs-include-markdown-plugin,https://github.com/mondeja/mkdocs-include-markdown-plugin,Apache-2.0,2020-12-04 08:09:34,2023-03-23 13:57:04,2023-03-10 00:05:15,151.0,4.0,11.0,3.0,97.0,3.0,49.0,55.0,2023-03-10 00:10:06,4.0.4,44.0,Mkdocs Markdown includer plugin.,1288.0,1288.0,11.0,https://pypi.org/project/mkdocs-include-markdown-plugin,95472.0,95475.0,24,True,1.0,,91.0,,,,
8,monorepo,,monorepo,backstage/mkdocs-monorepo-plugin,mkdocs-monorepo-plugin,['plugin'],site-management,https://github.com/backstage/mkdocs-monorepo-plugin,https://github.com/backstage/mkdocs-monorepo-plugin,Apache-2.0,2019-09-19 18:18:32,2023-03-20 13:44:46,2022-09-29 12:08:21,128.0,,57.0,21.0,47.0,25.0,24.0,240.0,,,,Build multiple documentation folders in a single Mkdocs. Designed for large codebases.,290.0,290.0,26.0,https://pypi.org/project/mkdocs-monorepo-plugin,106159.0,106159.0,23,True,1.0,,,,,,
9,mkdocs-with-pdf,,with-pdf,orzih/mkdocs-with-pdf,mkdocs-with-pdf,['plugin'],site-conversion,https://github.com/orzih/mkdocs-with-pdf,https://github.com/orzih/mkdocs-with-pdf,MIT,2020-02-23 16:34:46,2023-01-07 04:42:28,2021-10-14 20:29:54,188.0,,58.0,10.0,49.0,51.0,43.0,218.0,2021-07-03 02:09:02,0.9.3,27.0,Generate a single PDF file from MkDocs repository.,301.0,301.0,6.0,https://pypi.org/project/mkdocs-with-pdf,28927.0,28927.0,23,True,1.0,,,,,,
