,name,mkdocs_theme,mkdocs_plugin,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,markdown_extension,github_release_downloads,trending,updated_github_id,mkdocs_plugins,gitlab_id,gitlab_url
0,Material for MkDocs,material,"['material/info', 'material/offline', 'material/search', 'material/social', 'material/tags']",squidfunk/mkdocs-material,mkdocs-material,"['theme', 'plugin']",theming,https://github.com/squidfunk/mkdocs-material,https://github.com/squidfunk/mkdocs-material,MIT,2016-01-28 22:09:23,2023-05-10 23:58:52,2023-05-10 07:33:50,5246.0,238.0,2858.0,115.0,2345.0,26.0,1841.0,13788.0,2023-05-08 19:25:06,9.1.11,100.0,Documentation that simply works.,31965.0,31965.0,210.0,https://pypi.org/project/mkdocs-material,2309680.0,2309680.0,42,True,1,,,,,,,
1,mkdocstrings,,mkdocstrings,mkdocstrings/mkdocstrings,mkdocstrings,['plugin'],api-docs,https://github.com/mkdocstrings/mkdocstrings,https://github.com/mkdocstrings/mkdocstrings,ISC,2019-12-09 18:09:09,2023-05-11 16:47:14,2023-05-11 15:56:51,567.0,19.0,91.0,11.0,156.0,50.0,289.0,1210.0,2023-01-19 23:00:14,0.20.0,5.0,"Automatic documentation from sources, for MkDocs.",7678.0,7678.0,36.0,https://pypi.org/project/mkdocstrings,358528.0,358528.0,31,True,1,,,,,,,
2,PyMdown Extensions,,,facelessuser/pymdown-extensions,pymdown-extensions,['markdown'],markdown,https://github.com/facelessuser/pymdown-extensions,https://github.com/facelessuser/pymdown-extensions,,2014-11-21 06:08:04,2023-05-10 10:58:32,2023-04-07 18:05:39,1688.0,33.0,238.0,9.0,1641.0,9.0,319.0,751.0,2023-04-07 18:14:27,9.11,75.0,Extensions for Python Markdown.,20145.0,20145.0,42.0,https://pypi.org/project/pymdown-extensions,1347569.0,1347569.0,31,True,1,"['pymdownx.arithmatex', 'pymdownx.b64', 'pymdownx.betterem', 'pymdownx.caret', 'pymdownx.critic', 'pymdownx.details', 'pymdownx.emoji', 'pymdownx.escapeall', 'pymdownx.extra', 'pymdownx.highlight', 'pymdownx.inlinehilite', 'pymdownx.keys', 'pymdownx.magiclink', 'pymdownx.mark', 'pymdownx.pathconverter', 'pymdownx.progressbar', 'pymdownx.saneheaders', 'pymdownx.smartsymbols', 'pymdownx.snippets', 'pymdownx.striphtml', 'pymdownx.superfences', 'pymdownx.tabbed', 'pymdownx.tasklist', 'pymdownx.tilde']",,,,,,
3,awesome-pages,,awesome-pages,lukasgeiter/mkdocs-awesome-pages-plugin,mkdocs-awesome-pages-plugin,['plugin'],nav-pages,https://github.com/lukasgeiter/mkdocs-awesome-pages-plugin,https://github.com/lukasgeiter/mkdocs-awesome-pages-plugin,MIT,2018-02-06 21:09:24,2023-05-08 18:43:02,2023-05-08 18:35:17,91.0,19.0,28.0,7.0,16.0,11.0,47.0,323.0,2023-05-08 18:47:19,2.9.1,23.0,An MkDocs plugin that simplifies configuring page titles and their order.,2544.0,2544.0,6.0,https://pypi.org/project/mkdocs-awesome-pages-plugin,104410.0,104410.0,26,True,1,,,,,,,
4,mike,,mike,jimporter/mike,mike,['plugin'],site-management,https://github.com/jimporter/mike,https://github.com/jimporter/mike,BSD-3-Clause,2017-09-24 08:52:01,2023-05-06 06:18:27,2023-05-06 06:00:39,298.0,11.0,27.0,7.0,17.0,8.0,130.0,322.0,2021-10-04 05:26:35,1.1.2,21.0,Manage multiple versions of your MkDocs-powered documentation via Git.,1897.0,1897.0,8.0,https://pypi.org/project/mike,72300.0,72302.0,26,True,1,,134.0,,,,,
5,macros,,macros,fralau/mkdocs_macros_plugin,mkdocs-macros-plugin,['plugin'],code-exec-templating,https://github.com/fralau/mkdocs_macros_plugin,https://github.com/fralau/mkdocs_macros_plugin,MIT,2018-06-27 15:24:40,2023-04-24 12:33:15,2023-04-24 12:19:35,196.0,8.0,37.0,5.0,43.0,6.0,87.0,192.0,2020-11-23 19:17:08,0.5.0,3.0,"Create richer and more beautiful pages in MkDocs, by using variables and calls to macros in the markdown code.",1926.0,1926.0,26.0,https://pypi.org/project/mkdocs-macros-plugin,115480.0,115480.0,26,True,1,,,,,,,
6,git-revision-date-localized,,git-revision-date-localized,timvink/mkdocs-git-revision-date-localized-plugin,mkdocs-git-revision-date-localized-plugin,['plugin'],git-info,https://github.com/timvink/mkdocs-git-revision-date-localized-plugin,https://github.com/timvink/mkdocs-git-revision-date-localized-plugin,MIT,2019-11-26 12:11:05,2023-04-07 05:42:08,2023-03-02 20:10:10,265.0,3.0,30.0,4.0,41.0,8.0,65.0,114.0,2023-03-02 20:15:25,1.2.0,37.0,MkDocs plugin to add a last updated date to your site pages.,3537.0,3537.0,21.0,https://pypi.org/project/mkdocs-git-revision-date-localized-plugin,142507.0,142507.0,26,True,1,,,,,,,
7,mkdocs-jupyter,,mkdocs-jupyter,danielfrg/mkdocs-jupyter,mkdocs-jupyter,['plugin'],code-exec-templating,https://github.com/danielfrg/mkdocs-jupyter,https://github.com/danielfrg/mkdocs-jupyter,Apache-2.0,2019-12-18 02:11:34,2023-05-10 16:42:03,2023-05-10 16:42:03,207.0,40.0,36.0,5.0,62.0,16.0,69.0,228.0,,,,Use Jupyter Notebook in mkdocs.,1161.0,1161.0,19.0,https://pypi.org/project/mkdocs-jupyter,66055.0,66055.0,24,True,1,,,1.0,,,,
8,monorepo,,monorepo,backstage/mkdocs-monorepo-plugin,mkdocs-monorepo-plugin,['plugin'],site-management,https://github.com/backstage/mkdocs-monorepo-plugin,https://github.com/backstage/mkdocs-monorepo-plugin,Apache-2.0,2019-09-19 18:18:32,2023-05-05 19:41:30,2022-09-29 12:08:21,128.0,,58.0,21.0,47.0,26.0,24.0,246.0,,,,Build multiple documentation folders in a single Mkdocs. Designed for large codebases.,299.0,299.0,26.0,https://pypi.org/project/mkdocs-monorepo-plugin,96835.0,96835.0,23,True,1,,,,,,,
9,minify,,minify,byrnereese/mkdocs-minify-plugin,mkdocs-minify-plugin,['plugin'],html-css,https://github.com/byrnereese/mkdocs-minify-plugin,https://github.com/byrnereese/mkdocs-minify-plugin,MIT,2018-12-19 16:35:00,2023-03-14 21:33:45,2023-03-14 21:32:22,57.0,9.0,12.0,10.0,16.0,1.0,11.0,88.0,2023-03-14 21:34:05,0.6.4,7.0,A mkdocs plugin to minify the HTML of a page before it is written to disk.,4992.0,4992.0,9.0,https://pypi.org/project/mkdocs-minify-plugin,110046.0,110046.0,23,True,1,,,,,,,
10,include-markdown,,include-markdown,mondeja/mkdocs-include-markdown-plugin,mkdocs-include-markdown-plugin,['plugin'],snippets-include,https://github.com/mondeja/mkdocs-include-markdown-plugin,https://github.com/mondeja/mkdocs-include-markdown-plugin,Apache-2.0,2020-12-04 08:09:34,2023-03-23 13:57:04,2023-03-10 00:05:15,151.0,1.0,11.0,3.0,97.0,4.0,50.0,60.0,2023-03-10 00:10:06,4.0.4,44.0,Mkdocs Markdown includer plugin.,1369.0,1369.0,11.0,https://pypi.org/project/mkdocs-include-markdown-plugin,102861.0,102864.0,23,True,1,,106.0,,,,,
11,rss,,rss,Guts/mkdocs-rss-plugin,mkdocs-rss-plugin,['plugin'],blogging,https://github.com/Guts/mkdocs-rss-plugin,https://github.com/Guts/mkdocs-rss-plugin,MIT,2020-07-06 13:48:11,2023-05-01 18:56:35,2023-04-04 06:08:42,613.0,40.0,13.0,3.0,157.0,9.0,22.0,47.0,2023-02-21 22:10:35,1.6.0,14.0,"MkDocs plugin to generate a RSS feeds for created and updated pages, using git log and YAML frontmatter (page.meta).",194.0,194.0,10.0,https://pypi.org/project/mkdocs-rss-plugin,11502.0,11502.0,23,True,1,,16.0,,,,,
12,mkdocs-with-pdf,,with-pdf,orzih/mkdocs-with-pdf,mkdocs-with-pdf,['plugin'],site-conversion,https://github.com/orzih/mkdocs-with-pdf,https://github.com/orzih/mkdocs-with-pdf,MIT,2020-02-23 16:34:46,2023-01-07 04:42:28,2021-10-14 20:29:54,188.0,,60.0,10.0,49.0,51.0,43.0,234.0,2021-07-03 02:09:02,0.9.3,27.0,Generate a single PDF file from MkDocs repository.,324.0,324.0,6.0,https://pypi.org/project/mkdocs-with-pdf,23776.0,23776.0,22,True,1,,,,,,,
13,mermaid2,,mermaid2,fralau/mkdocs-mermaid2-plugin,mkdocs-mermaid2-plugin,['plugin'],charts,https://github.com/fralau/mkdocs-mermaid2-plugin,https://github.com/fralau/mkdocs-mermaid2-plugin,MIT,2020-04-15 09:55:54,2023-04-30 12:54:48,2023-04-30 12:54:30,74.0,10.0,20.0,1.0,17.0,8.0,41.0,149.0,2020-04-15 11:08:34,0.1.2,1.0,A Mermaid graphs plugin for mkdocs.,1306.0,1306.0,12.0,https://pypi.org/project/mkdocs-mermaid2-plugin,88086.0,88086.0,22,True,1,,,1.0,,,,
14,htmlproofer,,htmlproofer,manuzhang/mkdocs-htmlproofer-plugin,mkdocs-htmlproofer-plugin,['plugin'],links-refs,https://github.com/manuzhang/mkdocs-htmlproofer-plugin,https://github.com/manuzhang/mkdocs-htmlproofer-plugin,MIT,2018-08-26 23:48:13,2023-04-22 05:13:53,2023-04-22 05:13:34,93.0,17.0,10.0,3.0,37.0,4.0,22.0,30.0,2023-04-22 05:15:09,0.13.1,17.0,A MkDocs plugin that validates URL in rendered html files.,257.0,257.0,10.0,https://pypi.org/project/mkdocs-htmlproofer-plugin,18880.0,18880.0,22,True,1,,,,,,,
15,pdf-export,,pdf-export,zhaoterryy/mkdocs-pdf-export-plugin,mkdocs-pdf-export-plugin,['plugin'],site-conversion,https://github.com/zhaoterryy/mkdocs-pdf-export-plugin,https://github.com/zhaoterryy/mkdocs-pdf-export-plugin,MIT,2018-02-20 15:06:51,2022-11-22 05:06:36,2021-10-05 01:31:10,72.0,,41.0,19.0,31.0,40.0,46.0,278.0,2020-07-23 01:35:39,0.5.8,5.0,An MkDocs plugin to export content pages as PDF files.,388.0,388.0,11.0,https://pypi.org/project/mkdocs-pdf-export-plugin,17811.0,17811.0,21,True,2,,,,,,,
16,Cinder,cinder,,chrissimpkins/cinder,mkdocs-cinder,['theme'],theming,https://github.com/chrissimpkins/cinder,https://github.com/chrissimpkins/cinder,,2015-08-28 03:45:23,2023-03-07 11:46:26,2021-01-05 20:29:39,229.0,,98.0,8.0,59.0,15.0,35.0,182.0,2020-10-26 22:28:56,1.2.0,32.0,"A clean, responsive MkDocs theme.",536.0,536.0,23.0,https://pypi.org/project/mkdocs-cinder,5432.0,5442.0,21,True,1,,961.0,,,,,
17,static-i18n,,i18n,ultrabug/mkdocs-static-i18n,mkdocs-static-i18n,['plugin'],i18n-l10n,https://github.com/ultrabug/mkdocs-static-i18n,https://github.com/ultrabug/mkdocs-static-i18n,MIT,2021-02-07 17:33:36,2023-05-08 13:59:39,2023-03-23 12:13:46,172.0,13.0,24.0,5.0,133.0,9.0,81.0,140.0,,,,MkDocs i18n plugin using static translation markdown files.,539.0,539.0,8.0,https://pypi.org/project/mkdocs-static-i18n,11562.0,11562.0,21,True,1,,,,,,,
18,mknotebooks,,mknotebooks,greenape/mknotebooks,mknotebooks,['plugin'],code-exec-templating,https://github.com/greenape/mknotebooks,https://github.com/greenape/mknotebooks,MIT,2018-09-18 08:13:25,2023-03-15 11:59:49,2022-12-20 11:05:47,1701.0,,18.0,2.0,1062.0,12.0,25.0,112.0,2021-09-07 13:41:02,0.7.0,14.0,A plugin for mkdocs to help you include Jupyter notebooks in your projects.,380.0,380.0,13.0,https://pypi.org/project/mknotebooks,19770.0,19770.0,21,True,2,,,,,,,
19,mkdocs-redirects,,redirects,mkdocs/mkdocs-redirects,mkdocs-redirects,['plugin'],links-refs,https://github.com/mkdocs/mkdocs-redirects,https://github.com/mkdocs/mkdocs-redirects,MIT,2019-04-03 10:38:39,2023-04-10 18:51:42,2023-04-10 18:50:07,92.0,1.0,15.0,141.0,26.0,11.0,17.0,103.0,2022-09-18 12:22:52,1.2.0,9.0,Open source plugin for Mkdocs page redirects.,1964.0,1964.0,13.0,https://pypi.org/project/mkdocs-redirects,85391.0,85391.0,21,True,1,,,,,,,
20,Markdown-Include,,,cmacmackin/markdown-include,markdown-include,['markdown'],snippets-include,https://github.com/cmacmackin/markdown-include,https://github.com/cmacmackin/markdown-include,GPL-3.0,2015-01-09 01:12:35,2023-02-07 09:46:17,2023-02-07 09:45:37,75.0,,37.0,9.0,21.0,7.0,15.0,89.0,2023-02-07 09:46:17,0.8.1,13.0,Provides syntax for Python-Markdown which allows for the inclusion of the contents of other Markdown documents.,4532.0,4532.0,12.0,https://pypi.org/project/markdown-include,58843.0,58843.0,21,True,2,markdown_include.include,,,,,,
21,mkdocs-multirepo-plugin,,multirepo,jdoiro3/mkdocs-multirepo-plugin,mkdocs-multirepo-plugin,['plugin'],site-management,https://github.com/jdoiro3/mkdocs-multirepo-plugin,https://github.com/jdoiro3/mkdocs-multirepo-plugin,MIT,2021-12-19 01:25:18,2023-04-01 03:35:20,2023-04-01 03:35:20,409.0,5.0,21.0,2.0,35.0,20.0,35.0,67.0,2023-03-29 13:11:32,0.6.1,16.0,Build documentation in multiple repos into one site.,75.0,75.0,9.0,https://pypi.org/project/mkdocs-multirepo-plugin,12074.0,12074.0,21,True,2,,,,,,,
