,name,mkdocs_theme,mkdocs_plugin,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,markdown_extension,extra_dependencies,github_release_downloads,updated_github_id,shadowed,gitlab_id,gitlab_url,trending
0,Material for MkDocs,material,"['material/info', 'material/offline', 'material/search', 'material/social', 'material/tags']",squidfunk/mkdocs-material,mkdocs-material,"['theme', 'plugin']",theming,https://github.com/squidfunk/mkdocs-material,https://github.com/squidfunk/mkdocs-material,MIT,2016-01-28 22:09:23,2023-06-02 11:41:11,2023-06-02 09:18:46,5303.0,206.0,2864.0,115.0,2368.0,19.0,1874.0,14083.0,2023-05-29 15:43:18,9.1.15,100.0,Documentation that simply works.,32941.0,32941.0,215.0,https://pypi.org/project/mkdocs-material,2468710.0,2468710.0,42,True,1.0,,,,,,,,
1,PyMdown Extensions,,,facelessuser/pymdown-extensions,pymdown-extensions,['markdown'],markdown,https://github.com/facelessuser/pymdown-extensions,https://github.com/facelessuser/pymdown-extensions,,2014-11-21 06:08:04,2023-06-02 10:56:48,2023-05-16 05:31:54,1691.0,10.0,239.0,9.0,1656.0,8.0,322.0,762.0,2023-05-16 05:33:02,10.0.1,77.0,Extensions for Python Markdown.,20951.0,20951.0,42.0,https://pypi.org/project/pymdown-extensions,1409487.0,1409487.0,32,True,1.0,"['pymdownx.arithmatex', 'pymdownx.b64', 'pymdownx.betterem', 'pymdownx.caret', 'pymdownx.critic', 'pymdownx.details', 'pymdownx.emoji', 'pymdownx.escapeall', 'pymdownx.extra', 'pymdownx.highlight', 'pymdownx.inlinehilite', 'pymdownx.keys', 'pymdownx.magiclink', 'pymdownx.mark', 'pymdownx.pathconverter', 'pymdownx.progressbar', 'pymdownx.saneheaders', 'pymdownx.smartsymbols', 'pymdownx.snippets', 'pymdownx.striphtml', 'pymdownx.superfences', 'pymdownx.tabbed', 'pymdownx.tasklist', 'pymdownx.tilde']",,,,,,,
2,mkdocstrings,,mkdocstrings,mkdocstrings/mkdocstrings,mkdocstrings,['plugin'],api-docs,https://github.com/mkdocstrings/mkdocstrings,https://github.com/mkdocstrings/mkdocstrings,ISC,2019-12-09 18:09:09,2023-05-26 10:43:27,2023-05-26 10:43:21,572.0,23.0,91.0,12.0,158.0,44.0,294.0,1239.0,2023-01-19 23:00:14,0.20.0,5.0,"Automatic documentation from sources, for MkDocs.",7950.0,7950.0,36.0,https://pypi.org/project/mkdocstrings,367175.0,367175.0,31,True,1.0,,"{'mkdocstrings.handlers.crystal': 'mkdocstrings-crystal', 'mkdocstrings.handlers.python': 'mkdocstrings-python'}",,,,,,
3,awesome-pages,,awesome-pages,lukasgeiter/mkdocs-awesome-pages-plugin,mkdocs-awesome-pages-plugin,['plugin'],nav-pages,https://github.com/lukasgeiter/mkdocs-awesome-pages-plugin,https://github.com/lukasgeiter/mkdocs-awesome-pages-plugin,MIT,2018-02-06 21:09:24,2023-05-08 18:43:02,2023-05-08 18:35:17,91.0,19.0,28.0,7.0,16.0,11.0,47.0,329.0,2023-05-08 18:47:19,2.9.1,23.0,An MkDocs plugin that simplifies configuring page titles and their order.,2652.0,2652.0,6.0,https://pypi.org/project/mkdocs-awesome-pages-plugin,96118.0,96118.0,26,True,1.0,,,,,,,,
4,macros,,macros,fralau/mkdocs_macros_plugin,mkdocs-macros-plugin,['plugin'],code-exec-templating,https://github.com/fralau/mkdocs_macros_plugin,https://github.com/fralau/mkdocs_macros_plugin,MIT,2018-06-27 15:24:40,2023-05-25 12:14:36,2023-05-25 12:05:59,197.0,9.0,37.0,5.0,43.0,8.0,87.0,197.0,2020-11-23 19:17:08,0.5.0,3.0,"Create richer and more beautiful pages in MkDocs, by using variables and calls to macros in the markdown code.",1982.0,1982.0,26.0,https://pypi.org/project/mkdocs-macros-plugin,127213.0,127213.0,26,True,1.0,,,,,,,,
5,git-revision-date-localized,,git-revision-date-localized,timvink/mkdocs-git-revision-date-localized-plugin,mkdocs-git-revision-date-localized-plugin,['plugin'],git-info,https://github.com/timvink/mkdocs-git-revision-date-localized-plugin,https://github.com/timvink/mkdocs-git-revision-date-localized-plugin,MIT,2019-11-26 12:11:05,2023-05-31 16:58:50,2023-03-02 20:10:10,265.0,,30.0,4.0,42.0,9.0,65.0,115.0,2023-03-02 20:15:25,1.2.0,37.0,MkDocs plugin to add a last updated date to your site pages.,3732.0,3732.0,21.0,https://pypi.org/project/mkdocs-git-revision-date-localized-plugin,144795.0,144795.0,26,True,1.0,,,,,,,,
6,mike,,mike,jimporter/mike,mike,['plugin'],site-management,https://github.com/jimporter/mike,https://github.com/jimporter/mike,BSD-3-Clause,2017-09-24 08:52:01,2023-05-06 06:18:27,2023-05-06 06:00:39,298.0,6.0,27.0,7.0,17.0,6.0,132.0,329.0,2021-10-04 05:26:35,1.1.2,21.0,Manage multiple versions of your MkDocs-powered documentation via Git.,1946.0,1946.0,8.0,https://pypi.org/project/mike,76494.0,76496.0,25,True,1.0,,,137.0,,,,,
7,mkdocs-jupyter,,mkdocs-jupyter,danielfrg/mkdocs-jupyter,mkdocs-jupyter,['plugin'],code-exec-templating,https://github.com/danielfrg/mkdocs-jupyter,https://github.com/danielfrg/mkdocs-jupyter,Apache-2.0,2019-12-18 02:11:34,2023-05-25 20:05:28,2023-05-25 20:05:27,210.0,43.0,36.0,5.0,65.0,18.0,70.0,237.0,,,,Use Jupyter Notebook in mkdocs.,1220.0,1220.0,19.0,https://pypi.org/project/mkdocs-jupyter,67831.0,67831.0,25,True,1.0,,,,,,,,
8,monorepo,,monorepo,backstage/mkdocs-monorepo-plugin,mkdocs-monorepo-plugin,['plugin'],site-management,https://github.com/backstage/mkdocs-monorepo-plugin,https://github.com/backstage/mkdocs-monorepo-plugin,Apache-2.0,2019-09-19 18:18:32,2023-05-12 12:09:16,2023-05-12 12:09:16,141.0,12.0,59.0,21.0,50.0,26.0,24.0,248.0,,,,Build multiple documentation folders in a single Mkdocs. Designed for large codebases.,304.0,304.0,30.0,https://pypi.org/project/mkdocs-monorepo-plugin,115643.0,115643.0,24,True,1.0,,,,,,,,
9,mermaid2,,mermaid2,fralau/mkdocs-mermaid2-plugin,mkdocs-mermaid2-plugin,['plugin'],charts,https://github.com/fralau/mkdocs-mermaid2-plugin,https://github.com/fralau/mkdocs-mermaid2-plugin,MIT,2020-04-15 09:55:54,2023-04-30 12:54:48,2023-04-30 12:54:30,74.0,10.0,21.0,1.0,17.0,8.0,41.0,153.0,2020-04-15 11:08:34,0.1.2,1.0,A Mermaid graphs plugin for mkdocs.,1348.0,1348.0,12.0,https://pypi.org/project/mkdocs-mermaid2-plugin,85645.0,85645.0,23,True,1.0,,,,,,,,
