,name,mkdocs_theme,mkdocs_plugin,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,trending,markdown_extension,extra_dependencies,github_release_downloads,updated_github_id,shadowed,new_addition,gitlab_id,gitlab_url
0,Material for MkDocs,material,"['material/info', 'material/offline', 'material/search', 'material/social', 'material/tags']",squidfunk/mkdocs-material,mkdocs-material,"['theme', 'plugin']",theming,https://github.com/squidfunk/mkdocs-material,https://github.com/squidfunk/mkdocs-material,MIT,2016-01-28 22:09:23,2023-06-29 15:00:09,2023-06-29 14:56:49,5339.0,192.0,2891.0,116.0,2400.0,21.0,1888.0,14324.0,2023-06-23 18:26:42,9.1.17,100.0,Documentation that simply works.,33877.0,33877.0,218.0,https://pypi.org/project/mkdocs-material,2666848.0,2666848.0,42,True,1.0,1.0,,,,,,,,
1,PyMdown Extensions,,,facelessuser/pymdown-extensions,pymdown-extensions,['markdown'],markdown,https://github.com/facelessuser/pymdown-extensions,https://github.com/facelessuser/pymdown-extensions,,2014-11-21 06:08:04,2023-06-28 13:13:08,2023-06-28 13:12:13,1697.0,15.0,240.0,9.0,1685.0,7.0,325.0,770.0,2023-05-16 05:33:02,10.0.1,77.0,Extensions for Python Markdown.,21662.0,21662.0,43.0,https://pypi.org/project/pymdown-extensions,1494406.0,1494406.0,32,True,1.0,,"['pymdownx.arithmatex', 'pymdownx.b64', 'pymdownx.betterem', 'pymdownx.caret', 'pymdownx.critic', 'pymdownx.details', 'pymdownx.emoji', 'pymdownx.escapeall', 'pymdownx.extra', 'pymdownx.highlight', 'pymdownx.inlinehilite', 'pymdownx.keys', 'pymdownx.magiclink', 'pymdownx.mark', 'pymdownx.pathconverter', 'pymdownx.progressbar', 'pymdownx.saneheaders', 'pymdownx.smartsymbols', 'pymdownx.snippets', 'pymdownx.striphtml', 'pymdownx.superfences', 'pymdownx.tabbed', 'pymdownx.tasklist', 'pymdownx.tilde']",,,,,,,
2,mkdocstrings,,mkdocstrings,mkdocstrings/mkdocstrings,mkdocstrings,['plugin'],api-docs,https://github.com/mkdocstrings/mkdocstrings,https://github.com/mkdocstrings/mkdocstrings,ISC,2019-12-09 18:09:09,2023-06-08 22:18:31,2023-06-08 22:18:25,576.0,26.0,93.0,13.0,159.0,47.0,295.0,1257.0,2023-01-19 23:00:14,0.20.0,5.0,"Automatic documentation from sources, for MkDocs.",8241.0,8241.0,36.0,https://pypi.org/project/mkdocstrings,439159.0,439159.0,31,True,1.0,,,"{'plugins.mkdocstrings.handlers.crystal': 'mkdocstrings-crystal', 'plugins.mkdocstrings.handlers.python': 'mkdocstrings-python'}",,,,,,
3,git-revision-date-localized,,git-revision-date-localized,timvink/mkdocs-git-revision-date-localized-plugin,mkdocs-git-revision-date-localized-plugin,['plugin'],git-info,https://github.com/timvink/mkdocs-git-revision-date-localized-plugin,https://github.com/timvink/mkdocs-git-revision-date-localized-plugin,MIT,2019-11-26 12:11:05,2023-05-31 16:58:50,2023-03-02 20:10:10,265.0,,30.0,4.0,42.0,9.0,65.0,119.0,2023-03-02 20:15:25,1.2.0,37.0,MkDocs plugin to add a last updated date to your site pages.,3932.0,3932.0,21.0,https://pypi.org/project/mkdocs-git-revision-date-localized-plugin,164945.0,164945.0,27,True,1.0,,,,,,,,,
4,macros,,macros,fralau/mkdocs_macros_plugin,mkdocs-macros-plugin,['plugin'],code-exec-templating,https://github.com/fralau/mkdocs_macros_plugin,https://github.com/fralau/mkdocs_macros_plugin,MIT,2018-06-27 15:24:40,2023-05-25 12:14:36,2023-05-25 12:05:59,197.0,7.0,37.0,5.0,43.0,9.0,87.0,204.0,2020-11-23 19:17:08,0.5.0,3.0,"Create richer and more beautiful pages in MkDocs, by using variables and calls to macros in the markdown code.",2044.0,2044.0,26.0,https://pypi.org/project/mkdocs-macros-plugin,140729.0,140729.0,26,True,1.0,,,,,,,,,
5,mike,,mike,jimporter/mike,mike,['plugin'],site-management,https://github.com/jimporter/mike,https://github.com/jimporter/mike,BSD-3-Clause,2017-09-24 08:52:01,2023-06-26 17:27:42,2023-06-26 17:26:36,299.0,4.0,28.0,8.0,17.0,8.0,136.0,343.0,2021-10-04 05:26:35,1.1.2,21.0,Manage multiple versions of your MkDocs-powered documentation via Git.,2021.0,2021.0,8.0,https://pypi.org/project/mike,91318.0,91320.0,25,True,1.0,,,,145.0,,,,,
6,awesome-pages,,awesome-pages,lukasgeiter/mkdocs-awesome-pages-plugin,mkdocs-awesome-pages-plugin,['plugin'],nav-pages,https://github.com/lukasgeiter/mkdocs-awesome-pages-plugin,https://github.com/lukasgeiter/mkdocs-awesome-pages-plugin,MIT,2018-02-06 21:09:24,2023-05-08 18:43:02,2023-05-08 18:35:17,91.0,7.0,28.0,7.0,16.0,12.0,47.0,332.0,2023-05-08 18:47:19,2.9.1,23.0,An MkDocs plugin that simplifies configuring page titles and their order.,2784.0,2784.0,6.0,https://pypi.org/project/mkdocs-awesome-pages-plugin,105887.0,105887.0,25,True,1.0,,,,,,,,,
7,mkdocs-jupyter,,mkdocs-jupyter,danielfrg/mkdocs-jupyter,mkdocs-jupyter,['plugin'],code-exec-templating,https://github.com/danielfrg/mkdocs-jupyter,https://github.com/danielfrg/mkdocs-jupyter,Apache-2.0,2019-12-18 02:11:34,2023-05-25 20:05:28,2023-05-25 20:05:27,210.0,16.0,37.0,5.0,65.0,19.0,71.0,250.0,,,,Use Jupyter Notebook in mkdocs.,1287.0,1287.0,19.0,https://pypi.org/project/mkdocs-jupyter,75110.0,75110.0,24,True,1.0,,,,,,,,,
8,include-markdown,,include-markdown,mondeja/mkdocs-include-markdown-plugin,mkdocs-include-markdown-plugin,['plugin'],snippets-include,https://github.com/mondeja/mkdocs-include-markdown-plugin,https://github.com/mondeja/mkdocs-include-markdown-plugin,Apache-2.0,2020-12-04 08:09:34,2023-06-25 14:15:16,2023-03-10 00:05:15,151.0,,12.0,3.0,98.0,4.0,52.0,62.0,2023-03-10 00:10:06,4.0.4,44.0,Mkdocs Markdown includer plugin.,1446.0,1446.0,11.0,https://pypi.org/project/mkdocs-include-markdown-plugin,112147.0,112152.0,24,True,1.0,,,,152.0,,,,,
9,monorepo,,monorepo,backstage/mkdocs-monorepo-plugin,mkdocs-monorepo-plugin,['plugin'],site-management,https://github.com/backstage/mkdocs-monorepo-plugin,https://github.com/backstage/mkdocs-monorepo-plugin,Apache-2.0,2019-09-19 18:18:32,2023-06-24 05:31:51,2023-05-12 12:09:16,141.0,8.0,60.0,21.0,51.0,26.0,24.0,249.0,,,,Build multiple documentation folders in a single Mkdocs. Designed for large codebases.,307.0,307.0,30.0,https://pypi.org/project/mkdocs-monorepo-plugin,138360.0,138360.0,23,True,1.0,,,,,,,,,
