,name,mkdocs_theme,mkdocs_plugin,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,markdown_extension,extra_dependencies,github_release_downloads,trending,updated_github_id,shadowed,gitlab_id,gitlab_url
0,Material for MkDocs,material,"['material/offline', 'material/search', 'material/social', 'material/tags']",squidfunk/mkdocs-material,mkdocs-material,"['theme', 'plugin']",theming,https://github.com/squidfunk/mkdocs-material,https://github.com/squidfunk/mkdocs-material,MIT,2016-01-28 22:09:23,2023-08-10 16:31:07,2023-08-07 11:35:15,5384.0,120.0,2929.0,120.0,2459.0,23.0,1920.0,14819.0,2023-08-03 18:00:57,9.2.0b3,100.0,Documentation that simply works.,35357.0,35357.0,220.0,https://pypi.org/project/mkdocs-material,2665318.0,2665318.0,40,True,1.0,,,,,,,,
1,PyMdown Extensions,,,facelessuser/pymdown-extensions,pymdown-extensions,['markdown'],markdown,https://github.com/facelessuser/pymdown-extensions,https://github.com/facelessuser/pymdown-extensions,,2014-11-21 06:08:04,2023-08-10 10:41:12,2023-07-26 03:47:55,1706.0,18.0,241.0,9.0,1731.0,7.0,328.0,792.0,2023-07-13 18:01:54,10.1.0,78.0,Extensions for Python Markdown.,22877.0,22877.0,43.0,https://pypi.org/project/pymdown-extensions,1902358.0,1902358.0,32,True,1.0,"['pymdownx.arithmatex', 'pymdownx.b64', 'pymdownx.betterem', 'pymdownx.caret', 'pymdownx.critic', 'pymdownx.details', 'pymdownx.emoji', 'pymdownx.escapeall', 'pymdownx.extra', 'pymdownx.highlight', 'pymdownx.inlinehilite', 'pymdownx.keys', 'pymdownx.magiclink', 'pymdownx.mark', 'pymdownx.pathconverter', 'pymdownx.progressbar', 'pymdownx.saneheaders', 'pymdownx.smartsymbols', 'pymdownx.snippets', 'pymdownx.striphtml', 'pymdownx.superfences', 'pymdownx.tabbed', 'pymdownx.tasklist', 'pymdownx.tilde']",,,,,,,
2,mkdocstrings,,mkdocstrings,mkdocstrings/mkdocstrings,mkdocstrings,['plugin'],api-docs,https://github.com/mkdocstrings/mkdocstrings,https://github.com/mkdocstrings/mkdocstrings,ISC,2019-12-09 18:09:09,2023-08-02 20:24:01,2023-08-02 20:24:00,588.0,19.0,94.0,13.0,161.0,46.0,304.0,1299.0,2023-01-19 23:00:14,0.20.0,5.0,"Automatic documentation from sources, for MkDocs.",8690.0,8690.0,37.0,https://pypi.org/project/mkdocstrings,563319.0,563319.0,31,True,1.0,,"{'plugins.mkdocstrings.handlers.crystal': 'mkdocstrings-crystal', 'plugins.mkdocstrings.handlers.python': 'mkdocstrings-python'}",,,,,,
3,macros,,macros,fralau/mkdocs_macros_plugin,mkdocs-macros-plugin,['plugin'],code-exec-templating,https://github.com/fralau/mkdocs_macros_plugin,https://github.com/fralau/mkdocs_macros_plugin,MIT,2018-06-27 15:24:40,2023-08-07 15:02:06,2023-08-03 14:43:38,203.0,7.0,38.0,5.0,43.0,4.0,93.0,216.0,2020-11-23 19:17:08,0.5.0,3.0,"Create richer and more beautiful pages in MkDocs, by using variables and calls to macros in the markdown code.",2174.0,2174.0,26.0,https://pypi.org/project/mkdocs-macros-plugin,171172.0,171172.0,26,True,1.0,,,,,,,,
4,git-revision-date-localized,,git-revision-date-localized,timvink/mkdocs-git-revision-date-localized-plugin,mkdocs-git-revision-date-localized-plugin,['plugin'],git-info,https://github.com/timvink/mkdocs-git-revision-date-localized-plugin,https://github.com/timvink/mkdocs-git-revision-date-localized-plugin,MIT,2019-11-26 12:11:05,2023-05-31 16:58:50,2023-03-02 20:10:10,265.0,,28.0,4.0,42.0,10.0,65.0,129.0,2023-03-02 20:15:25,1.2.0,37.0,MkDocs plugin to add a last updated date to your site pages.,4220.0,4220.0,21.0,https://pypi.org/project/mkdocs-git-revision-date-localized-plugin,158149.0,158149.0,26,True,1.0,,,,,,,,
5,mermaid2,,mermaid2,fralau/mkdocs-mermaid2-plugin,mkdocs-mermaid2-plugin,['plugin'],charts,https://github.com/fralau/mkdocs-mermaid2-plugin,https://github.com/fralau/mkdocs-mermaid2-plugin,MIT,2020-04-15 09:55:54,2023-08-09 09:33:24,2023-08-09 09:32:55,95.0,21.0,22.0,1.0,18.0,2.0,52.0,171.0,2023-07-28 09:12:23,1.0.1,2.0,A Mermaid graphs plugin for mkdocs.,1460.0,1460.0,13.0,https://pypi.org/project/mkdocs-mermaid2-plugin,104121.0,104121.0,25,True,1.0,,,,,,,,
6,include-markdown,,include-markdown,mondeja/mkdocs-include-markdown-plugin,mkdocs-include-markdown-plugin,['plugin'],snippets-include,https://github.com/mondeja/mkdocs-include-markdown-plugin,https://github.com/mondeja/mkdocs-include-markdown-plugin,Apache-2.0,2020-12-04 08:09:34,2023-08-04 04:04:56,2023-08-04 04:01:24,163.0,12.0,14.0,3.0,108.0,1.0,58.0,68.0,2023-08-04 04:13:36,5.1.0,46.0,Mkdocs Markdown includer plugin.,1520.0,1520.0,13.0,https://pypi.org/project/mkdocs-include-markdown-plugin,130657.0,130662.0,25,True,1.0,,,173.0,,,,,
7,mike,,mike,jimporter/mike,mike,['plugin'],site-management,https://github.com/jimporter/mike,https://github.com/jimporter/mike,BSD-3-Clause,2017-09-24 08:52:01,2023-07-05 17:42:39,2023-07-05 16:57:28,300.0,2.0,28.0,7.0,17.0,9.0,138.0,353.0,2021-10-04 05:26:35,1.1.2,21.0,Manage multiple versions of your MkDocs-powered documentation via Git.,2107.0,2107.0,8.0,https://pypi.org/project/mike,102707.0,102709.0,24,True,1.0,,,149.0,-1.0,,,,
8,awesome-pages,,awesome-pages,lukasgeiter/mkdocs-awesome-pages-plugin,mkdocs-awesome-pages-plugin,['plugin'],nav-pages,https://github.com/lukasgeiter/mkdocs-awesome-pages-plugin,https://github.com/lukasgeiter/mkdocs-awesome-pages-plugin,MIT,2018-02-06 21:09:24,2023-08-10 16:02:57,2023-07-15 12:53:08,93.0,2.0,29.0,7.0,17.0,15.0,47.0,348.0,2023-05-08 18:47:19,2.9.1,23.0,An MkDocs plugin that simplifies configuring page titles and their order.,2953.0,2953.0,6.0,https://pypi.org/project/mkdocs-awesome-pages-plugin,106581.0,106581.0,24,True,1.0,,,,-1.0,,,,
9,mkdocs-jupyter,,mkdocs-jupyter,danielfrg/mkdocs-jupyter,mkdocs-jupyter,['plugin'],code-exec-templating,https://github.com/danielfrg/mkdocs-jupyter,https://github.com/danielfrg/mkdocs-jupyter,Apache-2.0,2019-12-18 02:11:34,2023-07-25 23:58:20,2023-07-25 23:58:19,213.0,6.0,36.0,5.0,67.0,23.0,72.0,272.0,,,,Use Jupyter Notebook in mkdocs.,1389.0,1389.0,19.0,https://pypi.org/project/mkdocs-jupyter,79819.0,79819.0,23,True,1.0,,,,,,,,
10,monorepo,,monorepo,backstage/mkdocs-monorepo-plugin,mkdocs-monorepo-plugin,['plugin'],site-management,https://github.com/backstage/mkdocs-monorepo-plugin,https://github.com/backstage/mkdocs-monorepo-plugin,Apache-2.0,2019-09-19 18:18:32,2023-07-11 13:49:46,2023-05-12 12:09:16,141.0,,61.0,21.0,52.0,28.0,24.0,257.0,,,,Build multiple documentation folders in a single Mkdocs. Designed for large codebases.,314.0,314.0,30.0,https://pypi.org/project/mkdocs-monorepo-plugin,198589.0,198589.0,23,True,1.0,,,,,,,,
11,mkdocs-with-pdf,,with-pdf,orzih/mkdocs-with-pdf,mkdocs-with-pdf,['plugin'],site-conversion,https://github.com/orzih/mkdocs-with-pdf,https://github.com/orzih/mkdocs-with-pdf,MIT,2020-02-23 16:34:46,2023-06-08 09:34:08,2021-10-14 20:29:54,188.0,,59.0,10.0,50.0,53.0,44.0,251.0,2021-07-03 02:09:02,0.9.3,27.0,Generate a single PDF file from MkDocs repository.,363.0,363.0,6.0,https://pypi.org/project/mkdocs-with-pdf,24011.0,24011.0,23,True,1.0,,,,,,,,
12,mkdocs-redirects,,redirects,mkdocs/mkdocs-redirects,mkdocs-redirects,['plugin'],links-refs,https://github.com/mkdocs/mkdocs-redirects,https://github.com/mkdocs/mkdocs-redirects,MIT,2019-04-03 10:38:39,2023-07-18 21:27:16,2023-07-18 21:24:54,95.0,3.0,16.0,140.0,27.0,11.0,18.0,115.0,2023-07-18 21:27:48,1.2.1,10.0,Open source plugin for Mkdocs page redirects.,2245.0,2245.0,13.0,https://pypi.org/project/mkdocs-redirects,107258.0,107258.0,23,True,1.0,,,,,,,,
13,mknotebooks,,mknotebooks,greenape/mknotebooks,mknotebooks,['plugin'],code-exec-templating,https://github.com/greenape/mknotebooks,https://github.com/greenape/mknotebooks,MIT,2018-09-18 08:13:25,2023-08-09 12:08:18,2023-08-09 12:08:16,1734.0,33.0,19.0,2.0,1074.0,12.0,26.0,113.0,2023-08-07 10:13:29,0.8.0,15.0,A plugin for mkdocs to help you include Jupyter notebooks in your projects.,405.0,405.0,14.0,https://pypi.org/project/mknotebooks,19812.0,19812.0,23,True,1.0,,,,3.0,,,,
