,name,mkdocs_theme,mkdocs_plugin,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,extra_dependencies,markdown_extension,github_release_downloads,trending,updated_github_id,shadowed,gitlab_id,gitlab_url,bitbucket_id
0,Material for MkDocs,material,"['material/search', 'material/social', 'material/tags']",squidfunk/mkdocs-material,mkdocs-material,"['theme', 'plugin']",theming,https://github.com/squidfunk/mkdocs-material,https://github.com/squidfunk/mkdocs-material,MIT,2016-01-28 22:09:23,2023-10-12 08:01:25,2023-10-12 08:01:22,5772.0,391.0,3008.0,124.0,2582.0,27.0,2024.0,15733.0,2023-10-10 08:32:01,9.4.5,100.0,Documentation that simply works.,37887.0,37887.0,232.0,https://pypi.org/project/mkdocs-material,3187177.0,3187177.0,42,True,1.0,,,,,,,,,
1,mkdocstrings,,mkdocstrings,mkdocstrings/mkdocstrings,mkdocstrings,['plugin'],api-docs,https://github.com/mkdocstrings/mkdocstrings,https://github.com/mkdocstrings/mkdocstrings,ISC,2019-12-09 18:09:09,2023-09-18 20:17:18,2023-09-18 20:17:18,606.0,30.0,94.0,14.0,164.0,46.0,321.0,1375.0,2023-09-02 09:32:18,0.23.0,6.0,"Automatic documentation from sources, for MkDocs.",9401.0,9401.0,39.0,https://pypi.org/project/mkdocstrings,583610.0,583610.0,32,True,1.0,"{'plugins.mkdocstrings.handlers.crystal': 'mkdocstrings-crystal', 'plugins.mkdocstrings.handlers.python': 'mkdocstrings-python'}",,,,,,,,
2,PyMdown Extensions,,,facelessuser/pymdown-extensions,pymdown-extensions,['markdown'],markdown,https://github.com/facelessuser/pymdown-extensions,https://github.com/facelessuser/pymdown-extensions,,2014-11-21 06:08:04,2023-10-12 10:10:09,2023-10-10 15:15:39,1728.0,27.0,244.0,9.0,1781.0,9.0,335.0,812.0,2023-09-02 18:33:00,10.3,81.0,Extensions for Python Markdown.,24643.0,24643.0,43.0,https://pypi.org/project/pymdown-extensions,2073237.0,2073237.0,31,True,1.0,,"['pymdownx.arithmatex', 'pymdownx.b64', 'pymdownx.betterem', 'pymdownx.blocks.admonition', 'pymdownx.blocks.definition', 'pymdownx.blocks.details', 'pymdownx.blocks.html', 'pymdownx.blocks.tab', 'pymdownx.caret', 'pymdownx.critic', 'pymdownx.details', 'pymdownx.emoji', 'pymdownx.escapeall', 'pymdownx.extra', 'pymdownx.highlight', 'pymdownx.inlinehilite', 'pymdownx.keys', 'pymdownx.magiclink', 'pymdownx.mark', 'pymdownx.pathconverter', 'pymdownx.progressbar', 'pymdownx.saneheaders', 'pymdownx.smartsymbols', 'pymdownx.snippets', 'pymdownx.striphtml', 'pymdownx.superfences', 'pymdownx.tabbed', 'pymdownx.tasklist', 'pymdownx.tilde']",,,,,,,
3,macros,,macros,fralau/mkdocs_macros_plugin,mkdocs-macros-plugin,['plugin'],code-exec-templating,https://github.com/fralau/mkdocs_macros_plugin,https://github.com/fralau/mkdocs_macros_plugin,MIT,2018-06-27 15:24:40,2023-08-14 12:12:20,2023-08-14 12:12:03,212.0,12.0,38.0,5.0,43.0,4.0,96.0,235.0,2023-08-13 11:52:51,1.0.4,4.0,"Create richer and more beautiful pages in MkDocs, by using variables and calls to macros in the markdown code.",2382.0,2382.0,26.0,https://pypi.org/project/mkdocs-macros-plugin,201352.0,201352.0,28,True,1.0,,,,,,,,,
4,mike,,mike,jimporter/mike,mike,['plugin'],site-management,https://github.com/jimporter/mike,https://github.com/jimporter/mike,BSD-3-Clause,2017-09-24 08:52:01,2023-09-09 21:34:44,2023-09-09 21:01:36,301.0,1.0,32.0,7.0,18.0,9.0,149.0,385.0,2021-10-04 05:26:35,1.1.2,21.0,Manage multiple versions of your MkDocs-powered documentation via Git.,2258.0,2258.0,8.0,https://pypi.org/project/mike,107499.0,107501.0,25,True,1.0,,,151.0,1.0,,,,,
5,awesome-pages,,awesome-pages,lukasgeiter/mkdocs-awesome-pages-plugin,mkdocs-awesome-pages-plugin,['plugin'],nav-pages,https://github.com/lukasgeiter/mkdocs-awesome-pages-plugin,https://github.com/lukasgeiter/mkdocs-awesome-pages-plugin,MIT,2018-02-06 21:09:24,2023-08-19 21:30:00,2023-08-19 21:19:39,96.0,4.0,29.0,7.0,17.0,15.0,55.0,368.0,2023-08-19 21:31:54,2.9.2,24.0,An MkDocs plugin that simplifies configuring page titles and their order.,3278.0,3278.0,7.0,https://pypi.org/project/mkdocs-awesome-pages-plugin,166230.0,166230.0,25,True,1.0,,,,,,,,,
6,mermaid2,,mermaid2,fralau/mkdocs-mermaid2-plugin,mkdocs-mermaid2-plugin,['plugin'],charts,https://github.com/fralau/mkdocs-mermaid2-plugin,https://github.com/fralau/mkdocs-mermaid2-plugin,MIT,2020-04-15 09:55:54,2023-09-26 08:14:18,2023-09-26 06:36:28,98.0,23.0,21.0,1.0,18.0,3.0,58.0,177.0,2023-09-01 12:13:11,1.1.0,3.0,A Mermaid graphs plugin for mkdocs.,1553.0,1553.0,13.0,https://pypi.org/project/mkdocs-mermaid2-plugin,138393.0,138393.0,25,True,1.0,,,,,,,,,
7,git-revision-date-localized,,git-revision-date-localized,timvink/mkdocs-git-revision-date-localized-plugin,mkdocs-git-revision-date-localized-plugin,['plugin'],git-info,https://github.com/timvink/mkdocs-git-revision-date-localized-plugin,https://github.com/timvink/mkdocs-git-revision-date-localized-plugin,MIT,2019-11-26 12:11:05,2023-05-31 16:58:50,2023-03-02 20:10:10,265.0,,29.0,3.0,42.0,12.0,67.0,135.0,2023-03-02 20:15:25,1.2.0,37.0,MkDocs plugin to add a last updated date to your site pages.,4757.0,4757.0,21.0,https://pypi.org/project/mkdocs-git-revision-date-localized-plugin,185235.0,185235.0,25,True,1.0,,,,,,,,,
8,include-markdown,,include-markdown,mondeja/mkdocs-include-markdown-plugin,mkdocs-include-markdown-plugin,['plugin'],snippets-include,https://github.com/mondeja/mkdocs-include-markdown-plugin,https://github.com/mondeja/mkdocs-include-markdown-plugin,Apache-2.0,2020-12-04 08:09:34,2023-10-12 17:45:39,2023-10-12 17:40:44,168.0,17.0,15.0,3.0,111.0,1.0,61.0,71.0,2023-10-12 17:53:13,6.0.2,49.0,Mkdocs Markdown includer plugin.,1611.0,1611.0,13.0,https://pypi.org/project/mkdocs-include-markdown-plugin,133894.0,133899.0,25,True,1.0,,,192.0,,,,,,
9,mkdocs-jupyter,,mkdocs-jupyter,danielfrg/mkdocs-jupyter,mkdocs-jupyter,['plugin'],code-exec-templating,https://github.com/danielfrg/mkdocs-jupyter,https://github.com/danielfrg/mkdocs-jupyter,Apache-2.0,2019-12-18 02:11:34,2023-10-09 02:04:50,2023-10-09 02:04:48,227.0,16.0,35.0,5.0,72.0,13.0,91.0,286.0,,,,Use Jupyter Notebook in mkdocs.,1603.0,1603.0,19.0,https://pypi.org/project/mkdocs-jupyter,90029.0,90029.0,24,True,1.0,,,,,,,,,
