,name,mkdocs_theme,mkdocs_plugin,extra_dependencies,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,markdown_extension,trending,github_release_downloads,new_addition,updated_github_id,shadowed,gitlab_id,gitlab_url,bitbucket_id
0,Material for MkDocs,material,"['material/blog', 'material/group', 'material/offline', 'material/search', 'material/social', 'material/tags']",{'plugins.social': 'mkdocs-material[imaging]'},squidfunk/mkdocs-material,mkdocs-material,"['theme', 'plugin']",theming,https://github.com/squidfunk/mkdocs-material,https://github.com/squidfunk/mkdocs-material,MIT,2016-01-28 22:09:23,2023-11-16 09:24:23,2023-11-14 22:04:58,5830.0,387.0,3050.0,124.0,2638.0,38.0,2059.0,16188.0,2023-11-05 18:51:36,9.4.8,100.0,Documentation that simply works.,39487.0,39487.0,239.0,https://pypi.org/project/mkdocs-material,3318852.0,3318852.0,43,True,1.0,,,,,,,,,
1,mkdocstrings,,mkdocstrings,"{'plugins.mkdocstrings.handlers.crystal': 'mkdocstrings-crystal', 'plugins.mkdocstrings.handlers.python': 'mkdocstrings-python'}",mkdocstrings/mkdocstrings,mkdocstrings,['plugin'],api-docs,https://github.com/mkdocstrings/mkdocstrings,https://github.com/mkdocstrings/mkdocstrings,ISC,2019-12-09 18:09:09,2023-11-14 18:42:49,2023-11-14 17:46:07,616.0,28.0,97.0,14.0,170.0,44.0,324.0,1412.0,2023-11-14 17:46:28,0.24.0,7.0,"Automatic documentation from sources, for MkDocs.",9826.0,9826.0,40.0,https://pypi.org/project/mkdocstrings,656983.0,656983.0,32,True,1.0,,,,,,,,,
2,PyMdown Extensions,,,,facelessuser/pymdown-extensions,pymdown-extensions,['markdown'],markdown,https://github.com/facelessuser/pymdown-extensions,https://github.com/facelessuser/pymdown-extensions,,2014-11-21 06:08:04,2023-11-14 10:45:32,2023-11-13 22:12:55,1742.0,35.0,244.0,8.0,1807.0,9.0,340.0,827.0,2023-11-10 23:39:46,10.4,83.0,Extensions for Python Markdown.,25718.0,25718.0,44.0,https://pypi.org/project/pymdown-extensions,2305630.0,2305630.0,31,True,1.0,"['pymdownx.arithmatex', 'pymdownx.b64', 'pymdownx.betterem', 'pymdownx.blocks.admonition', 'pymdownx.blocks.definition', 'pymdownx.blocks.details', 'pymdownx.blocks.html', 'pymdownx.blocks.tab', 'pymdownx.caret', 'pymdownx.critic', 'pymdownx.details', 'pymdownx.emoji', 'pymdownx.escapeall', 'pymdownx.extra', 'pymdownx.highlight', 'pymdownx.inlinehilite', 'pymdownx.keys', 'pymdownx.magiclink', 'pymdownx.mark', 'pymdownx.pathconverter', 'pymdownx.progressbar', 'pymdownx.saneheaders', 'pymdownx.smartsymbols', 'pymdownx.snippets', 'pymdownx.striphtml', 'pymdownx.superfences', 'pymdownx.tabbed', 'pymdownx.tasklist', 'pymdownx.tilde']",-1.0,,,,,,,
3,mike,,mike,,jimporter/mike,mike,['plugin'],site-management,https://github.com/jimporter/mike,https://github.com/jimporter/mike,BSD-3-Clause,2017-09-24 08:52:01,2023-11-02 22:07:53,2023-11-02 21:44:36,317.0,17.0,35.0,6.0,18.0,7.0,159.0,401.0,2023-11-02 21:39:13,2.0.0,22.0,Manage multiple versions of your MkDocs-powered documentation via Git.,2360.0,2360.0,9.0,https://pypi.org/project/mike,164535.0,164537.0,28,True,1.0,,,154.0,,,,,,
4,git-revision-date-localized,,git-revision-date-localized,,timvink/mkdocs-git-revision-date-localized-plugin,mkdocs-git-revision-date-localized-plugin,['plugin'],git-info,https://github.com/timvink/mkdocs-git-revision-date-localized-plugin,https://github.com/timvink/mkdocs-git-revision-date-localized-plugin,MIT,2019-11-26 12:11:05,2023-11-11 10:22:31,2023-11-11 10:22:31,279.0,14.0,28.0,3.0,44.0,11.0,69.0,140.0,2023-10-15 18:16:30,1.2.1,38.0,MkDocs plugin to add a last updated date to your site pages.,5076.0,5076.0,22.0,https://pypi.org/project/mkdocs-git-revision-date-localized-plugin,269391.0,269391.0,28,True,1.0,,,,,,,,,
5,macros,,macros,,fralau/mkdocs_macros_plugin,mkdocs-macros-plugin,['plugin'],code-exec-templating,https://github.com/fralau/mkdocs_macros_plugin,https://github.com/fralau/mkdocs_macros_plugin,MIT,2018-06-27 15:24:40,2023-10-31 15:27:01,2023-10-31 15:26:23,220.0,8.0,40.0,5.0,46.0,3.0,99.0,242.0,2023-08-13 11:52:51,1.0.4,4.0,"Create richer and more beautiful pages in MkDocs, by using variables and calls to macros in the markdown code.",2563.0,2563.0,28.0,https://pypi.org/project/mkdocs-macros-plugin,237542.0,237542.0,27,True,1.0,,-1.0,,,,,,,
6,plantuml-markdown,,,,mikitex70/plantuml-markdown,plantuml-markdown,['markdown'],charts,https://github.com/mikitex70/plantuml-markdown,https://github.com/mikitex70/plantuml-markdown,BSD-2-Clause,2014-12-14 19:25:12,2023-07-30 16:35:38,2023-07-30 16:35:38,277.0,,51.0,11.0,28.0,1.0,61.0,175.0,2023-06-22 18:17:43,3.9.2,39.0,PlantUML plugin for Python-Markdown.,1055.0,1055.0,26.0,https://pypi.org/project/plantuml-markdown,292580.0,292580.0,26,True,1.0,plantuml_markdown,,,True,,,,,
7,awesome-pages,,awesome-pages,,lukasgeiter/mkdocs-awesome-pages-plugin,mkdocs-awesome-pages-plugin,['plugin'],nav-pages,https://github.com/lukasgeiter/mkdocs-awesome-pages-plugin,https://github.com/lukasgeiter/mkdocs-awesome-pages-plugin,MIT,2018-02-06 21:09:24,2023-11-11 21:00:48,2023-11-11 20:57:26,97.0,3.0,29.0,7.0,17.0,16.0,57.0,377.0,2023-08-19 21:31:54,2.9.2,24.0,An MkDocs plugin that simplifies configuring page titles and their order.,3438.0,3438.0,7.0,https://pypi.org/project/mkdocs-awesome-pages-plugin,165248.0,165248.0,25,True,1.0,,1.0,,,,,,,
8,mkdocs-jupyter,,mkdocs-jupyter,,danielfrg/mkdocs-jupyter,mkdocs-jupyter,['plugin'],code-exec-templating,https://github.com/danielfrg/mkdocs-jupyter,https://github.com/danielfrg/mkdocs-jupyter,Apache-2.0,2019-12-18 02:11:34,2023-10-15 18:55:47,2023-10-15 18:55:46,229.0,15.0,35.0,5.0,73.0,12.0,92.0,296.0,,,,Use Jupyter Notebook in mkdocs.,1705.0,1705.0,19.0,https://pypi.org/project/mkdocs-jupyter,119020.0,119020.0,24,True,1.0,,,,,,,,,
9,mermaid2,,mermaid2,,fralau/mkdocs-mermaid2-plugin,mkdocs-mermaid2-plugin,['plugin'],charts,https://github.com/fralau/mkdocs-mermaid2-plugin,https://github.com/fralau/mkdocs-mermaid2-plugin,MIT,2020-04-15 09:55:54,2023-09-26 08:14:18,2023-09-26 06:36:28,98.0,3.0,21.0,1.0,18.0,3.0,58.0,184.0,2023-09-01 12:13:11,1.1.0,3.0,A Mermaid graphs plugin for mkdocs.,1607.0,1607.0,13.0,https://pypi.org/project/mkdocs-mermaid2-plugin,132931.0,132931.0,24,True,1.0,,,,,,,,,
