,name,mkdocs_theme,mkdocs_plugin,extra_dependencies,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,markdown_extension,github_release_downloads,trending,updated_github_id,shadowed,gitlab_id,gitlab_url,new_addition,bitbucket_id
0,Material for MkDocs,material,"['material/blog', 'material/group', 'material/offline', 'material/search', 'material/social', 'material/tags']",{'plugins.social': 'mkdocs-material[imaging]'},squidfunk/mkdocs-material,mkdocs-material,"['theme', 'plugin']",theming,https://github.com/squidfunk/mkdocs-material,https://github.com/squidfunk/mkdocs-material,MIT,2016-01-28 22:09:23,2024-01-18 15:17:18,2024-01-15 10:36:27,5999.0,208.0,3103.0,123.0,2737.0,33.0,2146.0,17019.0,2024-01-15 10:39:07,9.5.4,100.0,Documentation that simply works.,42175.0,42175.0,249.0,https://pypi.org/project/mkdocs-material,3005989.0,3005989.0,42,True,1.0,,,,,,,,,
1,mkdocstrings,,mkdocstrings,"{'plugins.mkdocstrings.handlers.crystal': 'mkdocstrings-crystal', 'plugins.mkdocstrings.handlers.python': 'mkdocstrings-python'}",mkdocstrings/mkdocstrings,mkdocstrings,['plugin'],api-docs,https://github.com/mkdocstrings/mkdocstrings,https://github.com/mkdocstrings/mkdocstrings,ISC,2019-12-09 18:09:09,2024-01-18 10:22:46,2024-01-04 18:36:48,617.0,11.0,101.0,14.0,172.0,45.0,329.0,1473.0,2023-11-14 17:46:28,0.24.0,7.0,"Automatic documentation from sources, for MkDocs.",10900.0,10900.0,41.0,https://pypi.org/project/mkdocstrings,588228.0,588228.0,32,True,1.0,,,,,,,,,
2,PyMdown Extensions,,,,facelessuser/pymdown-extensions,pymdown-extensions,['markdown'],markdown,https://github.com/facelessuser/pymdown-extensions,https://github.com/facelessuser/pymdown-extensions,,2014-11-21 06:08:04,2024-01-18 10:50:46,2023-12-30 23:10:16,1758.0,25.0,244.0,7.0,1853.0,7.0,348.0,851.0,2023-12-30 23:11:13,10.7,86.0,Extensions for Python Markdown.,27674.0,27674.0,44.0,https://pypi.org/project/pymdown-extensions,2241009.0,2241009.0,31,True,1.0,"['pymdownx.arithmatex', 'pymdownx.b64', 'pymdownx.betterem', 'pymdownx.blocks.admonition', 'pymdownx.blocks.definition', 'pymdownx.blocks.details', 'pymdownx.blocks.html', 'pymdownx.blocks.tab', 'pymdownx.caret', 'pymdownx.critic', 'pymdownx.details', 'pymdownx.emoji', 'pymdownx.escapeall', 'pymdownx.extra', 'pymdownx.highlight', 'pymdownx.inlinehilite', 'pymdownx.keys', 'pymdownx.magiclink', 'pymdownx.mark', 'pymdownx.pathconverter', 'pymdownx.progressbar', 'pymdownx.saneheaders', 'pymdownx.smartsymbols', 'pymdownx.snippets', 'pymdownx.striphtml', 'pymdownx.superfences', 'pymdownx.tabbed', 'pymdownx.tasklist', 'pymdownx.tilde']",,,,,,,,
3,mike,,mike,,jimporter/mike,mike,['plugin'],site-management,https://github.com/jimporter/mike,https://github.com/jimporter/mike,BSD-3-Clause,2017-09-24 08:52:01,2023-12-28 20:48:34,2023-12-28 20:29:38,319.0,18.0,35.0,5.0,18.0,7.0,160.0,427.0,2023-11-02 21:39:13,2.0.0,22.0,Manage multiple versions of your MkDocs-powered documentation via Git.,2539.0,2539.0,9.0,https://pypi.org/project/mike,157551.0,157553.0,28,True,1.0,,159.0,,,,,,,
4,git-revision-date-localized,,git-revision-date-localized,,timvink/mkdocs-git-revision-date-localized-plugin,mkdocs-git-revision-date-localized-plugin,['plugin'],git-info,https://github.com/timvink/mkdocs-git-revision-date-localized-plugin,https://github.com/timvink/mkdocs-git-revision-date-localized-plugin,MIT,2019-11-26 12:11:05,2023-12-18 20:23:22,2023-12-18 20:21:35,283.0,8.0,30.0,4.0,45.0,11.0,69.0,156.0,2023-12-18 20:14:15,1.2.2,39.0,MkDocs plugin to add a last updated date to your site pages.,5633.0,5633.0,23.0,https://pypi.org/project/mkdocs-git-revision-date-localized-plugin,245406.0,245406.0,28,True,1.0,,,-1.0,,,,,,
5,macros,,macros,,fralau/mkdocs_macros_plugin,mkdocs-macros-plugin,['plugin'],code-exec-templating,https://github.com/fralau/mkdocs-macros-plugin,https://github.com/fralau/mkdocs-macros-plugin,MIT,2018-06-27 15:24:40,2024-01-10 15:58:39,2024-01-10 15:57:03,226.0,9.0,41.0,5.0,47.0,4.0,101.0,254.0,2023-08-13 11:52:51,1.0.4,4.0,"Create richer and more beautiful pages in MkDocs, by using variables and calls to macros in the markdown code.",2775.0,2775.0,29.0,https://pypi.org/project/mkdocs-macros-plugin,197878.0,197878.0,27,True,1.0,,,-1.0,,,,,,
6,plantuml-markdown,,,,mikitex70/plantuml-markdown,plantuml-markdown,['markdown'],charts,https://github.com/mikitex70/plantuml-markdown,https://github.com/mikitex70/plantuml-markdown,BSD-2-Clause,2014-12-14 19:25:12,2023-07-30 16:35:38,2023-07-30 16:35:38,277.0,,51.0,11.0,28.0,1.0,61.0,180.0,2023-06-22 18:17:43,3.9.2,39.0,PlantUML plugin for Python-Markdown.,1125.0,1125.0,26.0,https://pypi.org/project/plantuml-markdown,211485.0,211485.0,25,True,1.0,plantuml_markdown,,,,,,,,
7,awesome-pages,,awesome-pages,,lukasgeiter/mkdocs-awesome-pages-plugin,mkdocs-awesome-pages-plugin,['plugin'],nav-pages,https://github.com/lukasgeiter/mkdocs-awesome-pages-plugin,https://github.com/lukasgeiter/mkdocs-awesome-pages-plugin,MIT,2018-02-06 21:09:24,2023-12-06 02:10:10,2023-11-11 20:57:26,97.0,1.0,30.0,7.0,18.0,17.0,59.0,403.0,2023-08-19 21:31:54,2.9.2,24.0,An MkDocs plugin that simplifies configuring page titles and their order.,3717.0,3717.0,7.0,https://pypi.org/project/mkdocs-awesome-pages-plugin,152905.0,152905.0,24,True,1.0,,,,,,,,,
8,include-markdown,,include-markdown,,mondeja/mkdocs-include-markdown-plugin,mkdocs-include-markdown-plugin,['plugin'],snippets-include,https://github.com/mondeja/mkdocs-include-markdown-plugin,https://github.com/mondeja/mkdocs-include-markdown-plugin,Apache-2.0,2020-12-04 08:09:34,2024-01-13 01:05:36,2024-01-13 01:05:35,177.0,6.0,19.0,3.0,120.0,1.0,63.0,79.0,2023-11-10 21:12:59,6.0.4,51.0,Mkdocs Markdown includer plugin.,1788.0,1788.0,15.0,https://pypi.org/project/mkdocs-include-markdown-plugin,177191.0,177196.0,24,True,1.0,,199.0,,,,,,,
9,rss,,rss,,Guts/mkdocs-rss-plugin,mkdocs-rss-plugin,['plugin'],blogging,https://github.com/Guts/mkdocs-rss-plugin,https://github.com/Guts/mkdocs-rss-plugin,MIT,2020-07-06 13:48:11,2024-01-14 15:36:25,2024-01-14 15:36:25,750.0,99.0,17.0,3.0,201.0,11.0,26.0,57.0,2024-01-13 22:30:56,1.12.0,21.0,"MkDocs plugin to generate a RSS feeds for created and updated pages, using git log and YAML frontmatter (page.meta).",379.0,379.0,12.0,https://pypi.org/project/mkdocs-rss-plugin,25203.0,25204.0,24,True,1.0,,41.0,,,,,,,
