,name,mkdocs_theme,mkdocs_plugin,extra_dependencies,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,markdown_extension,trending,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,shadowed,new_addition,gitlab_id,gitlab_url,bitbucket_id
0,Material for MkDocs,material,"['material/blog', 'material/group', 'material/offline', 'material/search', 'material/social', 'material/tags']",{'plugins.social': 'mkdocs-material[imaging]'},squidfunk/mkdocs-material,mkdocs-material,"['theme', 'plugin']",theming,https://github.com/squidfunk/mkdocs-material,https://github.com/squidfunk/mkdocs-material,MIT,2016-01-28 22:09:23,2024-04-25 12:41:14,2024-04-25 04:27:10,6208.0,179.0,3221.0,127.0,2854.0,31.0,2262.0,18262.0,2024-04-25 04:09:33,9.5.19,100.0,Documentation that simply works.,46620.0,46620.0,268.0,https://pypi.org/project/mkdocs-material,4262106.0,4262106.0,42,True,1.0,,,,,,,,,,,,
1,mkdocstrings,,mkdocstrings,"{'plugins.mkdocstrings.handlers.crystal': 'mkdocstrings-crystal', 'plugins.mkdocstrings.handlers.python': 'mkdocstrings-python'}",mkdocstrings/mkdocstrings,mkdocstrings,['plugin'],api-docs,https://github.com/mkdocstrings/mkdocstrings,https://github.com/mkdocstrings/mkdocstrings,ISC,2019-12-09 18:09:09,2024-04-05 14:56:18,2024-04-05 14:56:13,643.0,26.0,101.0,14.0,174.0,48.0,339.0,1568.0,2024-04-05 14:56:33,0.24.3,10.0,"Automatic documentation from sources, for MkDocs.",12577.0,12577.0,42.0,https://pypi.org/project/mkdocstrings,906745.0,906745.0,32,True,1.0,,,,,,,,,,,,
2,PyMdown Extensions,,,,facelessuser/pymdown-extensions,pymdown-extensions,['markdown'],markdown,https://github.com/facelessuser/pymdown-extensions,https://github.com/facelessuser/pymdown-extensions,,2014-11-21 06:08:04,2024-04-25 10:13:38,2024-04-22 02:50:26,1768.0,10.0,245.0,8.0,1907.0,7.0,357.0,896.0,2024-04-18 19:48:47,10.8,88.0,Extensions for Python Markdown.,31147.0,31147.0,44.0,https://pypi.org/project/pymdown-extensions,3336253.0,3336253.0,32,True,1.0,"['pymdownx.arithmatex', 'pymdownx.b64', 'pymdownx.betterem', 'pymdownx.blocks.admonition', 'pymdownx.blocks.definition', 'pymdownx.blocks.details', 'pymdownx.blocks.html', 'pymdownx.blocks.tab', 'pymdownx.caret', 'pymdownx.critic', 'pymdownx.details', 'pymdownx.emoji', 'pymdownx.escapeall', 'pymdownx.extra', 'pymdownx.highlight', 'pymdownx.inlinehilite', 'pymdownx.keys', 'pymdownx.magiclink', 'pymdownx.mark', 'pymdownx.pathconverter', 'pymdownx.progressbar', 'pymdownx.saneheaders', 'pymdownx.smartsymbols', 'pymdownx.snippets', 'pymdownx.striphtml', 'pymdownx.superfences', 'pymdownx.tabbed', 'pymdownx.tasklist', 'pymdownx.tilde']",2.0,,,,,,,,,,
3,git-revision-date-localized,,git-revision-date-localized,,timvink/mkdocs-git-revision-date-localized-plugin,mkdocs-git-revision-date-localized-plugin,['plugin'],git-info,https://github.com/timvink/mkdocs-git-revision-date-localized-plugin,https://github.com/timvink/mkdocs-git-revision-date-localized-plugin,MIT,2019-11-26 12:11:05,2024-03-12 09:41:39,2024-02-03 08:05:41,288.0,5.0,32.0,4.0,48.0,11.0,72.0,167.0,2024-02-03 08:10:20,1.2.4,41.0,MkDocs plugin to add a last updated date to your site pages.,6484.0,6484.0,23.0,https://pypi.org/project/mkdocs-git-revision-date-localized-plugin,457758.0,457758.0,29,True,1.0,,,,,,,,,,,,
4,plantuml-markdown,,,,mikitex70/plantuml-markdown,plantuml-markdown,['markdown'],charts,https://github.com/mikitex70/plantuml-markdown,https://github.com/mikitex70/plantuml-markdown,BSD-2-Clause,2014-12-14 19:25:12,2024-04-24 06:02:18,2024-04-24 05:59:55,295.0,18.0,53.0,11.0,30.0,1.0,63.0,185.0,2024-04-24 06:04:48,3.9.6,43.0,PlantUML plugin for Python-Markdown.,1265.0,1265.0,28.0,https://pypi.org/project/plantuml-markdown,303291.0,303291.0,28,True,1.0,plantuml_markdown,,,,,,,,,,,
5,mike,,mike,,jimporter/mike,mike,['plugin'],site-management,https://github.com/jimporter/mike,https://github.com/jimporter/mike,BSD-3-Clause,2017-09-24 08:52:01,2024-04-05 00:48:41,2024-04-05 00:47:25,331.0,7.0,43.0,6.0,22.0,8.0,167.0,467.0,2023-11-02 21:39:13,2.0.0,22.0,Manage multiple versions of your MkDocs-powered documentation via Git.,2852.0,2852.0,9.0,https://pypi.org/project/mike,224298.0,224300.0,27,True,1.0,,-1.0,161.0,,,,,,,,,
6,macros,,macros,,fralau/mkdocs_macros_plugin,mkdocs-macros-plugin,['plugin'],code-exec-templating,https://github.com/fralau/mkdocs-macros-plugin,https://github.com/fralau/mkdocs-macros-plugin,MIT,2018-06-27 15:24:40,2024-04-04 10:46:34,2024-03-09 10:14:56,241.0,15.0,45.0,5.0,52.0,5.0,112.0,287.0,2023-08-13 11:52:51,1.0.4,4.0,"Create richer and more beautiful pages in MkDocs, by using variables and calls to macros in the markdown code.",3102.0,3102.0,31.0,https://pypi.org/project/mkdocs-macros-plugin,332976.0,332976.0,27,True,1.0,,,,,,,,,,,,
7,awesome-pages,,awesome-pages,,lukasgeiter/mkdocs-awesome-pages-plugin,mkdocs-awesome-pages-plugin,['plugin'],nav-pages,https://github.com/lukasgeiter/mkdocs-awesome-pages-plugin,https://github.com/lukasgeiter/mkdocs-awesome-pages-plugin,MIT,2018-02-06 21:09:24,2024-03-09 15:45:13,2024-03-09 15:37:17,100.0,3.0,32.0,8.0,20.0,18.0,63.0,434.0,2023-08-19 21:31:54,2.9.2,24.0,An MkDocs plugin that simplifies configuring page titles and their order.,4057.0,4057.0,8.0,https://pypi.org/project/mkdocs-awesome-pages-plugin,210436.0,210436.0,25,True,1.0,,,,,,,,,,,,
8,mkdocs-jupyter,,mkdocs-jupyter,,danielfrg/mkdocs-jupyter,mkdocs-jupyter,['plugin'],code-exec-templating,https://github.com/danielfrg/mkdocs-jupyter,https://github.com/danielfrg/mkdocs-jupyter,Apache-2.0,2019-12-18 02:11:34,2024-04-09 02:29:27,2024-04-09 02:29:26,238.0,8.0,42.0,6.0,82.0,22.0,92.0,334.0,,,,Use Jupyter Notebook in mkdocs.,2259.0,2259.0,24.0,https://pypi.org/project/mkdocs-jupyter,120514.0,120514.0,24,True,1.0,,,,,,,,,,,,
9,include-markdown,,include-markdown,,mondeja/mkdocs-include-markdown-plugin,mkdocs-include-markdown-plugin,['plugin'],snippets-include,https://github.com/mondeja/mkdocs-include-markdown-plugin,https://github.com/mondeja/mkdocs-include-markdown-plugin,Apache-2.0,2020-12-04 08:09:34,2024-03-25 07:08:49,2024-03-25 07:07:31,182.0,5.0,18.0,3.0,123.0,3.0,69.0,87.0,2024-03-25 06:50:55,6.0.5,52.0,Mkdocs Markdown includer plugin.,1994.0,1994.0,15.0,https://pypi.org/project/mkdocs-include-markdown-plugin,212308.0,212313.0,24,True,1.0,,,204.0,,,,,,,,,
