,name,mkdocs_theme,mkdocs_plugin,extra_dependencies,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,markdown_extension,github_release_downloads,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,shadowed,gitlab_id,gitlab_url,bitbucket_id
0,Material for MkDocs,material,"['material/blog', 'material/group', 'material/offline', 'material/search', 'material/social', 'material/tags']",{'plugins.social': 'mkdocs-material[imaging]'},squidfunk/mkdocs-material,mkdocs-material,"['theme', 'plugin']",theming,https://github.com/squidfunk/mkdocs-material,https://github.com/squidfunk/mkdocs-material,MIT,2016-01-28 22:09:23,2024-05-21 15:23:20.000000,2024-05-21 15:23:20,6252.0,158.0,3242.0,126.0,2882.0,23.0,2298.0,18546.0,2024-05-20 10:49:18,9.5.24,100.0,Documentation that simply works.,47961.0,47961.0,271.0,https://pypi.org/project/mkdocs-material,4520784.0,4520784.0,42,True,1.0,,,,,,,,,,,
1,PyMdown Extensions,,,,facelessuser/pymdown-extensions,pymdown-extensions,['markdown'],markdown,https://github.com/facelessuser/pymdown-extensions,https://github.com/facelessuser/pymdown-extensions,,2014-11-21 06:08:04,2024-05-22 10:48:20.000000,2024-05-05 15:11:42,1769.0,11.0,246.0,8.0,1918.0,7.0,358.0,905.0,2024-04-27 20:19:56,10.8.1,89.0,Extensions for Python Markdown.,32248.0,32248.0,44.0,https://pypi.org/project/pymdown-extensions,4103035.0,4103035.0,33,True,1.0,"['pymdownx.arithmatex', 'pymdownx.b64', 'pymdownx.betterem', 'pymdownx.blocks.admonition', 'pymdownx.blocks.definition', 'pymdownx.blocks.details', 'pymdownx.blocks.html', 'pymdownx.blocks.tab', 'pymdownx.caret', 'pymdownx.critic', 'pymdownx.details', 'pymdownx.emoji', 'pymdownx.escapeall', 'pymdownx.extra', 'pymdownx.highlight', 'pymdownx.inlinehilite', 'pymdownx.keys', 'pymdownx.magiclink', 'pymdownx.mark', 'pymdownx.pathconverter', 'pymdownx.progressbar', 'pymdownx.saneheaders', 'pymdownx.smartsymbols', 'pymdownx.snippets', 'pymdownx.striphtml', 'pymdownx.superfences', 'pymdownx.tabbed', 'pymdownx.tasklist', 'pymdownx.tilde']",,,,,,,,,,
2,mkdocstrings,,mkdocstrings,"{'plugins.mkdocstrings.handlers.crystal': 'mkdocstrings-crystal', 'plugins.mkdocstrings.handlers.python': 'mkdocstrings-python'}",mkdocstrings/mkdocstrings,mkdocstrings,['plugin'],api-docs,https://github.com/mkdocstrings/mkdocstrings,https://github.com/mkdocstrings/mkdocstrings,ISC,2019-12-09 18:09:09,2024-05-14 14:51:07.000000,2024-05-05 14:08:59,653.0,31.0,101.0,13.0,175.0,47.0,343.0,1592.0,2024-05-05 14:09:16,0.25.1,12.0,"Automatic documentation from sources, for MkDocs.",13119.0,13119.0,42.0,https://pypi.org/project/mkdocstrings,1353375.0,1353375.0,32,True,1.0,,,,,,,,,,,
3,git-revision-date-localized,,git-revision-date-localized,,timvink/mkdocs-git-revision-date-localized-plugin,mkdocs-git-revision-date-localized-plugin,['plugin'],git-info,https://github.com/timvink/mkdocs-git-revision-date-localized-plugin,https://github.com/timvink/mkdocs-git-revision-date-localized-plugin,MIT,2019-11-26 12:11:05,2024-04-30 21:22:14.000000,2024-04-30 20:27:13,291.0,3.0,34.0,4.0,49.0,13.0,73.0,175.0,2024-04-30 21:21:07,1.2.5,42.0,MkDocs plugin to add a last updated date to your site pages.,6679.0,6679.0,24.0,https://pypi.org/project/mkdocs-git-revision-date-localized-plugin,473172.0,473172.0,29,True,1.0,,,,,,,,,,,
4,mike,,mike,,jimporter/mike,mike,['plugin'],site-management,https://github.com/jimporter/mike,https://github.com/jimporter/mike,BSD-3-Clause,2017-09-24 08:52:01,2024-05-14 03:23:51.000000,2024-05-14 03:23:24,338.0,14.0,44.0,6.0,23.0,8.0,168.0,482.0,2024-05-03 19:06:58,2.1.1,24.0,Manage multiple versions of your MkDocs-powered documentation via Git.,2958.0,2958.0,9.0,https://pypi.org/project/mike,346339.0,346341.0,28,True,1.0,,173.0,,,,,,,,,
5,plantuml-markdown,,,,mikitex70/plantuml-markdown,plantuml-markdown,['markdown'],charts,https://github.com/mikitex70/plantuml-markdown,https://github.com/mikitex70/plantuml-markdown,BSD-2-Clause,2014-12-14 19:25:12,2024-05-09 18:43:34.000000,2024-05-09 18:35:43,298.0,13.0,54.0,11.0,31.0,2.0,63.0,187.0,2024-05-09 18:46:40,3.9.7,44.0,PlantUML plugin for Python-Markdown.,1308.0,1308.0,29.0,https://pypi.org/project/plantuml-markdown,293004.0,293004.0,28,True,1.0,plantuml_markdown,,,,,,,,,,
6,macros,,macros,,fralau/mkdocs_macros_plugin,mkdocs-macros-plugin,['plugin'],code-exec-templating,https://github.com/fralau/mkdocs-macros-plugin,https://github.com/fralau/mkdocs-macros-plugin,MIT,2018-06-27 15:24:40,2024-05-13 17:42:05.000000,2024-05-13 17:42:05,244.0,8.0,47.0,5.0,54.0,6.0,114.0,292.0,2023-08-13 11:52:51,1.0.4,4.0,"Create richer and more beautiful pages in MkDocs, by using variables and calls to macros in the markdown code.",3221.0,3221.0,31.0,https://pypi.org/project/mkdocs-macros-plugin,353745.0,353745.0,26,True,1.0,,,,,,,,,,,
7,awesome-pages,,awesome-pages,,lukasgeiter/mkdocs-awesome-pages-plugin,mkdocs-awesome-pages-plugin,['plugin'],nav-pages,https://github.com/lukasgeiter/mkdocs-awesome-pages-plugin,https://github.com/lukasgeiter/mkdocs-awesome-pages-plugin,MIT,2018-02-06 21:09:24,2024-03-09 15:45:13.000000,2024-03-09 15:37:17,100.0,2.0,33.0,8.0,20.0,18.0,63.0,440.0,2023-08-19 21:31:54,2.9.2,24.0,An MkDocs plugin that simplifies configuring page titles and their order.,4133.0,4133.0,8.0,https://pypi.org/project/mkdocs-awesome-pages-plugin,289385.0,289385.0,24,True,1.0,,,,,,,,,,,
8,mkdocs-jupyter,,mkdocs-jupyter,,danielfrg/mkdocs-jupyter,mkdocs-jupyter,['plugin'],code-exec-templating,https://github.com/danielfrg/mkdocs-jupyter,https://github.com/danielfrg/mkdocs-jupyter,Apache-2.0,2019-12-18 02:11:34,2024-05-10 09:39:27.000000,2024-04-09 02:29:26,238.0,5.0,43.0,6.0,83.0,26.0,92.0,342.0,,,,Use Jupyter Notebook in mkdocs.,2420.0,2420.0,24.0,https://pypi.org/project/mkdocs-jupyter,144113.0,144113.0,24,True,1.0,,,,,,,,,,,
9,mkdocstrings-python,,,,mkdocstrings/python,mkdocstrings-python,,api-docs,https://github.com/mkdocstrings/python,https://github.com/mkdocstrings/python,ISC,2021-10-30 12:44:24,2024-05-22 15:26:46.000000,2024-05-22 15:22:19,313.0,43.0,29.0,4.0,39.0,22.0,89.0,155.0,2024-05-22 15:22:37,1.10.3,25.0,A Python handler for mkdocstrings.,,,17.0,https://pypi.org/project/mkdocstrings-python,1288270.0,1288270.0,24,True,1.0,,,,,,,,,,,
10,include-markdown,,include-markdown,,mondeja/mkdocs-include-markdown-plugin,mkdocs-include-markdown-plugin,['plugin'],snippets-include,https://github.com/mondeja/mkdocs-include-markdown-plugin,https://github.com/mondeja/mkdocs-include-markdown-plugin,Apache-2.0,2020-12-04 08:09:34,2024-05-02 00:36:39.000000,2024-05-02 00:36:06,183.0,5.0,18.0,3.0,124.0,3.0,70.0,90.0,2024-05-02 00:45:58,6.0.6,53.0,Mkdocs Markdown includer plugin.,2060.0,2060.0,15.0,https://pypi.org/project/mkdocs-include-markdown-plugin,249446.0,249451.0,24,True,1.0,,211.0,,,,,,,,,
11,monorepo,,monorepo,,backstage/mkdocs-monorepo-plugin,mkdocs-monorepo-plugin,['plugin'],site-management,https://github.com/backstage/mkdocs-monorepo-plugin,https://github.com/backstage/mkdocs-monorepo-plugin,Apache-2.0,2019-09-19 18:18:32,2024-05-21 11:12:08.000000,2024-01-04 14:28:40,148.0,,71.0,23.0,64.0,32.0,30.0,306.0,,,,Build multiple documentation folders in a single Mkdocs. Designed for large codebases.,403.0,403.0,30.0,https://pypi.org/project/mkdocs-monorepo-plugin,295739.0,295739.0,23,True,1.0,,,,,,,,,,,
12,static-i18n,,i18n,,ultrabug/mkdocs-static-i18n,mkdocs-static-i18n,['plugin'],i18n-l10n,https://github.com/ultrabug/mkdocs-static-i18n,https://github.com/ultrabug/mkdocs-static-i18n,MIT,2021-02-07 17:33:36,2024-05-21 14:12:52.000000,2024-05-21 14:12:12,301.0,11.0,35.0,9.0,170.0,20.0,118.0,206.0,,,,MkDocs i18n plugin using static translation markdown files.,1042.0,1042.0,10.0,https://pypi.org/project/mkdocs-static-i18n,36589.0,36589.0,23,True,1.0,,,,,,,,,,,
