,name,mkdocs_theme,mkdocs_plugin,extra_dependencies,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,markdown_extension,trending,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,shadowed,gitlab_id,gitlab_url,bitbucket_id
0,Material for MkDocs,material,"['material/blog', 'material/group', 'material/offline', 'material/search', 'material/social', 'material/tags']",{'plugins.social': 'mkdocs-material[imaging]'},squidfunk/mkdocs-material,mkdocs-material,"['theme', 'plugin']",theming,https://github.com/squidfunk/mkdocs-material,https://github.com/squidfunk/mkdocs-material,MIT,2016-01-28 22:09:23,2024-08-05 07:24:31.000000,2024-08-05 07:22:15,6311.0,79.0,3327.0,130.0,2953.0,22.0,2345.0,19541.0,2024-08-02 09:28:39,9.5.31,100.0,Documentation that simply works.,51316.0,51316.0,275.0,https://pypi.org/project/mkdocs-material,5290328.0,5290328.0,42,True,1.0,,,,,,,,,,,
1,mkdocstrings,,mkdocstrings,"{'plugins.mkdocstrings.handlers.crystal': 'mkdocstrings-crystal', 'plugins.mkdocstrings.handlers.python': 'mkdocstrings-python'}",mkdocstrings/mkdocstrings,mkdocstrings,['plugin'],api-docs,https://github.com/mkdocstrings/mkdocstrings,https://github.com/mkdocstrings/mkdocstrings,ISC,2019-12-09 18:09:09,2024-08-07 10:59:48.000000,2024-08-07 10:59:48,669.0,16.0,100.0,14.0,176.0,53.0,347.0,1645.0,2024-07-25 14:56:26,0.25.2,13.0,"Automatic documentation from sources, for MkDocs.",14289.0,14289.0,43.0,https://pypi.org/project/mkdocstrings,1272863.0,1272863.0,32,True,1.0,,,,,,,,,,,
2,PyMdown Extensions,,,,facelessuser/pymdown-extensions,pymdown-extensions,['markdown'],markdown,https://github.com/facelessuser/pymdown-extensions,https://github.com/facelessuser/pymdown-extensions,,2014-11-21 06:08:04,2024-08-08 10:28:37.000000,2024-07-27 19:09:02,1778.0,9.0,249.0,7.0,1959.0,10.0,363.0,933.0,2024-07-27 19:12:33,10.9,90.0,Extensions for Python Markdown.,34760.0,34760.0,46.0,https://pypi.org/project/pymdown-extensions,4854227.0,4854227.0,31,True,1.0,"['pymdownx.arithmatex', 'pymdownx.b64', 'pymdownx.betterem', 'pymdownx.blocks.admonition', 'pymdownx.blocks.definition', 'pymdownx.blocks.details', 'pymdownx.blocks.html', 'pymdownx.blocks.tab', 'pymdownx.caret', 'pymdownx.critic', 'pymdownx.details', 'pymdownx.emoji', 'pymdownx.escapeall', 'pymdownx.extra', 'pymdownx.highlight', 'pymdownx.inlinehilite', 'pymdownx.keys', 'pymdownx.magiclink', 'pymdownx.mark', 'pymdownx.pathconverter', 'pymdownx.progressbar', 'pymdownx.saneheaders', 'pymdownx.smartsymbols', 'pymdownx.snippets', 'pymdownx.striphtml', 'pymdownx.superfences', 'pymdownx.tabbed', 'pymdownx.tasklist', 'pymdownx.tilde']",-1.0,,,,,,,,,
3,git-revision-date-localized,,git-revision-date-localized,,timvink/mkdocs-git-revision-date-localized-plugin,mkdocs-git-revision-date-localized-plugin,['plugin'],git-info,https://github.com/timvink/mkdocs-git-revision-date-localized-plugin,https://github.com/timvink/mkdocs-git-revision-date-localized-plugin,MIT,2019-11-26 12:11:05,2024-06-30 11:19:29.000000,2024-06-30 11:19:29,297.0,6.0,35.0,4.0,50.0,12.0,78.0,185.0,2024-05-31 19:06:25,1.2.6,43.0,MkDocs plugin to add a last updated date to your site pages.,7222.0,7222.0,25.0,https://pypi.org/project/mkdocs-git-revision-date-localized-plugin,526620.0,526620.0,29,True,1.0,,,,,,,,,,,
4,plantuml-markdown,,,,mikitex70/plantuml-markdown,plantuml-markdown,['markdown'],charts,https://github.com/mikitex70/plantuml-markdown,https://github.com/mikitex70/plantuml-markdown,BSD-2-Clause,2014-12-14 19:25:12,2024-08-03 13:52:02.000000,2024-08-03 13:47:57,312.0,14.0,54.0,10.0,31.0,2.0,67.0,194.0,2024-08-03 13:52:46,3.10.1,47.0,PlantUML plugin for Python-Markdown.,1415.0,1415.0,29.0,https://pypi.org/project/plantuml-markdown,351303.0,351303.0,28,True,1.0,plantuml_markdown,,,,,,,,,,
5,mike,,mike,,jimporter/mike,mike,['plugin'],site-management,https://github.com/jimporter/mike,https://github.com/jimporter/mike,BSD-3-Clause,2017-09-24 08:52:01,2024-07-27 19:06:23.000000,2024-07-27 19:05:33,344.0,7.0,45.0,6.0,24.0,9.0,171.0,518.0,2024-06-24 16:37:06,2.1.2,25.0,Manage multiple versions of your MkDocs-powered documentation via Git.,3176.0,3176.0,9.0,https://pypi.org/project/mike,401304.0,401307.0,27,True,1.0,,,229.0,,,,,,,,
6,awesome-pages,,awesome-pages,,lukasgeiter/mkdocs-awesome-pages-plugin,mkdocs-awesome-pages-plugin,['plugin'],nav-pages,https://github.com/lukasgeiter/mkdocs-awesome-pages-plugin,https://github.com/lukasgeiter/mkdocs-awesome-pages-plugin,MIT,2018-02-06 21:09:24,2024-07-28 14:29:37.000000,2024-07-28 14:28:43,106.0,4.0,36.0,8.0,20.0,20.0,64.0,457.0,2024-07-25 21:13:28,2.9.3,25.0,An MkDocs plugin that simplifies configuring page titles and their order.,4385.0,4385.0,8.0,https://pypi.org/project/mkdocs-awesome-pages-plugin,339160.0,339160.0,26,True,1.0,,,,,,,,,,,
7,macros,,macros,,fralau/mkdocs_macros_plugin,mkdocs-macros-plugin,['plugin'],code-exec-templating,https://github.com/fralau/mkdocs-macros-plugin,https://github.com/fralau/mkdocs-macros-plugin,MIT,2018-06-27 15:24:40,2024-07-28 14:22:18.000000,2024-07-28 14:20:48,251.0,8.0,48.0,5.0,55.0,2.0,120.0,314.0,2023-08-13 11:52:51,1.0.4,4.0,"Create richer and more beautiful pages in MkDocs, by using variables and calls to macros in the markdown code.",3566.0,3566.0,33.0,https://pypi.org/project/mkdocs-macros-plugin,410828.0,410828.0,26,True,1.0,,,,,,,,,,,
8,include-markdown,,include-markdown,,mondeja/mkdocs-include-markdown-plugin,mkdocs-include-markdown-plugin,['plugin'],snippets-include,https://github.com/mondeja/mkdocs-include-markdown-plugin,https://github.com/mondeja/mkdocs-include-markdown-plugin,Apache-2.0,2020-12-04 08:09:34,2024-07-01 20:42:50.000000,2024-07-01 20:42:48,195.0,12.0,19.0,3.0,136.0,3.0,77.0,103.0,2024-06-21 17:11:49,6.2.1,58.0,Mkdocs Markdown includer plugin.,2221.0,2221.0,16.0,https://pypi.org/project/mkdocs-include-markdown-plugin,237861.0,237867.0,25,True,1.0,,,307.0,,,,,,,,
9,rss,,rss,,Guts/mkdocs-rss-plugin,mkdocs-rss-plugin,['plugin'],blogging,https://github.com/Guts/mkdocs-rss-plugin,https://github.com/Guts/mkdocs-rss-plugin,MIT,2020-07-06 13:48:11,2024-08-05 22:06:39.000000,2024-08-05 22:06:38,919.0,112.0,26.0,5.0,256.0,13.0,36.0,77.0,2024-07-03 08:48:20,1.15.0,30.0,"MkDocs plugin to generate a RSS feeds for created and updated pages, using git log and YAML frontmatter (page.meta).",621.0,621.0,16.0,https://pypi.org/project/mkdocs-rss-plugin,43647.0,43649.0,25,True,1.0,,,82.0,,,,,,,,
