,name,mkdocs_theme,mkdocs_plugin,extra_dependencies,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,markdown_extension,github_release_downloads,trending,shadowed,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,new_addition,gitlab_id,gitlab_url,bitbucket_id
0,Material for MkDocs,material,"['material/blog', 'material/group', 'material/offline', 'material/search', 'material/social', 'material/tags']",{'plugins.social': 'mkdocs-material[imaging]'},squidfunk/mkdocs-material,mkdocs-material,"['theme', 'plugin']",theming,https://github.com/squidfunk/mkdocs-material,https://github.com/squidfunk/mkdocs-material,MIT,2016-01-28 22:09:23,2024-08-26 08:59:59,2024-08-26 08:58:56,6333.0,72.0,3352.0,131.0,2979.0,23.0,2352.0,19878.0,2024-08-23 09:51:28,9.5.33,100.0,Documentation that simply works.,52210.0,52210.0,277.0,https://pypi.org/project/mkdocs-material,5087056.0,5087056.0,42,True,1.0,,,,,,,,,,,,
1,mkdocstrings,,mkdocstrings,"{'plugins.mkdocstrings.handlers.crystal': 'mkdocstrings-crystal', 'plugins.mkdocstrings.handlers.python': 'mkdocstrings-python'}",mkdocstrings/mkdocstrings,mkdocstrings,['plugin'],api-docs,https://github.com/mkdocstrings/mkdocstrings,https://github.com/mkdocstrings/mkdocstrings,ISC,2019-12-09 18:09:09,2024-08-15 09:48:07,2024-08-15 09:48:07,670.0,17.0,100.0,14.0,177.0,52.0,348.0,1671.0,2024-07-25 14:56:26,0.25.2,13.0,"Automatic documentation from sources, for MkDocs.",14620.0,14620.0,44.0,https://pypi.org/project/mkdocstrings,1229950.0,1229950.0,32,True,1.0,,,,,,,,,,,,
2,PyMdown Extensions,,,,facelessuser/pymdown-extensions,pymdown-extensions,['markdown'],markdown,https://github.com/facelessuser/pymdown-extensions,https://github.com/facelessuser/pymdown-extensions,,2014-11-21 06:08:04,2024-08-29 10:20:39,2024-07-27 19:09:02,1778.0,9.0,251.0,7.0,1969.0,11.0,363.0,941.0,2024-07-27 19:12:33,10.9,90.0,Extensions for Python Markdown.,35454.0,35454.0,46.0,https://pypi.org/project/pymdown-extensions,4821500.0,4821500.0,31,True,1.0,"['pymdownx.arithmatex', 'pymdownx.b64', 'pymdownx.betterem', 'pymdownx.blocks.admonition', 'pymdownx.blocks.definition', 'pymdownx.blocks.details', 'pymdownx.blocks.html', 'pymdownx.blocks.tab', 'pymdownx.caret', 'pymdownx.critic', 'pymdownx.details', 'pymdownx.emoji', 'pymdownx.escapeall', 'pymdownx.extra', 'pymdownx.highlight', 'pymdownx.inlinehilite', 'pymdownx.keys', 'pymdownx.magiclink', 'pymdownx.mark', 'pymdownx.pathconverter', 'pymdownx.progressbar', 'pymdownx.saneheaders', 'pymdownx.smartsymbols', 'pymdownx.snippets', 'pymdownx.striphtml', 'pymdownx.superfences', 'pymdownx.tabbed', 'pymdownx.tasklist', 'pymdownx.tilde']",,,,,,,,,,,
3,git-revision-date-localized,,git-revision-date-localized,,timvink/mkdocs-git-revision-date-localized-plugin,mkdocs-git-revision-date-localized-plugin,['plugin'],git-info,https://github.com/timvink/mkdocs-git-revision-date-localized-plugin,https://github.com/timvink/mkdocs-git-revision-date-localized-plugin,MIT,2019-11-26 12:11:05,2024-08-19 07:50:43,2024-08-19 07:46:16,300.0,6.0,37.0,4.0,51.0,12.0,78.0,192.0,2024-08-19 07:49:35,1.2.7,44.0,MkDocs plugin to add a last updated date to your site pages.,7391.0,7391.0,26.0,https://pypi.org/project/mkdocs-git-revision-date-localized-plugin,541162.0,541162.0,29,True,1.0,,,,,,,,,,,,
4,plantuml-markdown,,,,mikitex70/plantuml-markdown,plantuml-markdown,['markdown'],charts,https://github.com/mikitex70/plantuml-markdown,https://github.com/mikitex70/plantuml-markdown,BSD-2-Clause,2014-12-14 19:25:12,2024-08-16 08:31:14,2024-08-16 08:22:53,320.0,21.0,54.0,10.0,31.0,1.0,69.0,195.0,2024-08-16 08:38:10,3.10.3,49.0,PlantUML plugin for Python-Markdown.,1438.0,1438.0,29.0,https://pypi.org/project/plantuml-markdown,351748.0,351748.0,28,True,1.0,plantuml_markdown,,,,,,,,,,,
5,mike,,mike,,jimporter/mike,mike,['plugin'],site-management,https://github.com/jimporter/mike,https://github.com/jimporter/mike,BSD-3-Clause,2017-09-24 08:52:01,2024-08-13 05:02:19,2024-08-13 05:01:26,346.0,7.0,46.0,6.0,24.0,9.0,171.0,528.0,2024-08-13 05:03:33,2.1.3,26.0,Manage multiple versions of your MkDocs-powered documentation via Git.,3243.0,3243.0,9.0,https://pypi.org/project/mike,407221.0,407224.0,27,True,1.0,,233.0,,,,,,,,,,
6,awesome-pages,,awesome-pages,,lukasgeiter/mkdocs-awesome-pages-plugin,mkdocs-awesome-pages-plugin,['plugin'],nav-pages,https://github.com/lukasgeiter/mkdocs-awesome-pages-plugin,https://github.com/lukasgeiter/mkdocs-awesome-pages-plugin,MIT,2018-02-06 21:09:24,2024-07-28 14:29:37,2024-07-28 14:28:43,106.0,4.0,35.0,8.0,20.0,20.0,64.0,461.0,2024-07-25 21:13:28,2.9.3,25.0,An MkDocs plugin that simplifies configuring page titles and their order.,4481.0,4481.0,8.0,https://pypi.org/project/mkdocs-awesome-pages-plugin,331480.0,331480.0,26,True,1.0,,,,,,,,,,,,
7,macros,,macros,,fralau/mkdocs_macros_plugin,mkdocs-macros-plugin,['plugin'],code-exec-templating,https://github.com/fralau/mkdocs-macros-plugin,https://github.com/fralau/mkdocs-macros-plugin,MIT,2018-06-27 15:24:40,2024-07-28 14:22:18,2024-07-28 14:20:48,251.0,6.0,48.0,5.0,55.0,2.0,120.0,319.0,2023-08-13 11:52:51,1.0.4,4.0,"Create richer and more beautiful pages in MkDocs, by using variables and calls to macros in the markdown code.",3671.0,3671.0,33.0,https://pypi.org/project/mkdocs-macros-plugin,395723.0,395723.0,26,True,1.0,,,,,,,,,,,,
8,mkdocs-jupyter,,mkdocs-jupyter,,danielfrg/mkdocs-jupyter,mkdocs-jupyter,['plugin'],code-exec-templating,https://github.com/danielfrg/mkdocs-jupyter,https://github.com/danielfrg/mkdocs-jupyter,Apache-2.0,2019-12-18 02:11:34,2024-08-28 20:05:07,2024-08-28 20:05:07,248.0,10.0,48.0,6.0,90.0,25.0,101.0,376.0,,,,Use Jupyter Notebook in mkdocs.,2740.0,2740.0,30.0,https://pypi.org/project/mkdocs-jupyter,132563.0,132563.0,25,True,1.0,,,1.0,,,,,,,,,
9,include-markdown,,include-markdown,,mondeja/mkdocs-include-markdown-plugin,mkdocs-include-markdown-plugin,['plugin'],snippets-include,https://github.com/mondeja/mkdocs-include-markdown-plugin,https://github.com/mondeja/mkdocs-include-markdown-plugin,Apache-2.0,2020-12-04 08:09:34,2024-08-10 23:26:51,2024-08-10 23:26:11,196.0,12.0,19.0,3.0,137.0,4.0,78.0,105.0,2024-08-10 23:36:21,6.2.2,59.0,Mkdocs Markdown includer plugin.,2259.0,2259.0,16.0,https://pypi.org/project/mkdocs-include-markdown-plugin,225336.0,225343.0,25,True,1.0,,320.0,,,,,,,,,,
