,name,mkdocs_theme,mkdocs_plugin,extra_dependencies,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,markdown_extension,trending,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,shadowed,gitlab_id,gitlab_url,new_addition,bitbucket_id
0,Material for MkDocs,material,"['material/blog', 'material/group', 'material/offline', 'material/search', 'material/social', 'material/tags']",{'plugins.social': 'mkdocs-material[imaging]'},squidfunk/mkdocs-material,mkdocs-material,"['theme', 'plugin']",theming,https://github.com/squidfunk/mkdocs-material,https://github.com/squidfunk/mkdocs-material,MIT,2016-01-28 22:09:23,2024-10-10 08:29:54.000000,2024-10-10 08:29:50,6382.0,85.0,3406.0,130.0,3033.0,21.0,2385.0,20537.0,2024-10-10 08:12:11,9.5.40,100.0,Documentation that simply works.,54162.0,54162.0,288.0,https://pypi.org/project/mkdocs-material,5573731.0,5573731.0,42,True,1.0,,,,,,,,,,,,
1,PyMdown Extensions,,,,facelessuser/pymdown-extensions,pymdown-extensions,['markdown'],markdown,https://github.com/facelessuser/pymdown-extensions,https://github.com/facelessuser/pymdown-extensions,,2014-11-21 06:08:04,2024-10-09 15:53:46.000000,2024-10-06 15:32:25,1801.0,29.0,255.0,7.0,2008.0,11.0,370.0,954.0,2024-10-01 16:22:03,10.11.2,96.0,Extensions for Python Markdown.,36870.0,36870.0,47.0,https://pypi.org/project/pymdown-extensions,5791814.0,5791814.0,33,True,1.0,"['pymdownx.arithmatex', 'pymdownx.b64', 'pymdownx.betterem', 'pymdownx.blocks.admonition', 'pymdownx.blocks.definition', 'pymdownx.blocks.details', 'pymdownx.blocks.html', 'pymdownx.blocks.tab', 'pymdownx.caret', 'pymdownx.critic', 'pymdownx.details', 'pymdownx.emoji', 'pymdownx.escapeall', 'pymdownx.extra', 'pymdownx.highlight', 'pymdownx.inlinehilite', 'pymdownx.keys', 'pymdownx.magiclink', 'pymdownx.mark', 'pymdownx.pathconverter', 'pymdownx.progressbar', 'pymdownx.saneheaders', 'pymdownx.smartsymbols', 'pymdownx.snippets', 'pymdownx.striphtml', 'pymdownx.superfences', 'pymdownx.tabbed', 'pymdownx.tasklist', 'pymdownx.tilde']",,,,,,,,,,,
2,mkdocstrings,,mkdocstrings,"{'plugins.mkdocstrings.handlers.crystal': 'mkdocstrings-crystal', 'plugins.mkdocstrings.handlers.python': 'mkdocstrings-python'}",mkdocstrings/mkdocstrings,mkdocstrings,['plugin'],api-docs,https://github.com/mkdocstrings/mkdocstrings,https://github.com/mkdocstrings/mkdocstrings,ISC,2019-12-09 18:09:09,2024-09-06 10:25:49.000000,2024-09-06 10:25:44,678.0,25.0,103.0,14.0,179.0,49.0,356.0,1701.0,2024-09-06 10:26:02,0.26.1,15.0,"Automatic documentation from sources, for MkDocs.",15254.0,15254.0,45.0,https://pypi.org/project/mkdocstrings,1692691.0,1692691.0,32,True,1.0,,,,,,,,,,,,
3,git-revision-date-localized,,git-revision-date-localized,,timvink/mkdocs-git-revision-date-localized-plugin,mkdocs-git-revision-date-localized-plugin,['plugin'],git-info,https://github.com/timvink/mkdocs-git-revision-date-localized-plugin,https://github.com/timvink/mkdocs-git-revision-date-localized-plugin,MIT,2019-11-26 12:11:05,2024-09-12 11:02:52.000000,2024-09-12 11:00:37,311.0,14.0,41.0,4.0,54.0,12.0,83.0,204.0,2024-09-12 11:01:27,1.2.9,46.0,MkDocs plugin to add a last updated date to your site pages.,7699.0,7699.0,28.0,https://pypi.org/project/mkdocs-git-revision-date-localized-plugin,559574.0,559574.0,30,True,1.0,,,,,,,,,,,,
4,macros,,macros,,fralau/mkdocs_macros_plugin,mkdocs-macros-plugin,['plugin'],code-exec-templating,https://github.com/fralau/mkdocs-macros-plugin,https://github.com/fralau/mkdocs-macros-plugin,MIT,2018-06-27 15:24:40,2024-10-10 05:50:26.000000,2024-10-10 05:48:03,270.0,22.0,49.0,5.0,58.0,4.0,124.0,331.0,2023-08-13 11:52:51,1.0.4,4.0,"Create richer and more beautiful pages in MkDocs, by using variables and calls to macros in the markdown code.",3854.0,3854.0,34.0,https://pypi.org/project/mkdocs-macros-plugin,498137.0,498137.0,29,True,1.0,,1.0,,,,,,,,,,
5,plantuml-markdown,,,,mikitex70/plantuml-markdown,plantuml-markdown,['markdown'],charts,https://github.com/mikitex70/plantuml-markdown,https://github.com/mikitex70/plantuml-markdown,BSD-2-Clause,2014-12-14 19:25:12,2024-09-12 05:44:32.000000,2024-09-12 05:40:51,326.0,26.0,54.0,11.0,32.0,2.0,69.0,196.0,2024-09-12 05:47:09,3.10.4,50.0,PlantUML plugin for Python-Markdown.,1495.0,1495.0,29.0,https://pypi.org/project/plantuml-markdown,355496.0,355496.0,28,True,1.0,plantuml_markdown,,,,,,,,,,,
6,mike,,mike,,jimporter/mike,mike,['plugin'],site-management,https://github.com/jimporter/mike,https://github.com/jimporter/mike,BSD-3-Clause,2017-09-24 08:52:01,2024-08-13 05:02:19.000000,2024-08-13 05:01:26,346.0,5.0,46.0,6.0,24.0,10.0,172.0,547.0,2024-08-13 05:03:33,2.1.3,26.0,Manage multiple versions of your MkDocs-powered documentation via Git.,3394.0,3394.0,9.0,https://pypi.org/project/mike,401506.0,401509.0,27,True,1.0,,,288.0,,,,,,,,,
7,awesome-pages,,awesome-pages,,lukasgeiter/mkdocs-awesome-pages-plugin,mkdocs-awesome-pages-plugin,['plugin'],nav-pages,https://github.com/lukasgeiter/mkdocs-awesome-pages-plugin,https://github.com/lukasgeiter/mkdocs-awesome-pages-plugin,MIT,2018-02-06 21:09:24,2024-07-28 14:29:37.000000,2024-07-28 14:28:43,106.0,4.0,36.0,8.0,20.0,24.0,64.0,474.0,2024-07-25 21:13:28,2.9.3,25.0,An MkDocs plugin that simplifies configuring page titles and their order.,4646.0,4646.0,8.0,https://pypi.org/project/mkdocs-awesome-pages-plugin,350087.0,350087.0,25,True,1.0,,,,,,,,,,,,
8,mkdocs-jupyter,,mkdocs-jupyter,,danielfrg/mkdocs-jupyter,mkdocs-jupyter,['plugin'],code-exec-templating,https://github.com/danielfrg/mkdocs-jupyter,https://github.com/danielfrg/mkdocs-jupyter,Apache-2.0,2019-12-18 02:11:34,2024-09-04 16:05:20.000000,2024-09-04 16:05:17,250.0,6.0,48.0,6.0,92.0,29.0,101.0,388.0,,,,Use Jupyter Notebook in mkdocs.,2918.0,2918.0,30.0,https://pypi.org/project/mkdocs-jupyter,145727.0,145727.0,24,True,1.0,,,,,,,,,,,,
9,mkdocs-redirects,,redirects,,mkdocs/mkdocs-redirects,mkdocs-redirects,['plugin'],links-refs,https://github.com/mkdocs/mkdocs-redirects,https://github.com/mkdocs/mkdocs-redirects,MIT,2019-04-03 10:38:39,2024-06-24 17:56:34.000000,2024-06-24 17:56:34,107.0,,20.0,136.0,29.0,12.0,22.0,180.0,2023-07-18 21:27:48,1.2.1,10.0,Open source plugin for Mkdocs page redirects.,4095.0,4095.0,15.0,https://pypi.org/project/mkdocs-redirects,381127.0,381127.0,24,True,1.0,,,,,,,,,,,,
