,name,mkdocs_theme,mkdocs_plugin,extra_dependencies,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,trending,markdown_extension,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,shadowed,gitlab_id,gitlab_url,pypi,bitbucket_id
0,Material for MkDocs,material,"['material/blog', 'material/group', 'material/offline', 'material/search', 'material/social', 'material/tags']",{'plugins.social': 'mkdocs-material[imaging]'},squidfunk/mkdocs-material,mkdocs-material,"['theme', 'plugin']",theming,https://github.com/squidfunk/mkdocs-material,https://github.com/squidfunk/mkdocs-material,MIT,2016-01-28 22:09:23,2025-02-12 09:39:36,2025-02-12 09:38:22,6508.0,94.0,3558.0,140.0,3166.0,27.0,2467.0,22093.0,2025-02-12 09:27:20,9.6.4,100.0,Documentation that simply works.,61601.0,61601.0,304.0,https://pypi.org/project/mkdocs-material,6108268.0,6108268.0,42,True,1.0,,,,,,,,,,,,
1,mkdocstrings,,mkdocstrings,"{'plugins.mkdocstrings.handlers.crystal': 'mkdocstrings-crystal', 'plugins.mkdocstrings.handlers.python': 'mkdocstrings-python'}",mkdocstrings/mkdocstrings,mkdocstrings,['plugin'],api-docs,https://github.com/mkdocstrings/mkdocstrings,https://github.com/mkdocstrings/mkdocstrings,ISC,2019-12-09 18:09:09,2025-02-04 00:45:08,2025-02-03 19:49:26,736.0,46.0,110.0,14.0,184.0,57.0,372.0,1803.0,2025-02-03 16:01:15,0.28.0,18.0,"Automatic documentation from sources, for MkDocs.",17270.0,17270.0,47.0,https://pypi.org/project/mkdocstrings,1957841.0,1957841.0,34,True,1.0,1.0,,,,,,,,,,,
2,PyMdown Extensions,,,,facelessuser/pymdown-extensions,pymdown-extensions,['markdown'],markdown,https://github.com/facelessuser/pymdown-extensions,https://github.com/facelessuser/pymdown-extensions,,2014-11-21 06:08:04,2025-02-13 10:14:55,2025-02-01 15:42:11,1835.0,29.0,258.0,9.0,2094.0,11.0,384.0,995.0,2025-02-01 15:42:53,10.14.3,100.0,Extensions for Python Markdown.,42114.0,42114.0,50.0,https://pypi.org/project/pymdown-extensions,7890402.0,7890402.0,33,True,1.0,,"['pymdownx.arithmatex', 'pymdownx.b64', 'pymdownx.betterem', 'pymdownx.blocks.admonition', 'pymdownx.blocks.definition', 'pymdownx.blocks.details', 'pymdownx.blocks.html', 'pymdownx.blocks.tab', 'pymdownx.caret', 'pymdownx.critic', 'pymdownx.details', 'pymdownx.emoji', 'pymdownx.escapeall', 'pymdownx.extra', 'pymdownx.highlight', 'pymdownx.inlinehilite', 'pymdownx.keys', 'pymdownx.magiclink', 'pymdownx.mark', 'pymdownx.pathconverter', 'pymdownx.progressbar', 'pymdownx.saneheaders', 'pymdownx.smartsymbols', 'pymdownx.snippets', 'pymdownx.striphtml', 'pymdownx.superfences', 'pymdownx.tabbed', 'pymdownx.tasklist', 'pymdownx.tilde']",,,,,,,,,,
3,git-revision-date-localized,,git-revision-date-localized,,timvink/mkdocs-git-revision-date-localized-plugin,mkdocs-git-revision-date-localized-plugin,['plugin'],git-info,https://github.com/timvink/mkdocs-git-revision-date-localized-plugin,https://github.com/timvink/mkdocs-git-revision-date-localized-plugin,MIT,2019-11-26 12:11:05,2025-01-02 12:57:38,2025-01-02 12:57:38,321.0,3.0,45.0,4.0,56.0,11.0,88.0,219.0,2024-10-22 12:43:58,1.3.0,47.0,MkDocs plugin to add a last updated date to your site pages.,8849.0,8849.0,31.0,https://pypi.org/project/mkdocs-git-revision-date-localized-plugin,825786.0,825786.0,29,True,1.0,,,,,,,,,,,,
4,macros,,macros,,fralau/mkdocs_macros_plugin,mkdocs-macros-plugin,['plugin'],code-exec-templating,https://github.com/fralau/mkdocs-macros-plugin,https://github.com/fralau/mkdocs-macros-plugin,MIT,2018-06-27 15:24:40,2024-11-07 11:16:13,2024-11-07 11:15:52,278.0,,47.0,5.0,58.0,1.0,133.0,353.0,2024-11-03 09:25:47,1.3.7,5.0,"Create richer and more beautiful pages in MkDocs, by using variables and calls to macros in the markdown code.",4484.0,4484.0,34.0,https://pypi.org/project/mkdocs-macros-plugin,542196.0,542196.0,28,True,1.0,,,,,,,,,,,,
5,awesome-pages,,awesome-pages,,lukasgeiter/mkdocs-awesome-pages-plugin,mkdocs-awesome-pages-plugin,['plugin'],nav-pages,https://github.com/lukasgeiter/mkdocs-awesome-pages-plugin,https://github.com/lukasgeiter/mkdocs-awesome-pages-plugin,MIT,2018-02-06 21:09:24,2025-02-01 19:18:06,2024-12-22 21:08:39,111.0,5.0,38.0,8.0,22.0,25.0,69.0,519.0,2024-12-22 21:18:45,2.10.1,27.0,A plugin for customizing the navigation structure of your MkDocs site.,5272.0,5272.0,9.0,https://pypi.org/project/mkdocs-awesome-pages-plugin,545990.0,545990.0,27,True,1.0,,,,,,,,,,,,
6,plantuml-markdown,,,,mikitex70/plantuml-markdown,plantuml-markdown,['markdown'],charts,https://github.com/mikitex70/plantuml-markdown,https://github.com/mikitex70/plantuml-markdown,BSD-2-Clause,2014-12-14 19:25:12,2025-02-07 07:03:54,2025-02-07 07:00:43,334.0,6.0,57.0,11.0,33.0,1.0,71.0,199.0,2025-02-07 17:29:15,3.11.1,52.0,PlantUML plugin for Python-Markdown.,1638.0,1638.0,30.0,https://pypi.org/project/plantuml-markdown,374040.0,374040.0,27,True,1.0,,plantuml_markdown,,,,,,,,,,
7,mkdocs-redirects,,redirects,,mkdocs/mkdocs-redirects,mkdocs-redirects,['plugin'],links-refs,https://github.com/mkdocs/mkdocs-redirects,https://github.com/mkdocs/mkdocs-redirects,MIT,2019-04-03 10:38:39,2024-11-07 14:56:54,2024-11-07 14:56:19,109.0,,23.0,133.0,31.0,12.0,28.0,191.0,2024-11-07 14:59:36,1.2.2,11.0,Open source plugin for Mkdocs page redirects.,4734.0,4734.0,16.0,https://pypi.org/project/mkdocs-redirects,595619.0,595619.0,27,True,1.0,,,,,,,,,,,,
8,mike,,mike,,jimporter/mike,mike,['plugin'],site-management,https://github.com/jimporter/mike,https://github.com/jimporter/mike,BSD-3-Clause,2017-09-24 08:52:01,2024-08-13 05:02:19,2024-08-13 05:01:26,346.0,,47.0,5.0,24.0,10.0,175.0,593.0,2024-08-13 05:03:33,2.1.3,26.0,Manage multiple versions of your MkDocs-powered documentation via Git.,3898.0,3898.0,9.0,https://pypi.org/project/mike,437738.0,437742.0,26,True,1.0,,,377.0,,,,,,,,,
9,include-markdown,,include-markdown,,mondeja/mkdocs-include-markdown-plugin,mkdocs-include-markdown-plugin,['plugin'],snippets-include,https://github.com/mondeja/mkdocs-include-markdown-plugin,https://github.com/mondeja/mkdocs-include-markdown-plugin,Apache-2.0,2020-12-04 08:09:34,2025-02-09 14:21:28,2025-02-09 14:21:01,217.0,17.0,24.0,3.0,157.0,,88.0,122.0,2025-02-09 14:30:52,7.1.4,65.0,Mkdocs Markdown includer plugin.,2673.0,2673.0,17.0,https://pypi.org/project/mkdocs-include-markdown-plugin,323449.0,323460.0,26,True,1.0,,,594.0,,,,,,,,,
