,name,mkdocs_theme,mkdocs_plugin,extra_dependencies,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,open_issue_count,markdown_extension,trending,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,updated_github_id,shadowed,gitlab_id,gitlab_url,pypi,bitbucket_id
0,Material for MkDocs,material,"['material/blog', 'material/group', 'material/offline', 'material/search', 'material/social', 'material/tags']",{'plugins.social': 'mkdocs-material[imaging]'},squidfunk/mkdocs-material,mkdocs-material,"['theme', 'plugin']",theming,https://github.com/squidfunk/mkdocs-material,https://github.com/squidfunk/mkdocs-material,MIT,2016-01-28 22:09:23,2025-06-01 11:13:30,2025-06-01 11:13:26,6588.0,56.0,3668.0,142.0,3241.0,2569.0,23528.0,2025-05-13 13:27:27,9.6.14,100.0,Documentation that simply works.,69662.0,69662.0,318.0,https://pypi.org/project/mkdocs-material,7377387.0,7377387.0,42,True,1.0,,,,,,,,,,,,,,
1,mkdocstrings,,mkdocstrings,"{'plugins.mkdocstrings.handlers.crystal': 'mkdocstrings-crystal', 'plugins.mkdocstrings.handlers.python': 'mkdocstrings-python'}",mkdocstrings/mkdocstrings,mkdocstrings,['plugin'],api-docs,https://github.com/mkdocstrings/mkdocstrings,https://github.com/mkdocstrings/mkdocstrings,ISC,2019-12-09 18:09:09,2025-04-01 12:05:34,2025-04-01 12:05:31,769.0,25.0,111.0,14.0,187.0,391.0,1903.0,2025-03-31 08:33:08,0.29.1,23.0,"Automatic documentation from sources, for MkDocs.",19423.0,19423.0,48.0,https://pypi.org/project/mkdocstrings,3150984.0,3150984.0,33,True,1.0,56.0,,,,,,,,,,,,,
2,PyMdown Extensions,,,,facelessuser/pymdown-extensions,pymdown-extensions,['markdown'],markdown,https://github.com/facelessuser/pymdown-extensions,https://github.com/facelessuser/pymdown-extensions,,2014-11-21 06:08:04,2025-06-04 10:14:57,2025-05-29 14:42:18,1859.0,23.0,265.0,8.0,2160.0,393.0,1023.0,2025-04-27 23:48:08,10.15,100.0,Extensions for Python Markdown.,47751.0,47751.0,52.0,https://pypi.org/project/pymdown-extensions,9404279.0,9404279.0,32,True,1.0,12.0,"['pymdownx.arithmatex', 'pymdownx.b64', 'pymdownx.betterem', 'pymdownx.blocks.admonition', 'pymdownx.blocks.definition', 'pymdownx.blocks.details', 'pymdownx.blocks.html', 'pymdownx.blocks.tab', 'pymdownx.caret', 'pymdownx.critic', 'pymdownx.details', 'pymdownx.emoji', 'pymdownx.escapeall', 'pymdownx.extra', 'pymdownx.highlight', 'pymdownx.inlinehilite', 'pymdownx.keys', 'pymdownx.magiclink', 'pymdownx.mark', 'pymdownx.pathconverter', 'pymdownx.progressbar', 'pymdownx.saneheaders', 'pymdownx.smartsymbols', 'pymdownx.snippets', 'pymdownx.striphtml', 'pymdownx.superfences', 'pymdownx.tabbed', 'pymdownx.tasklist', 'pymdownx.tilde']",,,,,,,,,,,,
3,git-revision-date-localized,,git-revision-date-localized,,timvink/mkdocs-git-revision-date-localized-plugin,mkdocs-git-revision-date-localized-plugin,['plugin'],git-info,https://github.com/timvink/mkdocs-git-revision-date-localized-plugin,https://github.com/timvink/mkdocs-git-revision-date-localized-plugin,MIT,2019-11-26 12:11:05,2025-05-28 18:26:24,2025-05-28 18:24:13,394.0,30.0,53.0,3.0,77.0,106.0,235.0,2025-05-28 18:25:34,1.4.7,54.0,MkDocs plugin to add a last updated date to your site pages.,10076.0,10076.0,37.0,https://pypi.org/project/mkdocs-git-revision-date-localized-plugin,963283.0,963283.0,30,True,1.0,5.0,,-1.0,,,,,,,,,,,
4,macros,,macros,,fralau/mkdocs_macros_plugin,mkdocs-macros-plugin,['plugin'],code-exec-templating,https://github.com/fralau/mkdocs-macros-plugin,https://github.com/fralau/mkdocs-macros-plugin,MIT,2018-06-27 15:24:40,2024-11-07 11:16:13,2024-11-07 11:15:52,278.0,,47.0,5.0,58.0,134.0,370.0,2024-11-03 09:25:47,1.3.7,5.0,"Create richer and more beautiful pages in MkDocs, by using variables and calls to macros in the markdown code.",5205.0,5205.0,34.0,https://pypi.org/project/mkdocs-macros-plugin,1076842.0,1076842.0,27,True,1.0,3.0,,,,,,,,,,,,,
5,mkdocstrings-python,,,,mkdocstrings/python,mkdocstrings-python,,api-docs,https://github.com/mkdocstrings/python,https://github.com/mkdocstrings/python,ISC,2021-10-30 12:44:24,2025-06-03 13:09:03,2025-06-03 13:09:00,452.0,47.0,45.0,3.0,57.0,151.0,234.0,2025-06-03 12:52:23,1.16.12,59.0,A Python handler for mkdocstrings.,,,27.0,https://pypi.org/project/mkdocstrings-python,5693871.0,5693871.0,27,True,1.0,37.0,,,,,,,,,,,,,
6,plantuml-markdown,,,,mikitex70/plantuml-markdown,plantuml-markdown,['markdown'],charts,https://github.com/mikitex70/plantuml-markdown,https://github.com/mikitex70/plantuml-markdown,BSD-2-Clause,2014-12-14 19:25:12,2025-02-07 07:03:54,2025-02-07 07:00:43,334.0,,56.0,10.0,33.0,71.0,207.0,2025-02-07 17:29:15,3.11.1,52.0,PlantUML plugin for Python-Markdown.,1736.0,1736.0,30.0,https://pypi.org/project/plantuml-markdown,566726.0,566726.0,27,True,1.0,1.0,plantuml_markdown,,,,,,,,,,,,
7,mike,,mike,,jimporter/mike,mike,['plugin'],site-management,https://github.com/jimporter/mike,https://github.com/jimporter/mike,BSD-3-Clause,2017-09-24 08:52:01,2025-03-16 00:20:09,2025-03-16 00:20:01,350.0,2.0,48.0,5.0,24.0,179.0,636.0,2024-08-13 05:03:33,2.1.3,26.0,Manage multiple versions of your MkDocs-powered documentation via Git.,4453.0,4453.0,9.0,https://pypi.org/project/mike,564333.0,564337.0,26,True,1.0,12.0,,-2.0,398.0,,,,,,,,,,
8,mkdocs-redirects,,redirects,,mkdocs/mkdocs-redirects,mkdocs-redirects,['plugin'],links-refs,https://github.com/mkdocs/mkdocs-redirects,https://github.com/mkdocs/mkdocs-redirects,MIT,2019-04-03 10:38:39,2025-05-19 18:47:36,2025-05-19 18:47:36,111.0,1.0,28.0,132.0,34.0,28.0,207.0,2024-11-07 14:59:36,1.2.2,11.0,Open source plugin for Mkdocs page redirects.,5571.0,5571.0,18.0,https://pypi.org/project/mkdocs-redirects,731767.0,731767.0,26,True,1.0,12.0,,,,,,,,,,,,,
9,print-site,,print-site,,timvink/mkdocs-print-site-plugin,mkdocs-print-site-plugin,['plugin'],site-conversion,https://github.com/timvink/mkdocs-print-site-plugin,https://github.com/timvink/mkdocs-print-site-plugin,MIT,2020-08-15 12:02:33,2025-05-07 07:30:09,2025-05-07 07:29:40,289.0,20.0,25.0,4.0,29.0,100.0,167.0,2025-05-07 07:30:29,2.7.3,49.0,"MkDocs Plugin that adds an additional page that combines all pages, allowing easy exports to PDF and standalone HTML.",459.0,459.0,14.0,https://pypi.org/project/mkdocs-print-site-plugin,92399.0,92399.0,26,True,1.0,10.0,,,,,,,,,,,,,
