,name,mkdocs_theme,mkdocs_plugin,extra_dependencies,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,markdown_extension,github_release_downloads,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,updated_github_id,shadowed,gitlab_id,gitlab_url,pypi,bitbucket_id
0,Material for MkDocs,material,"['material/blog', 'material/group', 'material/offline', 'material/search', 'material/social', 'material/tags']",{'plugins.social': 'mkdocs-material[imaging]'},squidfunk/mkdocs-material,mkdocs-material,"['theme', 'plugin']",theming,https://github.com/squidfunk/mkdocs-material,https://github.com/squidfunk/mkdocs-material,MIT,2016-01-28 22:09:23,2025-07-16 09:26:46.000000,2025-07-16 09:26:43,6605.0,33.0,3712.0,142.0,3263.0,2.0,2591.0,23921.0,2025-07-01 10:13:47,9.6.15,100.0,Documentation that simply works.,71426.0,71426.0,321.0,https://pypi.org/project/mkdocs-material,11348577.0,11348577.0,41,True,1.0,,,,,,,,,,,,,
1,mkdocstrings,,mkdocstrings,"{'plugins.mkdocstrings.handlers.crystal': 'mkdocstrings-crystal', 'plugins.mkdocstrings.handlers.python': 'mkdocstrings-python'}",mkdocstrings/mkdocstrings,mkdocstrings,['plugin'],api-docs,https://github.com/mkdocstrings/mkdocstrings,https://github.com/mkdocstrings/mkdocstrings,ISC,2019-12-09 18:09:09,2025-07-13 16:23:27.000000,2025-07-10 16:19:09,772.0,3.0,111.0,14.0,188.0,58.0,391.0,1931.0,2025-03-31 08:33:08,0.29.1,23.0,"Automatic documentation from sources, for MkDocs.",19993.0,19993.0,49.0,https://pypi.org/project/mkdocstrings,3674947.0,3674947.0,33,True,1.0,,,,,,,,,,,,,
2,PyMdown Extensions,,,,facelessuser/pymdown-extensions,pymdown-extensions,['markdown'],markdown,https://github.com/facelessuser/pymdown-extensions,https://github.com/facelessuser/pymdown-extensions,,2014-11-21 06:08:04,2025-07-16 10:36:39.000000,2025-06-22 19:08:25,1864.0,21.0,265.0,8.0,2187.0,12.0,393.0,1033.0,2025-06-21 17:56:16,10.16,100.0,Extensions for Python Markdown.,48682.0,48682.0,52.0,https://pypi.org/project/pymdown-extensions,11692826.0,11692826.0,32,True,1.0,"['pymdownx.arithmatex', 'pymdownx.b64', 'pymdownx.betterem', 'pymdownx.blocks.admonition', 'pymdownx.blocks.definition', 'pymdownx.blocks.details', 'pymdownx.blocks.html', 'pymdownx.blocks.tab', 'pymdownx.caret', 'pymdownx.critic', 'pymdownx.details', 'pymdownx.emoji', 'pymdownx.escapeall', 'pymdownx.extra', 'pymdownx.highlight', 'pymdownx.inlinehilite', 'pymdownx.keys', 'pymdownx.magiclink', 'pymdownx.mark', 'pymdownx.pathconverter', 'pymdownx.progressbar', 'pymdownx.saneheaders', 'pymdownx.smartsymbols', 'pymdownx.snippets', 'pymdownx.striphtml', 'pymdownx.superfences', 'pymdownx.tabbed', 'pymdownx.tasklist', 'pymdownx.tilde']",,,,,,,,,,,,
3,git-revision-date-localized,,git-revision-date-localized,,timvink/mkdocs-git-revision-date-localized-plugin,mkdocs-git-revision-date-localized-plugin,['plugin'],git-info,https://github.com/timvink/mkdocs-git-revision-date-localized-plugin,https://github.com/timvink/mkdocs-git-revision-date-localized-plugin,MIT,2019-11-26 12:11:05,2025-05-28 18:26:24.000000,2025-05-28 18:24:13,394.0,11.0,54.0,3.0,77.0,5.0,106.0,240.0,2025-05-28 18:25:34,1.4.7,54.0,MkDocs plugin to add a last updated date to your site pages.,10363.0,10363.0,37.0,https://pypi.org/project/mkdocs-git-revision-date-localized-plugin,893681.0,893681.0,30,True,1.0,,,,,,,,,,,,,
4,mike,,mike,,jimporter/mike,mike,['plugin'],site-management,https://github.com/jimporter/mike,https://github.com/jimporter/mike,BSD-3-Clause,2017-09-24 08:52:01,2025-03-16 00:20:09.000000,2025-03-16 00:20:01,350.0,,48.0,5.0,24.0,12.0,181.0,652.0,2024-08-13 05:03:33,2.1.3,26.0,Manage multiple versions of your MkDocs-powered documentation via Git.,4629.0,4629.0,9.0,https://pypi.org/project/mike,701617.0,701621.0,27,True,1.0,,412.0,,,,,,,,,,,
5,macros,,macros,,fralau/mkdocs_macros_plugin,mkdocs-macros-plugin,['plugin'],code-exec-templating,https://github.com/fralau/mkdocs-macros-plugin,https://github.com/fralau/mkdocs-macros-plugin,MIT,2018-06-27 15:24:40,2024-11-07 11:16:13.000000,2024-11-07 11:15:52,278.0,,47.0,5.0,58.0,3.0,134.0,374.0,2024-11-03 09:25:47,1.3.7,5.0,"Create richer and more beautiful pages in MkDocs, by using variables and calls to macros in the markdown code.",5407.0,5407.0,34.0,https://pypi.org/project/mkdocs-macros-plugin,1033586.0,1033586.0,27,True,1.0,,,,,,,,,,,,,
6,plantuml-markdown,,,,mikitex70/plantuml-markdown,plantuml-markdown,['markdown'],charts,https://github.com/mikitex70/plantuml-markdown,https://github.com/mikitex70/plantuml-markdown,BSD-2-Clause,2014-12-14 19:25:12,2025-02-07 07:03:54.000000,2025-02-07 07:00:43,334.0,,56.0,10.0,33.0,1.0,71.0,208.0,2025-02-07 17:29:15,3.11.1,52.0,PlantUML plugin for Python-Markdown.,1745.0,1745.0,30.0,https://pypi.org/project/plantuml-markdown,706104.0,706104.0,27,True,1.0,plantuml_markdown,,,,,,,,,,,,
7,mkdocstrings-python,,,,mkdocstrings/python,mkdocstrings-python,,api-docs,https://github.com/mkdocstrings/python,https://github.com/mkdocstrings/python,ISC,2021-10-30 12:44:24,2025-07-14 11:34:58.000000,2025-07-14 11:30:41,456.0,14.0,48.0,3.0,63.0,37.0,156.0,243.0,2025-06-03 12:52:23,1.16.12,59.0,A Python handler for mkdocstrings.,,,27.0,https://pypi.org/project/mkdocstrings-python,7288958.0,7288958.0,26,True,1.0,,,,,,,,,,,,,
8,mkdocs-redirects,,redirects,,mkdocs/mkdocs-redirects,mkdocs-redirects,['plugin'],links-refs,https://github.com/mkdocs/mkdocs-redirects,https://github.com/mkdocs/mkdocs-redirects,MIT,2019-04-03 10:38:39,2025-05-19 18:47:36.000000,2025-05-19 18:47:36,111.0,1.0,29.0,130.0,35.0,12.0,28.0,215.0,2024-11-07 14:59:36,1.2.2,11.0,Open source plugin for Mkdocs page redirects.,5837.0,5837.0,18.0,https://pypi.org/project/mkdocs-redirects,897740.0,897740.0,26,True,1.0,,,,,,,,,,,,,
9,git-authors,,git-authors,,timvink/mkdocs-git-authors-plugin,mkdocs-git-authors-plugin,['plugin'],git-info,https://github.com/timvink/mkdocs-git-authors-plugin,https://github.com/timvink/mkdocs-git-authors-plugin,MIT,2019-12-23 10:24:38,2025-06-10 05:40:20.000000,2025-06-10 05:37:00,260.0,15.0,23.0,4.0,46.0,9.0,57.0,101.0,2025-06-10 05:42:10,0.10.0,29.0,MkDocs plugin to display git authors of a page.,1622.0,1622.0,17.0,https://pypi.org/project/mkdocs-git-authors-plugin,168098.0,168098.0,26,True,1.0,,,,,,,,,,,,,
10,monorepo,,monorepo,,backstage/mkdocs-monorepo-plugin,mkdocs-monorepo-plugin,['plugin'],site-management,https://github.com/backstage/mkdocs-monorepo-plugin,https://github.com/backstage/mkdocs-monorepo-plugin,Apache-2.0,2019-09-19 18:18:32,2025-06-15 12:39:15.000000,2025-06-15 12:39:15,155.0,5.0,71.0,23.0,66.0,37.0,34.0,360.0,,,,Build multiple documentation folders in a single Mkdocs. Designed for large codebases.,554.0,554.0,32.0,https://pypi.org/project/mkdocs-monorepo-plugin,1142754.0,1142754.0,25,True,1.0,,,,,,,,,,,,,
11,print-site,,print-site,,timvink/mkdocs-print-site-plugin,mkdocs-print-site-plugin,['plugin'],site-conversion,https://github.com/timvink/mkdocs-print-site-plugin,https://github.com/timvink/mkdocs-print-site-plugin,MIT,2020-08-15 12:02:33,2025-05-07 07:30:09.000000,2025-05-07 07:29:40,289.0,5.0,26.0,4.0,31.0,11.0,101.0,169.0,2025-05-07 07:30:29,2.7.3,49.0,"MkDocs Plugin that adds an additional page that combines all pages, allowing easy exports to PDF and standalone HTML.",471.0,471.0,14.0,https://pypi.org/project/mkdocs-print-site-plugin,67832.0,67832.0,25,True,1.0,,,1.0,,,,,,,,,,
12,rss,,rss,,Guts/mkdocs-rss-plugin,mkdocs-rss-plugin,['plugin'],blogging,https://github.com/Guts/mkdocs-rss-plugin,https://github.com/Guts/mkdocs-rss-plugin,MIT,2020-07-06 13:48:11,2025-07-07 18:27:10.000000,2025-07-07 18:27:08,1028.0,21.0,28.0,2.0,299.0,15.0,42.0,114.0,2025-05-30 19:17:05,1.17.3,35.0,"MkDocs plugin to generate a RSS feeds for created and updated pages, using git log and YAML frontmatter (page.meta).",1216.0,1216.0,19.0,https://pypi.org/project/mkdocs-rss-plugin,78483.0,78490.0,25,True,1.0,,333.0,,,,,,,,,,,
13,techdocs-core,,techdocs-core,,backstage/mkdocs-techdocs-core,mkdocs-techdocs-core,['plugin'],site-management,https://github.com/backstage/mkdocs-techdocs-core,https://github.com/backstage/mkdocs-techdocs-core,Apache-2.0,2020-11-03 10:13:07,2025-07-11 17:08:41.000000,2025-07-08 18:47:18,406.0,21.0,70.0,15.0,209.0,1.0,71.0,100.0,2025-07-11 17:08:41,1.5.4,1.0,The core MkDocs plugin used by Backstages TechDocs as a wrapper around multiple MkDocs plugins and Python Markdown..,180.0,180.0,47.0,https://pypi.org/project/mkdocs-techdocs-core,632648.0,632648.0,25,True,1.0,,,2.0,,,,,,,,,,
14,mkdocs-jupyter,,mkdocs-jupyter,,danielfrg/mkdocs-jupyter,mkdocs-jupyter,['plugin'],code-exec-templating,https://github.com/danielfrg/mkdocs-jupyter,https://github.com/danielfrg/mkdocs-jupyter,Apache-2.0,2019-12-18 02:11:34,2025-07-03 22:08:09.000000,2025-07-03 21:11:01,258.0,2.0,56.0,5.0,99.0,42.0,105.0,452.0,,,,Use Jupyter Notebook in mkdocs.,4057.0,4057.0,33.0,https://pypi.org/project/mkdocs-jupyter,317516.0,317516.0,24,True,1.0,,,,,,,,,,,,,
15,minify,,minify,,byrnereese/mkdocs-minify-plugin,mkdocs-minify-plugin,['plugin'],html-css,https://github.com/byrnereese/mkdocs-minify-plugin,https://github.com/byrnereese/mkdocs-minify-plugin,MIT,2018-12-19 16:35:00,2024-02-07 16:25:16.000000,2024-01-29 16:11:49,76.0,,24.0,10.0,22.0,5.0,13.0,172.0,2023-08-01 10:33:03,0.7.1,9.0,A mkdocs plugin to minify the HTML of a page before it is written to disk.,10380.0,10380.0,14.0,https://pypi.org/project/mkdocs-minify-plugin,613622.0,613622.0,24,True,1.0,,,,,,,,,,,,,
16,include-markdown,,include-markdown,,mondeja/mkdocs-include-markdown-plugin,mkdocs-include-markdown-plugin,['plugin'],snippets-include,https://github.com/mondeja/mkdocs-include-markdown-plugin,https://github.com/mondeja/mkdocs-include-markdown-plugin,Apache-2.0,2020-12-04 08:09:34,2025-07-01 03:33:17.000000,2025-06-13 18:12:46,220.0,1.0,23.0,3.0,162.0,1.0,89.0,138.0,2025-06-13 18:25:45,7.1.6,67.0,Mkdocs Markdown includer plugin.,3051.0,3051.0,17.0,https://pypi.org/project/mkdocs-include-markdown-plugin,327335.0,327347.0,24,True,1.0,,664.0,,,,,,,,,,,
17,awesome-nav,,awesome-nav,,lukasgeiter/mkdocs-awesome-nav,mkdocs-awesome-nav,['plugin'],nav-pages,https://github.com/lukasgeiter/mkdocs-awesome-nav,https://github.com/lukasgeiter/mkdocs-awesome-nav,MIT,2018-02-06 21:09:24,2025-05-18 19:12:19.000000,2025-05-18 19:00:05,124.0,1.0,39.0,8.0,24.0,20.0,86.0,575.0,2025-05-18 19:12:19,3.1.2,31.0,A plugin for customizing the navigation structure of your MkDocs site.,209.0,209.0,10.0,https://pypi.org/project/mkdocs-awesome-nav,117032.0,117032.0,23,True,1.0,,,,,,,,,,,,,
18,mkdocs-with-pdf,,with-pdf,,orzih/mkdocs-with-pdf,mkdocs-with-pdf,['plugin'],site-conversion,https://github.com/orzih/mkdocs-with-pdf,https://github.com/orzih/mkdocs-with-pdf,MIT,2020-02-23 16:34:46,2024-05-25 03:08:01.000000,2021-10-14 20:29:54,188.0,,76.0,12.0,52.0,67.0,49.0,368.0,2021-07-03 02:09:02,0.9.3,27.0,Generate a single PDF file from MkDocs repository.,782.0,782.0,6.0,https://pypi.org/project/mkdocs-with-pdf,93926.0,93926.0,23,True,1.0,,,,,,,,,,,,,
19,MkDocs GLightbox,,glightbox,,blueswen/mkdocs-glightbox,mkdocs-glightbox,['plugin'],charts,https://github.com/blueswen/mkdocs-glightbox,https://github.com/blueswen/mkdocs-glightbox,MIT,2022-06-10 06:35:05,2025-04-27 06:03:29.000000,2025-04-27 06:03:29,106.0,1.0,19.0,3.0,10.0,22.0,28.0,168.0,2024-05-06 14:35:27,0.4.0,16.0,A MkDocs plugin supports image lightbox (zoom effect) with GLightbox.,4893.0,4893.0,7.0,https://pypi.org/project/mkdocs-glightbox,586249.0,586250.0,23,True,1.0,,44.0,,,,,,,,,,,
20,mkdocs-multirepo-plugin,,multirepo,,jdoiro3/mkdocs-multirepo-plugin,mkdocs-multirepo-plugin,['plugin'],site-management,https://github.com/jdoiro3/mkdocs-multirepo-plugin,https://github.com/jdoiro3/mkdocs-multirepo-plugin,MIT,2021-12-19 01:25:18,2025-01-15 16:08:45.000000,2025-01-15 16:08:44,430.0,,54.0,5.0,56.0,62.0,52.0,167.0,2024-08-13 12:57:03,0.8.3,23.0,Build documentation in multiple repos into one site.,200.0,200.0,17.0,https://pypi.org/project/mkdocs-multirepo-plugin,61145.0,61145.0,23,True,2.0,,,,,,,,,,,,,
21,markdown-exec,,markdown-exec,{'plugins.markdown-exec.ansi': 'markdown-exec[ansi]'},pawamoy/markdown-exec,markdown-exec,['plugin'],code-exec-templating,https://github.com/pawamoy/markdown-exec,https://github.com/pawamoy/markdown-exec,ISC,2022-02-11 22:48:50,2025-06-28 11:42:21.000000,2025-06-28 11:42:16,268.0,7.0,15.0,2.0,10.0,16.0,50.0,157.0,2025-06-28 10:30:44,1.11.0,15.0,Utilities to execute code blocks in Markdown files.,548.0,548.0,5.0,https://pypi.org/project/markdown-exec,379737.0,379737.0,23,True,1.0,,,-1.0,,,,,,,,,,
22,bibtex,,bibtex,,shyamd/mkdocs-bibtex,mkdocs-bibtex,['plugin'],links-refs,https://github.com/shyamd/mkdocs-bibtex,https://github.com/shyamd/mkdocs-bibtex,BSD-3-Clause-LBNL,2019-05-29 04:43:44,2025-07-01 15:00:32.000000,2025-07-01 15:00:24,441.0,18.0,28.0,1.0,274.0,5.0,53.0,84.0,2025-07-01 14:57:13,4.4.0,81.0,A MkDocs plugin for citation management using bibtex.,411.0,411.0,21.0,https://pypi.org/project/mkdocs-bibtex,21356.0,21356.0,23,True,1.0,,,,,,,,,,,,,
