,name,mkdocs_theme,mkdocs_plugin,extra_dependencies,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,projectrank,show,projectrank_placing,trending,markdown_extension,github_release_downloads,monthly_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,updated_github_id,shadowed,pypi,gitlab_id,gitlab_url,bitbucket_id
0,Material for MkDocs,material,"['material/blog', 'material/group', 'material/offline', 'material/search', 'material/social', 'material/tags']",{'plugins.social': 'mkdocs-material[imaging]'},squidfunk/mkdocs-material,mkdocs-material,"['theme', 'plugin']",theming,https://github.com/squidfunk/mkdocs-material,https://github.com/squidfunk/mkdocs-material,MIT,2016-01-28 22:09:23,2025-08-06 10:05:10.000000,2025-08-06 10:05:06,6620.0,44.0,3737.0,144.0,3270.0,1.0,2605.0,24120.0,2025-07-26 15:53:16,9.6.16,100.0,Documentation that simply works.,72030.0,72030.0,322.0,https://pypi.org/project/mkdocs-material,35,True,1.0,-7.0,,,,,,,,,,,,,
1,mkdocstrings,,mkdocstrings,"{'plugins.mkdocstrings.handlers.crystal': 'mkdocstrings-crystal', 'plugins.mkdocstrings.handlers.python': 'mkdocstrings-python'}",mkdocstrings/mkdocstrings,mkdocstrings,['plugin'],api-docs,https://github.com/mkdocstrings/mkdocstrings,https://github.com/mkdocstrings/mkdocstrings,ISC,2019-12-09 18:09:09,2025-07-30 15:16:18.000000,2025-07-30 15:16:18,775.0,6.0,114.0,14.0,189.0,60.0,394.0,1950.0,2025-07-22 23:49:19,0.30.0,24.0,"Automatic documentation from sources, for MkDocs.",20215.0,20215.0,51.0,https://pypi.org/project/mkdocstrings,26,True,1.0,-7.0,,,,,,,,,,,,,
2,PyMdown Extensions,,,,facelessuser/pymdown-extensions,pymdown-extensions,['markdown'],markdown,https://github.com/facelessuser/pymdown-extensions,https://github.com/facelessuser/pymdown-extensions,,2014-11-21 06:08:04,2025-07-30 10:09:44.000000,2025-07-22 02:46:55,1865.0,12.0,266.0,8.0,2197.0,13.0,396.0,1050.0,2025-07-28 16:18:58,10.16.1,100.0,Extensions for Python Markdown.,48991.0,48991.0,52.0,https://pypi.org/project/pymdown-extensions,26,True,1.0,-7.0,"['pymdownx.arithmatex', 'pymdownx.b64', 'pymdownx.betterem', 'pymdownx.blocks.admonition', 'pymdownx.blocks.definition', 'pymdownx.blocks.details', 'pymdownx.blocks.html', 'pymdownx.blocks.tab', 'pymdownx.caret', 'pymdownx.critic', 'pymdownx.details', 'pymdownx.emoji', 'pymdownx.escapeall', 'pymdownx.extra', 'pymdownx.highlight', 'pymdownx.inlinehilite', 'pymdownx.keys', 'pymdownx.magiclink', 'pymdownx.mark', 'pymdownx.pathconverter', 'pymdownx.progressbar', 'pymdownx.saneheaders', 'pymdownx.smartsymbols', 'pymdownx.snippets', 'pymdownx.striphtml', 'pymdownx.superfences', 'pymdownx.tabbed', 'pymdownx.tasklist', 'pymdownx.tilde']",,,,,,,,,,,,
3,git-revision-date-localized,,git-revision-date-localized,,timvink/mkdocs-git-revision-date-localized-plugin,mkdocs-git-revision-date-localized-plugin,['plugin'],git-info,https://github.com/timvink/mkdocs-git-revision-date-localized-plugin,https://github.com/timvink/mkdocs-git-revision-date-localized-plugin,MIT,2019-11-26 12:11:05,2025-05-28 18:26:24.000000,2025-05-28 18:24:13,394.0,9.0,54.0,3.0,77.0,5.0,106.0,244.0,2025-05-28 18:25:34,1.4.7,54.0,MkDocs plugin to add a last updated date to your site pages.,10460.0,10460.0,37.0,https://pypi.org/project/mkdocs-git-revision-date-localized-plugin,22,True,1.0,-8.0,,,,,,,,,,,,,
4,mike,,mike,,jimporter/mike,mike,['plugin'],site-management,https://github.com/jimporter/mike,https://github.com/jimporter/mike,BSD-3-Clause,2017-09-24 08:52:01,2025-03-16 00:20:09.000000,2025-03-16 00:20:01,350.0,,48.0,5.0,24.0,12.0,182.0,656.0,2024-08-13 05:03:33,2.1.3,26.0,Manage multiple versions of your MkDocs-powered documentation via Git.,4675.0,4675.0,9.0,https://pypi.org/project/mike,21,True,1.0,,,412.0,4.0,,,,,,,,,,
5,macros,,macros,,fralau/mkdocs_macros_plugin,mkdocs-macros-plugin,['plugin'],code-exec-templating,https://github.com/fralau/mkdocs-macros-plugin,https://github.com/fralau/mkdocs-macros-plugin,MIT,2018-06-27 15:24:40,2024-11-07 11:16:13.000000,2024-11-07 11:15:52,278.0,,48.0,5.0,59.0,3.0,134.0,376.0,2024-11-03 09:25:47,1.3.7,5.0,"Create richer and more beautiful pages in MkDocs, by using variables and calls to macros in the markdown code.",5478.0,5478.0,34.0,https://pypi.org/project/mkdocs-macros-plugin,21,True,1.0,,,,,,,,,,,,,,
6,git-authors,,git-authors,,timvink/mkdocs-git-authors-plugin,mkdocs-git-authors-plugin,['plugin'],git-info,https://github.com/timvink/mkdocs-git-authors-plugin,https://github.com/timvink/mkdocs-git-authors-plugin,MIT,2019-12-23 10:24:38,2025-06-10 05:40:20.000000,2025-06-10 05:37:00,260.0,13.0,23.0,4.0,46.0,9.0,57.0,102.0,2025-06-10 05:42:10,0.10.0,29.0,MkDocs plugin to display git authors of a page.,1644.0,1644.0,17.0,https://pypi.org/project/mkdocs-git-authors-plugin,21,True,1.0,,,,,,,,,,,,,,
7,plantuml-markdown,,,,mikitex70/plantuml-markdown,plantuml-markdown,['markdown'],charts,https://github.com/mikitex70/plantuml-markdown,https://github.com/mikitex70/plantuml-markdown,BSD-2-Clause,2014-12-14 19:25:12,2025-02-07 07:03:54.000000,2025-02-07 07:00:43,334.0,,56.0,10.0,33.0,1.0,71.0,208.0,2025-02-07 17:29:15,3.11.1,52.0,PlantUML plugin for Python-Markdown.,1746.0,1746.0,30.0,https://pypi.org/project/plantuml-markdown,20,True,1.0,-7.0,plantuml_markdown,,,,,,,,,,,,
8,rss,,rss,,Guts/mkdocs-rss-plugin,mkdocs-rss-plugin,['plugin'],blogging,https://github.com/Guts/mkdocs-rss-plugin,https://github.com/Guts/mkdocs-rss-plugin,MIT,2020-07-06 13:48:11,2025-08-05 04:26:58.000000,2025-08-05 04:26:56,1030.0,22.0,28.0,2.0,300.0,15.0,42.0,114.0,2025-05-30 19:17:05,1.17.3,35.0,"MkDocs plugin to generate a RSS feeds for created and updated pages, using git log and YAML frontmatter (page.meta).",1232.0,1232.0,19.0,https://pypi.org/project/mkdocs-rss-plugin,20,True,1.0,,,334.0,7.0,,,,,,,,,,
9,mkdocs-jupyter,,mkdocs-jupyter,,danielfrg/mkdocs-jupyter,mkdocs-jupyter,['plugin'],code-exec-templating,https://github.com/danielfrg/mkdocs-jupyter,https://github.com/danielfrg/mkdocs-jupyter,Apache-2.0,2019-12-18 02:11:34,2025-07-03 22:08:09.000000,2025-07-03 21:11:01,258.0,2.0,56.0,5.0,99.0,42.0,105.0,461.0,,,,Use Jupyter Notebook in mkdocs.,4103.0,4103.0,33.0,https://pypi.org/project/mkdocs-jupyter,19,True,1.0,,,,,,,,,,,,,,
