,name,mkdocs_theme,mkdocs_plugin,extra_dependencies,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,trending,markdown_extension,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,updated_github_id,shadowed,gitlab_id,gitlab_url,pypi,bitbucket_id
0,Material for MkDocs,material,"['material/blog', 'material/group', 'material/offline', 'material/search', 'material/social', 'material/tags']",{'plugins.social': 'mkdocs-material[imaging]'},squidfunk/mkdocs-material,mkdocs-material,"['theme', 'plugin']",theming,https://github.com/squidfunk/mkdocs-material,https://github.com/squidfunk/mkdocs-material,MIT,2016-01-28 22:09:23,2025-10-02 10:05:02.000000,2025-10-02 10:04:58,6657.0,59.0,3808.0,145.0,3297.0,2.0,2635.0,24688.0,2025-09-30 19:10:54,9.6.21,100.0,Documentation that simply works.,73805.0,73805.0,325.0,https://pypi.org/project/mkdocs-material,10075685.0,10075685.0,42,True,1.0,,,,,,,,,,,,,
1,mkdocstrings,,mkdocstrings,"{'plugins.mkdocstrings.handlers.crystal': 'mkdocstrings-crystal', 'plugins.mkdocstrings.handlers.python': 'mkdocstrings-python'}",mkdocstrings/mkdocstrings,mkdocstrings,['plugin'],api-docs,https://github.com/mkdocstrings/mkdocstrings,https://github.com/mkdocstrings/mkdocstrings,ISC,2019-12-09 18:09:09,2025-09-28 16:00:21.000000,2025-09-28 16:00:21,780.0,9.0,116.0,14.0,192.0,57.0,407.0,1977.0,2025-09-19 10:49:32,0.30.1,25.0,"Automatic documentation from sources, for MkDocs.",20874.0,20874.0,53.0,https://pypi.org/project/mkdocstrings,4329844.0,4329844.0,33,True,1.0,-1.0,,,,,,,,,,,,
2,PyMdown Extensions,,,,facelessuser/pymdown-extensions,pymdown-extensions,['markdown'],markdown,https://github.com/facelessuser/pymdown-extensions,https://github.com/facelessuser/pymdown-extensions,,2014-11-21 06:08:04,2025-10-02 10:01:28.000000,2025-09-25 12:38:22,1867.0,3.0,266.0,8.0,2226.0,14.0,399.0,1068.0,2025-07-28 16:18:58,10.16.1,100.0,Extensions for Python Markdown.,49909.0,49909.0,53.0,https://pypi.org/project/pymdown-extensions,11967205.0,11967205.0,32,True,1.0,,"['pymdownx.arithmatex', 'pymdownx.b64', 'pymdownx.betterem', 'pymdownx.blocks.admonition', 'pymdownx.blocks.definition', 'pymdownx.blocks.details', 'pymdownx.blocks.html', 'pymdownx.blocks.tab', 'pymdownx.caret', 'pymdownx.critic', 'pymdownx.details', 'pymdownx.emoji', 'pymdownx.escapeall', 'pymdownx.extra', 'pymdownx.highlight', 'pymdownx.inlinehilite', 'pymdownx.keys', 'pymdownx.magiclink', 'pymdownx.mark', 'pymdownx.pathconverter', 'pymdownx.progressbar', 'pymdownx.saneheaders', 'pymdownx.smartsymbols', 'pymdownx.snippets', 'pymdownx.striphtml', 'pymdownx.superfences', 'pymdownx.tabbed', 'pymdownx.tasklist', 'pymdownx.tilde']",,,,,,,,,,,
3,macros,,macros,,fralau/mkdocs_macros_plugin,mkdocs-macros-plugin,['plugin'],code-exec-templating,https://github.com/fralau/mkdocs-macros-plugin,https://github.com/fralau/mkdocs-macros-plugin,MIT,2018-06-27 15:24:40,2025-10-01 00:29:48.000000,2025-10-01 00:29:25,286.0,8.0,48.0,5.0,59.0,1.0,140.0,386.0,2024-11-03 09:25:47,1.3.7,5.0,"Create richer and more beautiful pages in MkDocs, by using variables and calls to macros in the markdown code.",5718.0,5718.0,34.0,https://pypi.org/project/mkdocs-macros-plugin,1429968.0,1429968.0,28,True,1.0,,,,,,,,,,,,,
4,git-revision-date-localized,,git-revision-date-localized,,timvink/mkdocs-git-revision-date-localized-plugin,mkdocs-git-revision-date-localized-plugin,['plugin'],git-info,https://github.com/timvink/mkdocs-git-revision-date-localized-plugin,https://github.com/timvink/mkdocs-git-revision-date-localized-plugin,MIT,2019-11-26 12:11:05,2025-09-09 17:24:25.000000,2025-09-09 17:24:25,396.0,2.0,56.0,3.0,79.0,5.0,107.0,250.0,2025-05-28 18:25:34,1.4.7,54.0,MkDocs plugin to add a last updated date to your site pages.,10763.0,10763.0,38.0,https://pypi.org/project/mkdocs-git-revision-date-localized-plugin,1244383.0,1244383.0,28,True,1.0,,,,,,,,,,,,,
5,mike,,mike,,jimporter/mike,mike,['plugin'],site-management,https://github.com/jimporter/mike,https://github.com/jimporter/mike,BSD-3-Clause,2017-09-24 08:52:01,2025-03-16 00:20:09.000000,2025-03-16 00:20:01,350.0,,50.0,5.0,26.0,13.0,182.0,680.0,2024-08-13 05:03:33,2.1.3,26.0,Manage multiple versions of your MkDocs-powered documentation via Git.,4879.0,4879.0,9.0,https://pypi.org/project/mike,702379.0,702383.0,27,True,1.0,,,420.0,,,,,,,,,,
6,MkDocs GLightbox,,glightbox,,blueswen/mkdocs-glightbox,mkdocs-glightbox,['plugin'],charts,https://github.com/blueswen/mkdocs-glightbox,https://github.com/blueswen/mkdocs-glightbox,MIT,2022-06-10 06:35:05,2025-09-04 13:10:30.000000,2025-09-04 13:01:58,122.0,15.0,20.0,3.0,10.0,21.0,32.0,178.0,2025-09-04 13:17:25,0.5.1,18.0,A MkDocs plugin supports image lightbox (zoom effect) with GLightbox.,5119.0,5119.0,8.0,https://pypi.org/project/mkdocs-glightbox,759084.0,759085.0,27,True,1.0,,,44.0,,,,,,,,,,
7,mkdocstrings-python,,,,mkdocstrings/python,mkdocstrings-python,,api-docs,https://github.com/mkdocstrings/python,https://github.com/mkdocstrings/python,ISC,2021-10-30 12:44:24,2025-09-09 12:08:02.000000,2025-09-09 12:07:57,473.0,19.0,49.0,3.0,64.0,36.0,164.0,252.0,2025-08-28 16:11:23,1.18.2,63.0,A Python handler for mkdocstrings.,,,28.0,https://pypi.org/project/mkdocstrings-python,10142066.0,10142066.0,26,True,1.0,,,,,,,,,,,,,
8,mkdocs-redirects,,redirects,,mkdocs/mkdocs-redirects,mkdocs-redirects,['plugin'],links-refs,https://github.com/mkdocs/mkdocs-redirects,https://github.com/mkdocs/mkdocs-redirects,MIT,2019-04-03 10:38:39,2025-05-19 18:47:36.000000,2025-05-19 18:47:36,111.0,,33.0,128.0,35.0,12.0,28.0,227.0,2024-11-07 14:59:36,1.2.2,11.0,Open source plugin for Mkdocs page redirects.,6175.0,6175.0,18.0,https://pypi.org/project/mkdocs-redirects,1254644.0,1254644.0,26,True,1.0,,,,,,,,,,,,,
9,plantuml-markdown,,,,mikitex70/plantuml-markdown,plantuml-markdown,['markdown'],charts,https://github.com/mikitex70/plantuml-markdown,https://github.com/mikitex70/plantuml-markdown,BSD-2-Clause,2014-12-14 19:25:12,2025-02-07 07:03:54.000000,2025-02-07 07:00:43,334.0,,56.0,9.0,33.0,1.0,71.0,210.0,2025-02-07 17:29:15,3.11.1,52.0,PlantUML plugin for Python-Markdown.,1758.0,1758.0,30.0,https://pypi.org/project/plantuml-markdown,1091729.0,1091729.0,26,True,1.0,,plantuml_markdown,,,,,,,,,,,
