,name,mkdocs_plugin,extra_dependencies,github_id,pypi_id,labels,category,homepage,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,description,projectrank,show,projectrank_placing,markdown_extension,trending,mkdocs_theme,license,shadowed,gitlab_id,gitlab_url,created_at,fork_count,open_issue_count,closed_issue_count,star_count,release_count,updated_at,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,pypi,bitbucket_id
0,mkdocstrings,mkdocstrings,"{'plugins.mkdocstrings.handlers.crystal': 'mkdocstrings-crystal', 'plugins.mkdocstrings.handlers.python': 'mkdocstrings-python'}",mkdocstrings/mkdocstrings,mkdocstrings,['plugin'],api-docs,{},29299.0,29299.0,55.0,https://pypi.org/project/mkdocstrings,7766766.0,7766766.0,,15,True,1.0,,,,,,,,,,,,,,,,,,,,
1,mkdocs-jupyter,mkdocs-jupyter,,danielfrg/mkdocs-jupyter,mkdocs-jupyter,['plugin'],code-exec-templating,{},5300.0,5300.0,39.0,https://pypi.org/project/mkdocs-jupyter,470717.0,470717.0,,13,True,1.0,,,,,,,,,,,,,,,,,,,,
2,plantuml-markdown,,,mikitex70/plantuml-markdown,plantuml-markdown,['markdown'],charts,{},1832.0,1832.0,30.0,https://pypi.org/project/plantuml-markdown,896891.0,896891.0,,12,True,1.0,plantuml_markdown,,,,,,,,,,,,,,,,,,,
3,gen-files,gen-files,,oprypin/mkdocs-gen-files,mkdocs-gen-files,['plugin'],code-exec-templating,{},4647.0,4647.0,6.0,https://pypi.org/project/mkdocs-gen-files,1417367.0,1417367.0,,12,True,1.0,,,,,,,,,,,,,,,,,,,,
4,minify,minify,,byrnereese/mkdocs-minify-plugin,mkdocs-minify-plugin,['plugin'],html-css,{},12535.0,12535.0,14.0,https://pypi.org/project/mkdocs-minify-plugin,999722.0,999722.0,,12,True,1.0,,,,,,,,,,,,,,,,,,,,
5,mkdocs-click,,,mkdocs/mkdocs-click,mkdocs-click,['markdown'],api-docs,{},1276.0,1276.0,16.0,https://pypi.org/project/mkdocs-click,1151488.0,1151488.0,,11,True,1.0,mkdocs-click,-10.0,,,,,,,,,,,,,,,,,,
6,static-i18n,i18n,,ultrabug/mkdocs-static-i18n,mkdocs-static-i18n,['plugin'],i18n-l10n,{},2594.0,2594.0,14.0,https://pypi.org/project/mkdocs-static-i18n,632031.0,632031.0,,11,True,1.0,,,,,,,,,,,,,,,,,,,,
7,Math extension,,,mitya57/python-markdown-math,python-markdown-math,['markdown'],markdown,{},4059.0,4059.0,8.0,https://pypi.org/project/python-markdown-math,394340.0,394340.0,,11,True,1.0,mdx_math,-10.0,,,,,,,,,,,,,,,,,,
8,literate-nav,literate-nav,,oprypin/mkdocs-literate-nav,mkdocs-literate-nav,['plugin'],nav-pages,{},3765.0,3765.0,,https://pypi.org/project/mkdocs-literate-nav,1258518.0,1258518.0,,11,True,1.0,,,,,,,,,,,,,,,,,,,,
9,Material for MkDocs,"['material/blog', 'material/group', 'material/offline', 'material/search', 'material/social', 'material/tags']",{'plugins.social': 'mkdocs-material[imaging]'},squidfunk/mkdocs-material,mkdocs-material,"['theme', 'plugin']",theming,{},90886.0,90886.0,331.0,https://pypi.org/project/mkdocs-material,,,,10,True,1.0,,,material,,,,,,,,,,,,,,,,,
10,Cinder,,,chrissimpkins/cinder,mkdocs-cinder,['theme'],theming,{},710.0,710.0,23.0,https://pypi.org/project/mkdocs-cinder,6793.0,6793.0,,10,True,1.0,,,cinder,MIT,,,,,,,,,,,,,,,,
11,git-committers-2,git-committers,,ojacques/mkdocs-git-committers-plugin-2,mkdocs-git-committers-plugin-2,['plugin'],git-info,{},1634.0,1634.0,19.0,https://pypi.org/project/mkdocs-git-committers-plugin-2,134128.0,134128.0,An MkDocs plugin to create a list of contributors on the page.,10,True,1.0,,,,,,,,,,,,,,,,,,,,
12,mkdocs-callouts,callouts,,sondregronas/mkdocs-callouts,mkdocs-callouts,['plugin'],markdown,{},1449.0,1449.0,3.0,https://pypi.org/project/mkdocs-callouts,61029.0,61029.0,,10,True,1.0,,,,,,,,,,,,,,,,,,,,
13,exclude,exclude,,apenwarr/mkdocs-exclude,mkdocs-exclude,['plugin'],nav-pages,{},3194.0,3194.0,,https://pypi.org/project/mkdocs-exclude,223970.0,223970.0,,10,True,1.0,,,,,,,,,,,,,,,,,,,,
14,awesome-nav,awesome-nav,,lukasgeiter/mkdocs-awesome-nav,mkdocs-awesome-nav,['plugin'],nav-pages,{},671.0,671.0,12.0,https://pypi.org/project/mkdocs-awesome-nav,1022720.0,1022720.0,,10,True,1.0,,,,,,,,,,,,,,,,,,,,
15,Windmill,,,gristlabs/mkdocs-windmill,mkdocs-windmill,['theme'],theming,{},367.0,367.0,8.0,https://pypi.org/project/mkdocs-windmill,7820.0,7820.0,,9,True,1.0,,,windmill,MIT,,,,,,,,,,,,,,,,
16,MkDocsOAD,"['neoteroi.mkdocsoad', 'neoteroi.contribs']",,Neoteroi/mkdocs-plugins,neoteroi-mkdocs,"['plugin', 'markdown']",api-docs,{},529.0,529.0,13.0,https://pypi.org/project/neoteroi-mkdocs,137527.0,137527.0,Plugin for MkDocs to generate human readable documentation from OpenAPI Documentation Version 3 (also known as Swagger..,9,True,1.0,"['neoteroi.cards', 'neoteroi.timeline', 'neoteroi.projects', 'neoteroi.spantable']",,,,,,,,,,,,,,,,,,,
17,macros,macros,,fralau/mkdocs_macros_plugin,mkdocs-macros-plugin,['plugin'],code-exec-templating,{},7084.0,7084.0,36.0,https://pypi.org/project/mkdocs-macros-plugin,,,,9,True,2.0,,,,MIT,,,,,,,,,,,,,,,,
18,MkDocs Swagger UI Tag,swagger-ui-tag,,blueswen/mkdocs-swagger-ui-tag,mkdocs-swagger-ui-tag,['plugin'],integrations,{},446.0,446.0,10.0,https://pypi.org/project/mkdocs-swagger-ui-tag,266527.0,266527.0,,9,True,1.0,,,,,,,,,,,,,,,,,,,,
19,mkdocs-llmstxt,llmstxt,,pawamoy/mkdocs-llmstxt,mkdocs-llmstxt,['plugin'],integrations,{},617.0,617.0,5.0,https://pypi.org/project/mkdocs-llmstxt,397229.0,397229.0,,9,True,1.0,,,,,,,,,,,,,,,,,,,,
20,autolinks,autolinks,,zachhannum/mkdocs-autolinks-plugin,mkdocs-autolinks-plugin,['plugin'],links-refs,{},729.0,729.0,10.0,https://pypi.org/project/mkdocs-autolinks-plugin,63082.0,63082.0,,9,True,1.0,,,,,,,,,,,,,,,,,,,,
21,encryptcontent,encryptcontent,,unverbuggt/mkdocs-encryptcontent-plugin,mkdocs-encryptcontent-plugin,['plugin'],nav-pages,{},1274.0,1274.0,7.0,https://pypi.org/project/mkdocs-encryptcontent-plugin,20753.0,20753.0,,9,True,2.0,,,,,,,,,,,,,,,,,,,,
22,pdf-export,pdf-export,,zhaoterryy/mkdocs-pdf-export-plugin,mkdocs-pdf-export-plugin,['plugin'],site-conversion,{},1530.0,1530.0,12.0,https://pypi.org/project/mkdocs-pdf-export-plugin,40144.0,40144.0,,9,True,1.0,,,,,,,,,,,,,,,,,,,,
23,mkdocs-multirepo-plugin,multirepo,,jdoiro3/mkdocs-multirepo-plugin,mkdocs-multirepo-plugin,['plugin'],site-management,{},260.0,260.0,17.0,https://pypi.org/project/mkdocs-multirepo-plugin,72252.0,72252.0,,9,True,1.0,,,,,,,,,,,,,,,,,,,,
24,MkApi,mkapi,,daizutabi/mkapi,mkapi,['plugin'],api-docs,{},268.0,268.0,6.0,https://pypi.org/project/mkapi,9103.0,9103.0,,8,True,2.0,,,,,,,,,,,,,,,,,,,,
25,mkdoxy,mkdoxy,,JakubAndrysek/MkDoxy,mkdoxy,['plugin'],api-docs,{},73.0,73.0,18.0,https://pypi.org/project/mkdoxy,64630.0,64630.0,,8,True,2.0,,,,,,,,,,,,,,,,,,,,
26,mkdocs-diagrams,diagrams,,zoni/mkdocs-diagrams,mkdocs-diagrams,['plugin'],charts,{},86.0,86.0,,https://pypi.org/project/mkdocs-diagrams,63340.0,63340.0,,8,True,1.0,,,,,,,,,,,,,,,,,,,,
27,meta-manager,meta-manager,,timmeinerzhagen/mkdocs-meta-manager,mkdocs-meta-manager,['plugin'],code-exec-templating,{},22.0,22.0,3.0,https://pypi.org/project/mkdocs-meta-manager,972941.0,972941.0,,8,True,2.0,,,,,,,,,,,,,,,,,,,,
28,mkdocs-marimo,marimo,,marimo-team/mkdocs-marimo,mkdocs-marimo,['plugin'],code-exec-templating,{},14.0,14.0,8.0,https://pypi.org/project/mkdocs-marimo,10892.0,10892.0,,8,True,2.0,,,,Apache-2,,,,,,,,,,,,,,,,
29,git-committers,git-committers,,byrnereese/mkdocs-git-committers-plugin,mkdocs-git-committers-plugin,['plugin'],git-info,{},354.0,354.0,7.0,https://pypi.org/project/mkdocs-git-committers-plugin,18991.0,18991.0,,8,True,1.0,,,,,['mkdocs_plugin'],,,,,,,,,,,,,,,
30,mkdocs-coverage,coverage,,pawamoy/mkdocs-coverage,mkdocs-coverage,['plugin'],integrations,{},363.0,363.0,2.0,https://pypi.org/project/mkdocs-coverage,63546.0,63546.0,,8,True,2.0,,-10.0,,,,,,,,,,,,,,,,,,
31,PyMdown Extensions,,,facelessuser/pymdown-extensions,pymdown-extensions,['markdown'],markdown,{},61934.0,61934.0,56.0,https://pypi.org/project/pymdown-extensions,,,,8,True,1.0,"['pymdownx.arithmatex', 'pymdownx.b64', 'pymdownx.betterem', 'pymdownx.blocks.admonition', 'pymdownx.blocks.definition', 'pymdownx.blocks.details', 'pymdownx.blocks.html', 'pymdownx.blocks.tab', 'pymdownx.caret', 'pymdownx.critic', 'pymdownx.details', 'pymdownx.emoji', 'pymdownx.escapeall', 'pymdownx.extra', 'pymdownx.highlight', 'pymdownx.inlinehilite', 'pymdownx.keys', 'pymdownx.magiclink', 'pymdownx.mark', 'pymdownx.pathconverter', 'pymdownx.progressbar', 'pymdownx.saneheaders', 'pymdownx.smartsymbols', 'pymdownx.snippets', 'pymdownx.striphtml', 'pymdownx.superfences', 'pymdownx.tabbed', 'pymdownx.tasklist', 'pymdownx.tilde']",,,,,,,,,,,,,,,,,,,
32,mkdocs-spellcheck,spellcheck,,pawamoy/mkdocs-spellcheck,mkdocs-spellcheck,['plugin'],quality,{},88.0,88.0,7.0,https://pypi.org/project/mkdocs-spellcheck,83145.0,83145.0,,8,True,1.0,,,,,,,,,,,,,,,,,,,,
33,codeinclude,codeinclude,,rnorth/mkdocs-codeinclude-plugin,mkdocs-codeinclude-plugin,['plugin'],snippets-include,{},197.0,197.0,5.0,https://pypi.org/project/mkdocs-codeinclude-plugin,56219.0,56219.0,A plugin to include code snippets into mkdocs pages.,8,True,1.0,,,,,,,,,,,,,,,,,,,,
34,markdown-katex,,,,markdown-katex,['markdown'],markdown,https://gitlab.com/mbarkhau/markdown-katex,,,,https://pypi.org/project/markdown-katex,20921.0,20921.0,KaTeX extension for Python Markdown.,7,True,2.0,markdown_katex,,,,,mbarkhau/markdown-katex,https://gitlab.com/mbarkhau/markdown-katex,2019-05-14 07:53:31,4.0,4.0,13.0,11.0,0.0,2019-05-14 07:53:31.000000,,,,,,
35,MkDocs Graphviz,,,,mkdocs-graphviz,['markdown'],charts,https://gitlab.com/rod2ik/mkdocs-graphviz,,,,https://pypi.org/project/mkdocs-graphviz,22376.0,22376.0,"A mkdocs Extension that automatically renders Graphviz images, in SVG or PNG format, within your markdown file.",7,True,1.0,mkdocs_graphviz,1.0,,,,rod2ik/mkdocs-graphviz,https://gitlab.com/rod2ik/mkdocs-graphviz,2021-05-03 14:28:32,1.0,6.0,5.0,6.0,3.0,2021-05-03 14:28:32.000000,,,,,,
36,mkdocs_puml,plantuml,,MikhailKravets/mkdocs_puml,mkdocs-puml,['plugin'],charts,{},81.0,81.0,10.0,https://pypi.org/project/mkdocs-puml,48097.0,48097.0,,7,True,1.0,,,,,,,,,,,,,,,,,,,,
37,document-dates,document-dates,,jaywhj/mkdocs-document-dates,mkdocs-document-dates,['plugin'],git-info,{},66.0,66.0,4.0,https://pypi.org/project/mkdocs-document-dates,19475.0,19475.0,,7,True,2.0,,,,,,,,,,,,,,,,,,,,
38,git-revision-date-localized,git-revision-date-localized,,timvink/mkdocs-git-revision-date-localized-plugin,mkdocs-git-revision-date-localized-plugin,['plugin'],git-info,{},12792.0,12792.0,43.0,https://pypi.org/project/mkdocs-git-revision-date-localized-plugin,,,,7,True,2.0,,,,,,,,,,,,,,,,,,,,
39,minify-html,minify_html,,monosans/mkdocs-minify-html-plugin,mkdocs-minify-html-plugin,['plugin'],html-css,{},101.0,101.0,4.0,https://pypi.org/project/mkdocs-minify-html-plugin,48002.0,48002.0,,7,True,1.0,,,,,,,,,,,,,,,,,,,,
40,mkdocs-extra-sass-plugin,extra-sass,,orzih/mkdocs-extra-sass-plugin,mkdocs-extra-sass-plugin,['plugin'],html-css,{},94.0,94.0,,https://pypi.org/project/mkdocs-extra-sass-plugin,8724.0,8724.0,,7,True,1.0,,,,,,,,,,,,,,,,,,,,
41,ezlinks,ezlinks,,orbikm/mkdocs-ezlinks-plugin,mkdocs-ezlinks-plugin,['plugin'],links-refs,{},177.0,177.0,,https://pypi.org/project/mkdocs-ezlinks-plugin,16320.0,16320.0,,7,True,1.0,,,,,,,,,,,,,,,,,,,,
42,mkdocs-nav-weight,mkdocs-nav-weight,,shu307/mkdocs-nav-weight,mkdocs-nav-weight,['plugin'],nav-pages,{},134.0,134.0,4.0,https://pypi.org/project/mkdocs-nav-weight,43864.0,43864.0,,7,True,2.0,,,,,,,,,,,,,,,,,,,,
43,mkdocs-typer2,mkdocs-typer2,,syn54x/mkdocs-typer2,mkdocs-typer2,['plugin'],api-docs,{},50.0,50.0,2.0,https://pypi.org/project/mkdocs-typer2,15275.0,15275.0,,6,True,2.0,,,,,,,,,,,,,,,,,,,,
44,mermaid2,mermaid2,,fralau/mkdocs-mermaid2-plugin,mkdocs-mermaid2-plugin,['plugin'],charts,{},3934.0,3934.0,17.0,https://pypi.org/project/mkdocs-mermaid2-plugin,,,,6,True,2.0,,,,,,,,,,,,,,,,,,,,
45,MkDocs GLightbox,glightbox,,blueswen/mkdocs-glightbox,mkdocs-glightbox,['plugin'],charts,{},6343.0,6343.0,9.0,https://pypi.org/project/mkdocs-glightbox,,,,6,True,2.0,,,,,,,,,,,,,,,,,,,,
46,Lightgallery,,,g-provost/lightgallery-markdown,lightgallery,['markdown'],charts,{},109.0,109.0,6.0,https://pypi.org/project/lightgallery,3315.0,3315.0,,6,True,2.0,lightgallery,,,,,,,,,,,,,,,,,,,
47,Entangled,entangled,,entangled/mkdocs-plugin,mkdocs-entangled-plugin,['plugin'],code-exec-templating,{},14.0,14.0,,https://pypi.org/project/mkdocs-entangled-plugin,18974.0,18974.0,,6,True,2.0,,,,,,,,,,,,,,,,,,,,
48,Publisher for MkDocs - minifier,pub-minifier,,mkdocs-publisher/mkdocs-publisher,mkdocs-publisher,['plugin'],html-css,{},101.0,101.0,4.0,https://pypi.org/project/mkdocs-publisher,5974.0,5974.0,"Size optimization (minification) for HTML, CSS, JS, SVG, PNG and JPEG files.",6,True,2.0,,,,,,,,,,,,,,,,,,,,
49,Publisher for MkDocs - obsidian,pub-obsidian,,mkdocs-publisher/mkdocs-publisher,mkdocs-publisher,['plugin'],integrations,{},101.0,101.0,4.0,https://pypi.org/project/mkdocs-publisher,5974.0,5974.0,"Obsidian.md integration including with support for wiki links, callouts, backlinks etc.",6,True,3.0,,,,,,,,,,,,,,,,,,,,
50,mkdocs-redirects,redirects,,mkdocs/mkdocs-redirects,mkdocs-redirects,['plugin'],links-refs,{},7982.0,7982.0,18.0,https://pypi.org/project/mkdocs-redirects,,,,6,True,1.0,,,,,,,,,,,,,,,,,,,,
51,Mdx Truly Sane Lists,,,radude/mdx_truly_sane_lists,mdx-truly-sane-lists,['markdown'],markdown,{},,,4.0,https://pypi.org/project/mdx-truly-sane-lists,1324181.0,1324181.0,,6,True,2.0,mdx_truly_sane_lists,,,,,,,,,,,,,,,,,,,
52,YAML metadata,,,sivakov512/python-markdown-full-yaml-metadata,markdown-full-yaml-metadata,['markdown'],markdown,{},96.0,96.0,7.0,https://pypi.org/project/markdown-full-yaml-metadata,1983.0,1983.0,,6,True,2.0,full_yaml_metadata,,,,,,,,,,,,,,,,,,,
53,section-index,section-index,,oprypin/mkdocs-section-index,mkdocs-section-index,['plugin'],nav-pages,{},,,3.0,https://pypi.org/project/mkdocs-section-index,1582445.0,1582445.0,,6,True,2.0,,,,,,,,,,,,,,,,,,,,
54,mkdocs-pagetree-plugin,pagetree,,tombreit/mkdocs-pagetree-plugin,mkdocs-pagetree-plugin,['plugin'],nav-pages,{},35.0,35.0,3.0,https://pypi.org/project/mkdocs-pagetree-plugin,23868.0,23868.0,,6,True,2.0,,,,,,,,,,,,,,,,,,,,
55,Publisher for MkDocs - meta,pub-meta,,mkdocs-publisher/mkdocs-publisher,mkdocs-publisher,['plugin'],nav-pages,{},101.0,101.0,4.0,https://pypi.org/project/mkdocs-publisher,5974.0,5974.0,Automatic navigation based on files metadata with URL name and publication status control.,6,True,2.0,,,,,,,,,,,,,,,,,,,,
56,mkpdfs,mkpdfs,,comwes/mkpdfs-mkdocs-plugin,mkpdfs-mkdocs,['plugin'],site-conversion,{},66.0,66.0,9.0,https://pypi.org/project/mkpdfs-mkdocs,1333.0,1333.0,,6,True,2.0,,-10.0,,,,,,,,,,,,,,,,,,
57,mike,mike,,jimporter/mike,mike,['plugin'],site-management,{},6819.0,6819.0,9.0,https://pypi.org/project/mike,,,,6,True,1.0,,,,,,,,,,,,,,,,,,,,
58,Publisher for MkDocs - debugger,pub-debugger,,mkdocs-publisher/mkdocs-publisher,mkdocs-publisher,['plugin'],site-management,{},101.0,101.0,4.0,https://pypi.org/project/mkdocs-publisher,5974.0,5974.0,Advanced console and file logger from build and serve process.,6,True,1.0,,,,,,,,,,,,,,,,,,,,
