,name,mkdocs_plugin,github_id,pypi_id,labels,category,homepage,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,description,projectrank,show,projectrank_placing,mkdocs_theme,extra_dependencies,trending,license,markdown_extension,gitlab_id,gitlab_url,created_at,fork_count,open_issue_count,closed_issue_count,star_count,release_count,updated_at,shadowed,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,pypi,bitbucket_id
0,techdocs-core,techdocs-core,backstage/mkdocs-techdocs-core,mkdocs-techdocs-core,['plugin'],site-management,{},224.0,224.0,51.0,https://pypi.org/project/mkdocs-techdocs-core,784493.0,784493.0,,11,True,1.0,,,,,,,,,,,,,,,,,,,,,
1,Material for MkDocs,"['material/blog', 'material/group', 'material/offline', 'material/search', 'material/social', 'material/tags']",squidfunk/mkdocs-material,mkdocs-material,"['theme', 'plugin']",theming,{},91308.0,91308.0,331.0,https://pypi.org/project/mkdocs-material,,,,10,True,1.0,material,{'plugins.social': 'mkdocs-material[imaging]'},,,,,,,,,,,,,,,,,,,
2,MkDocs Video,mkdocs-video,soulless-viewer/mkdocs-video,mkdocs-video,['plugin'],charts,{},1166.0,1166.0,5.0,https://pypi.org/project/mkdocs-video,154929.0,154929.0,,10,True,1.0,,,,,,,,,,,,,,,,,,,,,
3,markdownextradata,markdownextradata,rosscdh/mkdocs-markdownextradata-plugin,mkdocs-markdownextradata-plugin,['plugin'],code-exec-templating,{},1668.0,1668.0,12.0,https://pypi.org/project/mkdocs-markdownextradata-plugin,111334.0,111334.0,,10,True,1.0,,,-10.0,,,,,,,,,,,,,,,,,,
4,macros,macros,fralau/mkdocs_macros_plugin,mkdocs-macros-plugin,['plugin'],code-exec-templating,{},7104.0,7104.0,36.0,https://pypi.org/project/mkdocs-macros-plugin,,,,9,True,1.0,,,,MIT,,,,,,,,,,,,,,,,,
5,mkdocstrings,mkdocstrings,mkdocstrings/mkdocstrings,mkdocstrings,['plugin'],api-docs,{},29507.0,29507.0,55.0,https://pypi.org/project/mkdocstrings,,,,8,True,1.0,,"{'plugins.mkdocstrings.handlers.crystal': 'mkdocstrings-crystal', 'plugins.mkdocstrings.handlers.python': 'mkdocstrings-python'}",,,,,,,,,,,,,,,,,,,
6,kroki,kroki,AVATEAM-IT-SYSTEMHAUS/mkdocs-kroki-plugin,mkdocs-kroki-plugin,['plugin'],charts,{},93.0,93.0,19.0,https://pypi.org/project/mkdocs-kroki-plugin,80602.0,80602.0,,8,True,1.0,,,,,,,,,,,,,,,,,,,,,
7,mkdocs-coverage,coverage,pawamoy/mkdocs-coverage,mkdocs-coverage,['plugin'],integrations,{},365.0,365.0,2.0,https://pypi.org/project/mkdocs-coverage,66856.0,66856.0,,8,True,1.0,,,-10.0,,,,,,,,,,,,,,,,,,
8,PyMdown Extensions,,facelessuser/pymdown-extensions,pymdown-extensions,['markdown'],markdown,{},62221.0,62221.0,56.0,https://pypi.org/project/pymdown-extensions,,,,8,True,1.0,,,,,"['pymdownx.arithmatex', 'pymdownx.b64', 'pymdownx.betterem', 'pymdownx.blocks.admonition', 'pymdownx.blocks.definition', 'pymdownx.blocks.details', 'pymdownx.blocks.html', 'pymdownx.blocks.tab', 'pymdownx.caret', 'pymdownx.critic', 'pymdownx.details', 'pymdownx.emoji', 'pymdownx.escapeall', 'pymdownx.extra', 'pymdownx.highlight', 'pymdownx.inlinehilite', 'pymdownx.keys', 'pymdownx.magiclink', 'pymdownx.mark', 'pymdownx.pathconverter', 'pymdownx.progressbar', 'pymdownx.saneheaders', 'pymdownx.smartsymbols', 'pymdownx.snippets', 'pymdownx.striphtml', 'pymdownx.superfences', 'pymdownx.tabbed', 'pymdownx.tasklist', 'pymdownx.tilde']",,,,,,,,,,,,,,,,
9,Cinder,,chrissimpkins/cinder,mkdocs-cinder,['theme'],theming,{},710.0,710.0,23.0,https://pypi.org/project/mkdocs-cinder,,,,7,True,1.0,cinder,,,MIT,,,,,,,,,,,,,,,,,
10,Dracula,,dracula/mkdocs,mkdocs-dracula-theme,['theme'],theming,{},155.0,155.0,5.0,https://pypi.org/project/mkdocs-dracula-theme,9858.0,9858.0,,7,True,1.0,dracula,,-10.0,,,,,,,,,,,,,,,,,,
11,build-plantuml,build_plantuml,quantorconsulting/mkdocs_build_plantuml,mkdocs-build-plantuml-plugin,['plugin'],charts,{},147.0,147.0,14.0,https://pypi.org/project/mkdocs-build-plantuml-plugin,28360.0,28360.0,,7,True,1.0,,,,,,,,,,,,,,,,,,,,,
