,name,mkdocs_theme,mkdocs_plugin,extra_dependencies,github_id,pypi_id,labels,category,homepage,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,description,projectrank,show,projectrank_placing,license,markdown_extension,trending,gitlab_id,gitlab_url,created_at,fork_count,open_issue_count,closed_issue_count,star_count,release_count,updated_at,shadowed,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,pypi,bitbucket_id
0,Material for MkDocs,material,"['material/blog', 'material/group', 'material/offline', 'material/search', 'material/social', 'material/tags']",{'plugins.social': 'mkdocs-material[imaging]'},squidfunk/mkdocs-material,mkdocs-material,"['theme', 'plugin']",theming,{},91769.0,91769.0,332.0,https://pypi.org/project/mkdocs-material,17661254.0,17661254.0,,17,True,1.0,,,,,,,,,,,,,,,,,,,
1,mkdocstrings,,mkdocstrings,"{'plugins.mkdocstrings.handlers.crystal': 'mkdocstrings-crystal', 'plugins.mkdocstrings.handlers.python': 'mkdocstrings-python'}",mkdocstrings/mkdocstrings,mkdocstrings,['plugin'],api-docs,{},29703.0,29703.0,55.0,https://pypi.org/project/mkdocstrings,8318111.0,8318111.0,,15,True,1.0,,,,,,,,,,,,,,,,,,,
2,macros,,macros,,fralau/mkdocs_macros_plugin,mkdocs-macros-plugin,['plugin'],code-exec-templating,{},7125.0,7125.0,36.0,https://pypi.org/project/mkdocs-macros-plugin,2361344.0,2361344.0,,15,True,1.0,MIT,,,,,,,,,,,,,,,,,,
3,MkDocs GLightbox,,glightbox,,blueswen/mkdocs-glightbox,mkdocs-glightbox,['plugin'],charts,{},6401.0,6401.0,9.0,https://pypi.org/project/mkdocs-glightbox,1421789.0,1421789.0,,12,True,1.0,,,,,,,,,,,,,,,,,,,
4,gen-files,,gen-files,,oprypin/mkdocs-gen-files,mkdocs-gen-files,['plugin'],code-exec-templating,{},4714.0,4714.0,6.0,https://pypi.org/project/mkdocs-gen-files,1471458.0,1471458.0,,12,True,1.0,,,,,,,,,,,,,,,,,,,
5,minify,,minify,,byrnereese/mkdocs-minify-plugin,mkdocs-minify-plugin,['plugin'],html-css,{},12623.0,12623.0,14.0,https://pypi.org/project/mkdocs-minify-plugin,1048672.0,1048672.0,,12,True,1.0,,,,,,,,,,,,,,,,,,,
6,mike,,mike,,jimporter/mike,mike,['plugin'],site-management,{},6910.0,6910.0,9.0,https://pypi.org/project/mike,1642861.0,1642861.0,,12,True,1.0,,,,,,,,,,,,,,,,,,,
7,include-markdown,,include-markdown,,mondeja/mkdocs-include-markdown-plugin,mkdocs-include-markdown-plugin,['plugin'],snippets-include,{},4148.0,4148.0,18.0,https://pypi.org/project/mkdocs-include-markdown-plugin,720101.0,720101.0,,12,True,1.0,,,,,,,,,,,,,,,,,,,
8,Math extension,,,,mitya57/python-markdown-math,python-markdown-math,['markdown'],markdown,{},4065.0,4065.0,8.0,https://pypi.org/project/python-markdown-math,421069.0,421069.0,,11,True,1.0,,mdx_math,-10.0,,,,,,,,,,,,,,,,
9,monorepo,,monorepo,,backstage/mkdocs-monorepo-plugin,mkdocs-monorepo-plugin,['plugin'],site-management,{},690.0,690.0,32.0,https://pypi.org/project/mkdocs-monorepo-plugin,1958118.0,1958118.0,,11,True,1.0,,,,,,,,,,,,,,,,,,,
