,name,mkdocs_theme,mkdocs_plugin,extra_dependencies,github_id,pypi_id,labels,category,homepage,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,description,projectrank,show,projectrank_placing,markdown_extension,license,trending,gitlab_id,gitlab_url,created_at,fork_count,open_issue_count,closed_issue_count,star_count,release_count,updated_at,shadowed,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,pypi,bitbucket_id
0,Material for MkDocs,material,"['material/blog', 'material/group', 'material/offline', 'material/search', 'material/social', 'material/tags']",{'plugins.social': 'mkdocs-material[imaging]'},squidfunk/mkdocs-material,mkdocs-material,"['theme', 'plugin']",theming,{},92676.0,92676.0,332.0,https://pypi.org/project/mkdocs-material,17262004.0,17262004.0,,17,True,1.0,,,,,,,,,,,,,,,,,,,
1,PyMdown Extensions,,,,facelessuser/pymdown-extensions,pymdown-extensions,['markdown'],markdown,{},63168.0,63168.0,56.0,https://pypi.org/project/pymdown-extensions,25923141.0,25923141.0,,16,True,1.0,"['pymdownx.arithmatex', 'pymdownx.b64', 'pymdownx.betterem', 'pymdownx.blocks.admonition', 'pymdownx.blocks.definition', 'pymdownx.blocks.details', 'pymdownx.blocks.html', 'pymdownx.blocks.tab', 'pymdownx.caret', 'pymdownx.critic', 'pymdownx.details', 'pymdownx.emoji', 'pymdownx.escapeall', 'pymdownx.extra', 'pymdownx.highlight', 'pymdownx.inlinehilite', 'pymdownx.keys', 'pymdownx.magiclink', 'pymdownx.mark', 'pymdownx.pathconverter', 'pymdownx.progressbar', 'pymdownx.saneheaders', 'pymdownx.smartsymbols', 'pymdownx.snippets', 'pymdownx.striphtml', 'pymdownx.superfences', 'pymdownx.tabbed', 'pymdownx.tasklist', 'pymdownx.tilde']",,,,,,,,,,,,,,,,,,
2,mkdocstrings,,mkdocstrings,"{'plugins.mkdocstrings.handlers.crystal': 'mkdocstrings-crystal', 'plugins.mkdocstrings.handlers.python': 'mkdocstrings-python'}",mkdocstrings/mkdocstrings,mkdocstrings,['plugin'],api-docs,{},30088.0,30088.0,55.0,https://pypi.org/project/mkdocstrings,8143124.0,8143124.0,,15,True,1.0,,,,,,,,,,,,,,,,,,,
3,macros,,macros,,fralau/mkdocs_macros_plugin,mkdocs-macros-plugin,['plugin'],code-exec-templating,{},7159.0,7159.0,36.0,https://pypi.org/project/mkdocs-macros-plugin,2311846.0,2311846.0,,15,True,1.0,,MIT,,,,,,,,,,,,,,,,,
4,plantuml-markdown,,,,mikitex70/plantuml-markdown,plantuml-markdown,['markdown'],charts,{},1834.0,1834.0,30.0,https://pypi.org/project/plantuml-markdown,942219.0,942219.0,,12,True,1.0,plantuml_markdown,,,,,,,,,,,,,,,,,,
5,gen-files,,gen-files,,oprypin/mkdocs-gen-files,mkdocs-gen-files,['plugin'],code-exec-templating,{},4754.0,4754.0,6.0,https://pypi.org/project/mkdocs-gen-files,1349905.0,1349905.0,,12,True,1.0,,,,,,,,,,,,,,,,,,,
6,mike,,mike,,jimporter/mike,mike,['plugin'],site-management,{},6992.0,6992.0,9.0,https://pypi.org/project/mike,1623090.0,1623090.0,,12,True,1.0,,,,,,,,,,,,,,,,,,,
7,mkdocs-click,,,,mkdocs/mkdocs-click,mkdocs-click,['markdown'],api-docs,{},1293.0,1293.0,16.0,https://pypi.org/project/mkdocs-click,1054814.0,1054814.0,,11,True,1.0,mkdocs-click,,-10.0,,,,,,,,,,,,,,,,
8,markdown-exec,,markdown-exec,{'plugins.markdown-exec.ansi': 'markdown-exec[ansi]'},pawamoy/markdown-exec,markdown-exec,['plugin'],code-exec-templating,{},884.0,884.0,6.0,https://pypi.org/project/markdown-exec,1168657.0,1168657.0,,11,True,2.0,,,,,,,,,,,,,,,,,,,
9,Math extension,,,,mitya57/python-markdown-math,python-markdown-math,['markdown'],markdown,{},4076.0,4076.0,8.0,https://pypi.org/project/python-markdown-math,429216.0,429216.0,,11,True,1.0,mdx_math,,-10.0,,,,,,,,,,,,,,,,
10,Markdown-Include,,,,cmacmackin/markdown-include,markdown-include,['markdown'],snippets-include,{},8065.0,8065.0,12.0,https://pypi.org/project/markdown-include,255314.0,255314.0,,11,True,1.0,markdown_include.include,,-10.0,,,,,,,,,,,,,,,,
11,MkDocs Video,,mkdocs-video,,soulless-viewer/mkdocs-video,mkdocs-video,['plugin'],charts,{},1169.0,1169.0,5.0,https://pypi.org/project/mkdocs-video,136822.0,136822.0,,10,True,1.0,,,,,,,,,,,,,,,,,,,
12,git-revision-date,,git-revision-date,,zhaoterryy/mkdocs-git-revision-date-plugin,mkdocs-git-revision-date-plugin,['plugin'],git-info,{},3047.0,3047.0,7.0,https://pypi.org/project/mkdocs-git-revision-date-plugin,142492.0,142492.0,,10,True,1.0,,,-10.0,,,,,,,,,,,,,,,,
13,git-committers-2,,git-committers,,ojacques/mkdocs-git-committers-plugin-2,mkdocs-git-committers-plugin-2,['plugin'],git-info,{},1649.0,1649.0,19.0,https://pypi.org/project/mkdocs-git-committers-plugin-2,132314.0,132314.0,An MkDocs plugin to create a list of contributors on the page.,10,True,1.0,,,,,,,,,,,,,,,,,,,
14,mkdocs-callouts,,callouts,,sondregronas/mkdocs-callouts,mkdocs-callouts,['plugin'],markdown,{},1451.0,1451.0,3.0,https://pypi.org/project/mkdocs-callouts,61244.0,61244.0,,10,True,1.0,,,,,,,,,,,,,,,,,,,
15,exclude,,exclude,,apenwarr/mkdocs-exclude,mkdocs-exclude,['plugin'],nav-pages,{},3219.0,3219.0,,https://pypi.org/project/mkdocs-exclude,238524.0,238524.0,,10,True,1.0,,,,,,,,,,,,,,,,,,,
16,awesome-nav,,awesome-nav,,lukasgeiter/mkdocs-awesome-nav,mkdocs-awesome-nav,['plugin'],nav-pages,{},707.0,707.0,12.0,https://pypi.org/project/mkdocs-awesome-nav,1147833.0,1147833.0,,10,True,1.0,,,,,,,,,,,,,,,,,,,
17,mkdocs-simple-hooks,,mkdocs-simple-hooks,,aklajnert/mkdocs-simple-hooks,mkdocs-simple-hooks,['plugin'],nav-pages,{},2340.0,2340.0,6.0,https://pypi.org/project/mkdocs-simple-hooks,75198.0,75198.0,,10,True,1.0,,,,,,,,,,,,,,,,,,,
18,mkdocs-with-pdf,,with-pdf,,orzih/mkdocs-with-pdf,mkdocs-with-pdf,['plugin'],site-conversion,{},931.0,931.0,6.0,https://pypi.org/project/mkdocs-with-pdf,295738.0,295738.0,,10,True,1.0,,,,,,,,,,,,,,,,,,,
19,Windmill,windmill,,,gristlabs/mkdocs-windmill,mkdocs-windmill,['theme'],theming,{},367.0,367.0,8.0,https://pypi.org/project/mkdocs-windmill,7454.0,7454.0,,9,True,1.0,,MIT,,,,,,,,,,,,,,,,,
20,panzoom,,panzoom,,PLAYG0N/mkdocs-panzoom,mkdocs-panzoom-plugin,['plugin'],charts,{},81.0,81.0,7.0,https://pypi.org/project/mkdocs-panzoom-plugin,1036987.0,1036987.0,,9,True,1.0,,,,,,,,,,,,,,,,,,,
21,MkDocs Swagger UI Tag,,swagger-ui-tag,,blueswen/mkdocs-swagger-ui-tag,mkdocs-swagger-ui-tag,['plugin'],integrations,{},452.0,452.0,10.0,https://pypi.org/project/mkdocs-swagger-ui-tag,293170.0,293170.0,,9,True,1.0,,,,,,,,,,,,,,,,,,,
22,mkdocs-llmstxt,,llmstxt,,pawamoy/mkdocs-llmstxt,mkdocs-llmstxt,['plugin'],integrations,{},673.0,673.0,5.0,https://pypi.org/project/mkdocs-llmstxt,415639.0,415639.0,,9,True,1.0,,,,,,,,,,,,,,,,,,,
23,htmlproofer,,htmlproofer,,manuzhang/mkdocs-htmlproofer-plugin,mkdocs-htmlproofer-plugin,['plugin'],links-refs,{},747.0,747.0,16.0,https://pypi.org/project/mkdocs-htmlproofer-plugin,94852.0,94852.0,,9,True,1.0,,,,,,,,,,,,,,,,,,,
24,link-marker,,link-marker,,timmeinerzhagen/mkdocs-link-marker,mkdocs-link-marker,['plugin'],links-refs,{},54.0,54.0,3.0,https://pypi.org/project/mkdocs-link-marker,874858.0,874858.0,,9,True,1.0,,,,,,,,,,,,,,,,,,,
25,encryptcontent,,encryptcontent,,unverbuggt/mkdocs-encryptcontent-plugin,mkdocs-encryptcontent-plugin,['plugin'],nav-pages,{},1275.0,1275.0,7.0,https://pypi.org/project/mkdocs-encryptcontent-plugin,27948.0,27948.0,,9,True,2.0,,,,,,,,,,,,,,,,,,,
26,pdf-export,,pdf-export,,zhaoterryy/mkdocs-pdf-export-plugin,mkdocs-pdf-export-plugin,['plugin'],site-conversion,{},1536.0,1536.0,12.0,https://pypi.org/project/mkdocs-pdf-export-plugin,36081.0,36081.0,,9,True,1.0,,,,,,,,,,,,,,,,,,,
27,mkdocs-multirepo-plugin,,multirepo,,jdoiro3/mkdocs-multirepo-plugin,mkdocs-multirepo-plugin,['plugin'],site-management,{},263.0,263.0,17.0,https://pypi.org/project/mkdocs-multirepo-plugin,66759.0,66759.0,,9,True,1.0,,,,,,,,,,,,,,,,,,,
28,same-dir,,same-dir,,oprypin/mkdocs-same-dir,mkdocs-same-dir,['plugin'],site-management,{},572.0,572.0,3.0,https://pypi.org/project/mkdocs-same-dir,138256.0,138256.0,,9,True,1.0,,,,,,,,,,,,,,,,,,,
29,mkdoxy,,mkdoxy,,JakubAndrysek/MkDoxy,mkdoxy,['plugin'],api-docs,{},75.0,75.0,18.0,https://pypi.org/project/mkdoxy,62641.0,62641.0,,8,True,1.0,,,,,,,,,,,,,,,,,,,
30,mkdocstrings-python,,,,mkdocstrings/python,mkdocstrings-python,,api-docs,{},,,31.0,https://pypi.org/project/mkdocstrings-python,11946739.0,11946739.0,,8,True,1.0,,,,,,,,,,,,,,,,,,,
31,mkdocs-api-autonav,,api-autonav,,tlambert03/mkdocs-api-autonav,mkdocs-api-autonav,['plugin'],api-docs,{},318.0,318.0,2.0,https://pypi.org/project/mkdocs-api-autonav,124459.0,124459.0,,8,True,1.0,,,,,,,,,,,,,,,,,,,
32,meta-manager,,meta-manager,,timmeinerzhagen/mkdocs-meta-manager,mkdocs-meta-manager,['plugin'],code-exec-templating,{},22.0,22.0,3.0,https://pypi.org/project/mkdocs-meta-manager,884788.0,884788.0,,8,True,2.0,,,,,,,,,,,,,,,,,,,
33,mkdocs-marimo,,marimo,,marimo-team/mkdocs-marimo,mkdocs-marimo,['plugin'],code-exec-templating,{},14.0,14.0,8.0,https://pypi.org/project/mkdocs-marimo,8124.0,8124.0,,8,True,2.0,,Apache-2,,,,,,,,,,,,,,,,,
34,autolinks,,autolinks,,zachhannum/mkdocs-autolinks-plugin,mkdocs-autolinks-plugin,['plugin'],links-refs,{},736.0,736.0,10.0,https://pypi.org/project/mkdocs-autolinks-plugin,56119.0,56119.0,,8,True,2.0,,,,,,,,,,,,,,,,,,,
35,mkdocs-open-in-new-tab,,open-in-new-tab,,JakubAndrysek/mkdocs-open-in-new-tab,mkdocs-open-in-new-tab,['plugin'],links-refs,{},734.0,734.0,2.0,https://pypi.org/project/mkdocs-open-in-new-tab,175147.0,175147.0,,8,True,2.0,,,,,,,,,,,,,,,,,,,
36,mkdocs-spellcheck,,spellcheck,,pawamoy/mkdocs-spellcheck,mkdocs-spellcheck,['plugin'],quality,{},89.0,89.0,7.0,https://pypi.org/project/mkdocs-spellcheck,100251.0,100251.0,,8,True,1.0,,,,,,,,,,,,,,,,,,,
37,codeinclude,,codeinclude,,rnorth/mkdocs-codeinclude-plugin,mkdocs-codeinclude-plugin,['plugin'],snippets-include,{},202.0,202.0,5.0,https://pypi.org/project/mkdocs-codeinclude-plugin,51224.0,51224.0,A plugin to include code snippets into mkdocs pages.,8,True,2.0,,,,,,,,,,,,,,,,,,,
38,markdown-katex,,,,,markdown-katex,['markdown'],markdown,https://gitlab.com/mbarkhau/markdown-katex,,,,https://pypi.org/project/markdown-katex,19525.0,19525.0,KaTeX extension for Python Markdown.,7,True,2.0,markdown_katex,,,mbarkhau/markdown-katex,https://gitlab.com/mbarkhau/markdown-katex,2019-05-14 07:53:31,4.0,4.0,13.0,11.0,0.0,2019-05-14 07:53:31.000000,,,,,,,
39,MkDocs Graphviz,,,,,mkdocs-graphviz,['markdown'],charts,https://gitlab.com/rod2ik/mkdocs-graphviz,,,,https://pypi.org/project/mkdocs-graphviz,14008.0,14008.0,"A mkdocs Extension that automatically renders Graphviz images, in SVG or PNG format, within your markdown file.",7,True,1.0,mkdocs_graphviz,,1.0,rod2ik/mkdocs-graphviz,https://gitlab.com/rod2ik/mkdocs-graphviz,2021-05-03 14:28:32,1.0,6.0,5.0,6.0,5.0,2021-05-03 14:28:32.000000,,,,,,,
40,Cinder,cinder,,,chrissimpkins/cinder,mkdocs-cinder,['theme'],theming,{},712.0,712.0,23.0,https://pypi.org/project/mkdocs-cinder,,,,7,True,1.0,,MIT,,,,,,,,,,,,,,,,,
41,Dracula,dracula,,,dracula/mkdocs,mkdocs-dracula-theme,['theme'],theming,{},155.0,155.0,5.0,https://pypi.org/project/mkdocs-dracula-theme,8514.0,8514.0,,7,True,1.0,,,-10.0,,,,,,,,,,,,,,,,
42,Blogs for MkDocs,,blog,,fmaida/mkdocs-blog-plugin,mkdocs-blog-plugin,['plugin'],blogging,{},226.0,226.0,,https://pypi.org/project/mkdocs-blog-plugin,4066.0,4066.0,,7,True,1.0,,,,,,,,,,,,,['mkdocs_plugin'],,,,,,
43,build-plantuml,,build_plantuml,,quantorconsulting/mkdocs_build_plantuml,mkdocs-build-plantuml-plugin,['plugin'],charts,{},147.0,147.0,14.0,https://pypi.org/project/mkdocs-build-plantuml-plugin,31455.0,31455.0,,7,True,1.0,,,,,,,,,,,,,,,,,,,
44,markdown-captions,,,,Evidlo/markdown_captions,markdown-captions,['markdown'],charts,{},197.0,197.0,2.0,https://pypi.org/project/markdown-captions,23494.0,23494.0,,7,True,1.0,markdown_captions,,,,,,,,,,,,,,,,,,
45,mkdocs-jupyter,,mkdocs-jupyter,,danielfrg/mkdocs-jupyter,mkdocs-jupyter,['plugin'],code-exec-templating,{},5378.0,5378.0,39.0,https://pypi.org/project/mkdocs-jupyter,,,,7,True,2.0,,,,,,,,,,,,,,,,,,,
46,git-revision-date-localized,,git-revision-date-localized,,timvink/mkdocs-git-revision-date-localized-plugin,mkdocs-git-revision-date-localized-plugin,['plugin'],git-info,{},12995.0,12995.0,43.0,https://pypi.org/project/mkdocs-git-revision-date-localized-plugin,,,,7,True,2.0,,,,,,,,,,,,,,,,,,,
47,minify-html,,minify_html,,monosans/mkdocs-minify-html-plugin,mkdocs-minify-html-plugin,['plugin'],html-css,{},102.0,102.0,4.0,https://pypi.org/project/mkdocs-minify-html-plugin,21160.0,21160.0,,7,True,1.0,,,,,,,,,,,,,,,,,,,
48,simple,,simple,,athackst/mkdocs-simple-plugin,mkdocs-simple-plugin,['plugin'],site-management,{},64.0,64.0,8.0,https://pypi.org/project/mkdocs-simple-plugin,43903.0,43903.0,,7,True,2.0,,,,,,,,,,,,,,,,,,,
49,mkdocs-versioning,,mkdocs-versioning,,zayd62/mkdocs-versioning,mkdocs-versioning,['plugin'],site-management,{},182.0,182.0,5.0,https://pypi.org/project/mkdocs-versioning,12819.0,12819.0,,7,True,2.0,,,,,,,,,,,,,,,,,,,
50,markdown-version-annotations,,,,glennmatthews/markdown-version-annotations,markdown-version-annotations,['markdown'],snippets-include,{},108.0,108.0,,https://pypi.org/project/markdown-version-annotations,17492.0,17492.0,,7,True,2.0,markdown_version_annotations,,,,,,,,,,,,,,,,,,
51,BOOTSTRAP386,bootstrap386,,,,mkdocs-bootstrap386,['theme'],theming,https://gitlab.com/lramage/mkdocs-bootstrap386,,,,https://pypi.org/project/mkdocs-bootstrap386,424.0,424.0,A vintage 1980s DOS inspired Twitter Bootstrap theme for MkDocs https://lramage.gitlab.io/mkdocs-bootstrap386.,6,True,2.0,,,,lramage/mkdocs-bootstrap386,https://gitlab.com/lramage/mkdocs-bootstrap386,2018-06-06 02:30:09,3.0,4.0,3.0,37.0,1.0,2018-06-06 02:30:09.000000,,,,,,,
52,Nature,nature,,,waylan/mkdocs-nature,mkdocs-nature,['theme'],theming,{},52.0,52.0,3.0,https://pypi.org/project/mkdocs-nature,1848.0,1848.0,,6,True,2.0,,,,,,,,,,,,,,,,,,,
53,Simple Blog,simple-blog,,,FernandoCelmer/mkdocs-simple-blog,mkdocs-simple-blog,['theme'],theming,{},98.0,98.0,5.0,https://pypi.org/project/mkdocs-simple-blog,1233.0,1233.0,,6,True,2.0,,,,,,,,,,,,,,,,,,,
54,mkdocs-autoapi,,mkdocs-autoapi,,jcayers20/mkdocs-autoapi,mkdocs-autoapi,['plugin'],api-docs,{},142.0,142.0,2.0,https://pypi.org/project/mkdocs-autoapi,24474.0,24474.0,,6,True,2.0,,,,,,,,,,,,,,,,,,,
