,name,mkdocs_plugin,github_id,pypi_id,labels,category,homepage,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,description,projectrank,show,projectrank_placing,markdown_extension,trending,mkdocs_theme,extra_dependencies,license,gitlab_id,gitlab_url,created_at,fork_count,open_issue_count,closed_issue_count,star_count,release_count,updated_at,shadowed,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,pypi,bitbucket_id
0,minify,minify,byrnereese/mkdocs-minify-plugin,mkdocs-minify-plugin,['plugin'],html-css,{},12753.0,12753.0,14.0,https://pypi.org/project/mkdocs-minify-plugin,971195.0,971195.0,,12,True,1.0,,,,,,,,,,,,,,,,,,,,,
1,mike,mike,jimporter/mike,mike,['plugin'],site-management,{},7044.0,7044.0,9.0,https://pypi.org/project/mike,1465355.0,1465355.0,,12,True,1.0,,,,,,,,,,,,,,,,,,,,,
2,include-markdown,include-markdown,mondeja/mkdocs-include-markdown-plugin,mkdocs-include-markdown-plugin,['plugin'],snippets-include,{},4200.0,4200.0,18.0,https://pypi.org/project/mkdocs-include-markdown-plugin,607504.0,607504.0,,12,True,1.0,,,,,,,,,,,,,,,,,,,,,
3,Math extension,,mitya57/python-markdown-math,python-markdown-math,['markdown'],markdown,{},4078.0,4078.0,8.0,https://pypi.org/project/python-markdown-math,405251.0,405251.0,,11,True,1.0,mdx_math,-10.0,,,,,,,,,,,,,,,,,,,
4,Material for MkDocs,"['material/blog', 'material/group', 'material/offline', 'material/search', 'material/social', 'material/tags']",squidfunk/mkdocs-material,mkdocs-material,"['theme', 'plugin']",theming,{},93104.0,93104.0,334.0,https://pypi.org/project/mkdocs-material,,,,10,True,1.0,,,material,{'plugins.social': 'mkdocs-material[imaging]'},,,,,,,,,,,,,,,,,
5,markdownextradata,markdownextradata,rosscdh/mkdocs-markdownextradata-plugin,mkdocs-markdownextradata-plugin,['plugin'],code-exec-templating,{},1679.0,1679.0,12.0,https://pypi.org/project/mkdocs-markdownextradata-plugin,92972.0,92972.0,,10,True,1.0,,-10.0,,,,,,,,,,,,,,,,,,,
6,mkdocs-callouts,callouts,sondregronas/mkdocs-callouts,mkdocs-callouts,['plugin'],markdown,{},1455.0,1455.0,3.0,https://pypi.org/project/mkdocs-callouts,60725.0,60725.0,,10,True,1.0,,,,,,,,,,,,,,,,,,,,,
7,mkdocs-simple-hooks,mkdocs-simple-hooks,aklajnert/mkdocs-simple-hooks,mkdocs-simple-hooks,['plugin'],nav-pages,{},2341.0,2341.0,6.0,https://pypi.org/project/mkdocs-simple-hooks,66823.0,66823.0,,10,True,1.0,,,,,,,,,,,,,,,,,,,,,
8,macros,macros,fralau/mkdocs_macros_plugin,mkdocs-macros-plugin,['plugin'],code-exec-templating,{},7174.0,7174.0,36.0,https://pypi.org/project/mkdocs-macros-plugin,,,,9,True,1.0,,,,,MIT,,,,,,,,,,,,,,,,
9,mkdocs-multirepo-plugin,multirepo,jdoiro3/mkdocs-multirepo-plugin,mkdocs-multirepo-plugin,['plugin'],site-management,{},263.0,263.0,17.0,https://pypi.org/project/mkdocs-multirepo-plugin,65035.0,65035.0,,9,True,1.0,,,,,,,,,,,,,,,,,,,,,
10,mkdocstrings,mkdocstrings,mkdocstrings/mkdocstrings,mkdocstrings,['plugin'],api-docs,{},30278.0,30278.0,55.0,https://pypi.org/project/mkdocstrings,,,,8,True,1.0,,,,"{'plugins.mkdocstrings.handlers.crystal': 'mkdocstrings-crystal', 'plugins.mkdocstrings.handlers.python': 'mkdocstrings-python'}",,,,,,,,,,,,,,,,,
11,kroki,kroki,AVATEAM-IT-SYSTEMHAUS/mkdocs-kroki-plugin,mkdocs-kroki-plugin,['plugin'],charts,{},93.0,93.0,19.0,https://pypi.org/project/mkdocs-kroki-plugin,78009.0,78009.0,,8,True,1.0,,,,,,,,,,,,,,,,,,,,,
12,meta-manager,meta-manager,timmeinerzhagen/mkdocs-meta-manager,mkdocs-meta-manager,['plugin'],code-exec-templating,{},22.0,22.0,3.0,https://pypi.org/project/mkdocs-meta-manager,907287.0,907287.0,,8,True,2.0,,,,,,,,,,,,,,,,,,,,,
13,enumerate-headings,enumerate-headings,timvink/mkdocs-enumerate-headings-plugin,mkdocs-enumerate-headings-plugin,['plugin'],html-css,{},398.0,398.0,6.0,https://pypi.org/project/mkdocs-enumerate-headings-plugin,40462.0,40462.0,,8,True,1.0,,-10.0,,,,,,,,,,,,,,,,,,,
14,mkdocs-coverage,coverage,pawamoy/mkdocs-coverage,mkdocs-coverage,['plugin'],integrations,{},377.0,377.0,2.0,https://pypi.org/project/mkdocs-coverage,69238.0,69238.0,,8,True,1.0,,-10.0,,,,,,,,,,,,,,,,,,,
15,autolinks,autolinks,zachhannum/mkdocs-autolinks-plugin,mkdocs-autolinks-plugin,['plugin'],links-refs,{},736.0,736.0,10.0,https://pypi.org/project/mkdocs-autolinks-plugin,53046.0,53046.0,,8,True,1.0,,,,,,,,,,,,,,,,,,,,,
16,PyMdown Extensions,,facelessuser/pymdown-extensions,pymdown-extensions,['markdown'],markdown,{},63481.0,63481.0,56.0,https://pypi.org/project/pymdown-extensions,,,,8,True,2.0,"['pymdownx.arithmatex', 'pymdownx.b64', 'pymdownx.betterem', 'pymdownx.blocks.admonition', 'pymdownx.blocks.definition', 'pymdownx.blocks.details', 'pymdownx.blocks.html', 'pymdownx.blocks.tab', 'pymdownx.caret', 'pymdownx.critic', 'pymdownx.details', 'pymdownx.emoji', 'pymdownx.escapeall', 'pymdownx.extra', 'pymdownx.highlight', 'pymdownx.inlinehilite', 'pymdownx.keys', 'pymdownx.magiclink', 'pymdownx.mark', 'pymdownx.pathconverter', 'pymdownx.progressbar', 'pymdownx.saneheaders', 'pymdownx.smartsymbols', 'pymdownx.snippets', 'pymdownx.striphtml', 'pymdownx.superfences', 'pymdownx.tabbed', 'pymdownx.tasklist', 'pymdownx.tilde']",,,,,,,,,,,,,,,,,,,,
17,Cinder,,chrissimpkins/cinder,mkdocs-cinder,['theme'],theming,{},712.0,712.0,23.0,https://pypi.org/project/mkdocs-cinder,,,,7,True,1.0,,,cinder,,MIT,,,,,,,,,,,,,,,,
18,mkdocs-jupyter,mkdocs-jupyter,danielfrg/mkdocs-jupyter,mkdocs-jupyter,['plugin'],code-exec-templating,{},5399.0,5399.0,39.0,https://pypi.org/project/mkdocs-jupyter,,,,7,True,2.0,,,,,,,,,,,,,,,,,,,,,
19,git-revision-date-localized,git-revision-date-localized,timvink/mkdocs-git-revision-date-localized-plugin,mkdocs-git-revision-date-localized-plugin,['plugin'],git-info,{},13058.0,13058.0,43.0,https://pypi.org/project/mkdocs-git-revision-date-localized-plugin,,,,7,True,1.0,,,,,,,,,,,,,,,,,,,,,
20,mkdocs-exporter,exporter,adrienbrignon/mkdocs-exporter,mkdocs-exporter,['plugin'],site-conversion,{},51.0,51.0,4.0,https://pypi.org/project/mkdocs-exporter,24824.0,24824.0,,7,True,1.0,,-10.0,,,,,,,,,,,,,,,,,,,
21,simple,simple,athackst/mkdocs-simple-plugin,mkdocs-simple-plugin,['plugin'],site-management,{},64.0,64.0,8.0,https://pypi.org/project/mkdocs-simple-plugin,37555.0,37555.0,,7,True,1.0,,,,,,,,,,,,,,,,,,,,,
