,name,mkdocs_plugin,github_id,pypi_id,labels,license,category,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,contributor_count,pypi_url,projectrank,show,projectrank_placing,watchers_count,dependent_project_count,github_dependent_project_count,pypi_monthly_downloads,monthly_downloads,markdown_extension,extra_dependencies,mkdocs_theme,trending,shadowed,gitlab_id,gitlab_url,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,pypi,bitbucket_id
0,bibtex,bibtex,shyamd/mkdocs-bibtex,mkdocs-bibtex,['plugin'],BSD-3-Clause-LBNL,links-refs,https://github.com/shyamd/mkdocs-bibtex,https://github.com/shyamd/mkdocs-bibtex,2019-05-29 04:43:44,2025-11-01 14:02:27.000000,2025-11-01 14:02:19,450.0,31.0,283.0,6.0,53.0,92.0,2025-07-01 14:57:13,4.4.0,81.0,A MkDocs plugin for citation management using bibtex.,21.0,https://pypi.org/project/mkdocs-bibtex,13,True,1.0,,,,,,,,,,,,,,,,,,
1,mkdocs-versioning,mkdocs-versioning,zayd62/mkdocs-versioning,mkdocs-versioning,['plugin'],MIT,site-management,https://github.com/zayd62/mkdocs-versioning,https://github.com/zayd62/mkdocs-versioning,2019-07-20 18:09:56,2021-08-01 15:51:53.000000,2021-08-01 15:51:53,133.0,5.0,39.0,3.0,22.0,40.0,2021-02-11 10:24:03,0.4.0,2.0,A tool that allows for versioning sites built with mkdocs.,5.0,https://pypi.org/project/mkdocs-versioning,13,True,1.0,1.0,182.0,182.0,,,,,,,,,,,,,,,
2,git-revision-date-localized,git-revision-date-localized,timvink/mkdocs-git-revision-date-localized-plugin,mkdocs-git-revision-date-localized-plugin,['plugin'],,git-info,,{},,,,,,,,,,,,,,43.0,https://pypi.org/project/mkdocs-git-revision-date-localized-plugin,13,True,1.0,,13097.0,13097.0,1315210.0,1315210.0,,,,,,,,,,,,,
3,plantuml-markdown,,mikitex70/plantuml-markdown,plantuml-markdown,['markdown'],,charts,,{},,,,,,,,,,,,,,30.0,https://pypi.org/project/plantuml-markdown,12,True,1.0,,1836.0,1836.0,823240.0,823240.0,plantuml_markdown,,,,,,,,,,,,
4,include-markdown,include-markdown,mondeja/mkdocs-include-markdown-plugin,mkdocs-include-markdown-plugin,['plugin'],,snippets-include,,{},,,,,,,,,,,,,,18.0,https://pypi.org/project/mkdocs-include-markdown-plugin,12,True,1.0,,4209.0,4209.0,542793.0,542793.0,,,,,,,,,,,,,
5,markdown-exec,markdown-exec,pawamoy/markdown-exec,markdown-exec,['plugin'],,code-exec-templating,,{},,,,,,,,,,,,,,6.0,https://pypi.org/project/markdown-exec,11,True,1.0,,902.0,902.0,1212379.0,1212379.0,,{'plugins.markdown-exec.ansi': 'markdown-exec[ansi]'},,,,,,,,,,,
6,drawio-exporter,drawio-exporter,LukeCarrier/mkdocs-drawio-exporter,mkdocs-drawio-exporter,['plugin'],MIT,charts,https://github.com/LukeCarrier/mkdocs-drawio-exporter,https://github.com/LukeCarrier/mkdocs-drawio-exporter,2019-09-10 21:59:11,2025-05-25 00:30:10.000000,2025-05-25 00:30:09,127.0,9.0,51.0,5.0,30.0,85.0,2025-04-22 22:38:06,0.10.2,15.0,Exports your Draw.io diagrams at build time for easier embedding into your documentation.,5.0,https://pypi.org/project/mkdocs-drawio-exporter,10,True,1.0,1.0,,,,,,,,,,,,,,,,,
7,Material for MkDocs,"['material/blog', 'material/group', 'material/offline', 'material/search', 'material/social', 'material/tags']",squidfunk/mkdocs-material,mkdocs-material,"['theme', 'plugin']",,theming,,{},,,,,,,,,,,,,,334.0,https://pypi.org/project/mkdocs-material,10,True,1.0,,93497.0,93497.0,,,,{'plugins.social': 'mkdocs-material[imaging]'},material,,,,,,,,,,
8,MkDocs Video,mkdocs-video,soulless-viewer/mkdocs-video,mkdocs-video,['plugin'],,charts,,{},,,,,,,,,,,,,,5.0,https://pypi.org/project/mkdocs-video,10,True,1.0,,1174.0,1174.0,126159.0,126159.0,,,,,,,,,,,,,
9,git-revision-date,git-revision-date,zhaoterryy/mkdocs-git-revision-date-plugin,mkdocs-git-revision-date-plugin,['plugin'],,git-info,,{},,,,,,,,,,,,,,7.0,https://pypi.org/project/mkdocs-git-revision-date-plugin,10,True,2.0,,3051.0,3051.0,123470.0,123470.0,,,,-10.0,,,,,,,,,
10,git-authors,git-authors,timvink/mkdocs-git-authors-plugin,mkdocs-git-authors-plugin,['plugin'],,git-info,,{},,,,,,,,,,,,,,17.0,https://pypi.org/project/mkdocs-git-authors-plugin,10,True,2.0,,1982.0,1982.0,303751.0,303751.0,,,,,,,,,,,,,
