,name,mkdocs_theme,mkdocs_plugin,extra_dependencies,github_id,pypi_id,labels,category,homepage,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,description,projectrank,show,projectrank_placing,license,github_url,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,watchers_count,markdown_extension,trending,gitlab_id,gitlab_url,shadowed,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,pypi,bitbucket_id
0,Material for MkDocs,material,"['material/blog', 'material/group', 'material/offline', 'material/search', 'material/social', 'material/tags']",{'plugins.social': 'mkdocs-material[imaging]'},squidfunk/mkdocs-material,mkdocs-material,"['theme', 'plugin']",theming,{},93841.0,93841.0,334.0,https://pypi.org/project/mkdocs-material,13675220.0,13675220.0,,17,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,bibtex,,bibtex,,shyamd/mkdocs-bibtex,mkdocs-bibtex,['plugin'],links-refs,https://github.com/shyamd/mkdocs-bibtex,,,21.0,https://pypi.org/project/mkdocs-bibtex,,,A MkDocs plugin for citation management using bibtex.,13,True,1.0,BSD-3-Clause-LBNL,https://github.com/shyamd/mkdocs-bibtex,2019-05-29 04:43:44,2025-11-01 14:02:27.000000,2025-11-01 14:02:19,450.0,31.0,283.0,6.0,53.0,92.0,2025-07-01 14:57:13,4.4.0,81.0,,,,,,,,,,,,
2,mkdocs-versioning,,mkdocs-versioning,,zayd62/mkdocs-versioning,mkdocs-versioning,['plugin'],site-management,https://github.com/zayd62/mkdocs-versioning,183.0,183.0,5.0,https://pypi.org/project/mkdocs-versioning,,,A tool that allows for versioning sites built with mkdocs.,13,True,1.0,MIT,https://github.com/zayd62/mkdocs-versioning,2019-07-20 18:09:56,2021-08-01 15:51:53.000000,2021-08-01 15:51:53,133.0,5.0,39.0,3.0,22.0,40.0,2021-02-11 10:24:03,0.4.0,2.0,1.0,,,,,,,,,,,
3,plantuml-markdown,,,,mikitex70/plantuml-markdown,plantuml-markdown,['markdown'],charts,{},1837.0,1837.0,30.0,https://pypi.org/project/plantuml-markdown,757826.0,757826.0,,12,True,1.0,,,,,,,,,,,,,,,,plantuml_markdown,,,,,,,,,,
4,drawio-exporter,,drawio-exporter,,LukeCarrier/mkdocs-drawio-exporter,mkdocs-drawio-exporter,['plugin'],charts,https://github.com/LukeCarrier/mkdocs-drawio-exporter,,,5.0,https://pypi.org/project/mkdocs-drawio-exporter,,,Exports your Draw.io diagrams at build time for easier embedding into your documentation.,10,True,1.0,MIT,https://github.com/LukeCarrier/mkdocs-drawio-exporter,2019-09-10 21:59:11,2025-05-25 00:30:10.000000,2025-05-25 00:30:09,127.0,9.0,51.0,5.0,30.0,85.0,2025-04-22 22:38:06,0.10.2,15.0,1.0,,,,,,,,,,,
5,Cinder,cinder,,,chrissimpkins/cinder,mkdocs-cinder,['theme'],theming,{},712.0,712.0,23.0,https://pypi.org/project/mkdocs-cinder,5546.0,5546.0,,10,True,1.0,MIT,,,,,,,,,,,,,,,,,,,,,,,,,
6,MkDocs Video,,mkdocs-video,,soulless-viewer/mkdocs-video,mkdocs-video,['plugin'],charts,{},1176.0,1176.0,5.0,https://pypi.org/project/mkdocs-video,117264.0,117264.0,,10,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7,git-authors,,git-authors,,timvink/mkdocs-git-authors-plugin,mkdocs-git-authors-plugin,['plugin'],git-info,{},1990.0,1990.0,17.0,https://pypi.org/project/mkdocs-git-authors-plugin,274377.0,274377.0,,10,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
8,git-committers-2,,git-committers,,ojacques/mkdocs-git-committers-plugin-2,mkdocs-git-committers-plugin-2,['plugin'],git-info,{},1656.0,1656.0,19.0,https://pypi.org/project/mkdocs-git-committers-plugin-2,80920.0,80920.0,An MkDocs plugin to create a list of contributors on the page.,10,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
9,mkdocs-with-pdf,,with-pdf,,orzih/mkdocs-with-pdf,mkdocs-with-pdf,['plugin'],site-conversion,{},938.0,938.0,6.0,https://pypi.org/project/mkdocs-with-pdf,222905.0,222905.0,,10,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
